Title,Title_URL,Image,likes,comment,collect,share
老人只是身患重病，可却被“神医”加了一味新药给活活医死！#国产动画 #怀旧动画 #中医动画 #童年动画  #动画,https://www.douyin.com/video/7377018642015243547,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o80dbNOlGQh2WgJzAeLCEi71lCe4MfBIIuAVBw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Lue5%2Ff%2Fhx5t6dNuz2qsnIgda6to%3D,467,18,88,16
男人为了把控药材质量以身试药，却被刚入行的学徒一眼看出端倪！#国产动画 #怀旧动画 #中医动画 #老动画 #动画,https://www.douyin.com/video/7376654733228002587,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocIPM7CMYvfJcLXdPWyGHADBEeBeApgSoQFCIk~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=KH8%2BpDG8mU7VyPdhTwPbjIjUHkM%3D,2556,94,621,231
歹毒的哥嫂两人为了独吞遗产将弟弟一家四口赶出家门，却不料弟弟却因祸得福！#童年动画 #怀旧动画 #经典动画 #老动画 #动画,https://www.douyin.com/video/7376225250448510217,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIB7Qi5A6InLriXASCFfVWDd8nvWBegpdzEsAA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=f1GXsikU526C1rScXUJXtGSSRsU%3D,2921,121,543,265
婴儿出生后脐口处却难以愈合流脓不止，而男人只是用了一种草药就治好了这种恶疾！#国产动画 #怀旧动画 #中医动画 #老动画 #动画,https://www.douyin.com/video/7375914475662118170,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osAdEXBmAgkItR9sEEQyfB0AcxZDXFeJICjgNA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=d2nbdZxXQpnLBEy40BG%2BDcDJlag%3D,4347,95,1524,366
2分08秒一口气看完6个关于中医的动画故事！#国产动画 #中医动画 #老动画 #动画 #一口气看完系列,https://www.douyin.com/video/7375486716179795251,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/owBA4DftAjkDfeIZ2YsECFctiIQAICL1sybaeG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=3NmgdQUefwrx5Vp31xdfcAttKys%3D,3959,168,1165,456
老汉因憋尿导致腹大如鼓，没想到神医只是利用一根葱管就将他积攒了数月的尿液顺利排出！#国产动画 #怀旧动画 #中医动画 #老动画 #动画,https://www.douyin.com/video/7375186049909247242,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooTjBfPQBABzidKAxZi7P1EKLBCIOyPgxveWWA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=20Umcs8bjp7IgfGr0RcBm3pmHVQ%3D,637,25,150,60
女人因患病导致两年未来月事，最后竟从体内取出一根30cm长的尖硬红棍！#国产动画 #童年动画 #老动画 #中医动画 #动画,https://www.douyin.com/video/7374792962502413594,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooj6AlfDCI889NmAFDZq6WxIxBlAfEZMFCmkQg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=N%2BM6hoZM7rdVgBLFTjNglXJGezE%3D,5175,201,1860,460
神医通过望色断定男人命不久矣，可男人非但不听，反而是认为神医是在诅咒自己！#国产动画 #童年动画 #老动画 #中医动画 #动画,https://www.douyin.com/video/7374058620713045298,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oUC5A1lqCFynFBeDIMEDmofCQs4fApSsBEr4A7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=j8h9%2FvY2%2FU2oik5guDrXxkZr4fU%3D,2368,86,526,135
虽然麻风病在古代被称为绝症，可孙思邈却不惧传染亲自为病人医治！#童年动画 #国产动画 #老动画 #中医动画 #动画,https://www.douyin.com/video/7373316747555802405,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYFeIMpMpApZBsVBEpwoN7SCE6TfIuiLBofAED~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=gIfTu%2BurEWk%2BjVIoL5vRRHGaG9s%3D,4994,199,1007,249
男人看病不收诊费，却只让患者痊愈后在诊所门口种上杏树！#国产动画 #老动画 #中医动画 #动画 #童年动画 ,https://www.douyin.com/video/7370717901122309427,https://p3-pc-sign.douyinpic.com/tos-cn-p-2058/okIfJMfBxCfuBATQFKQEB8DBV9nRckDuhbMhda~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=IFaAh7Za0UVMcQZzDnmgo3s2Ls8%3D,2304,227,385,127
