Title,Title_URL,Image,likes,comment,collect,share
老人只是身患重病，可却被“神医”加了一味新药给活活医死！#国产动画 #怀旧动画 #中医动画 #童年动画  #动画,https://www.douyin.com/video/7377018642015243547,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o80dbNOlGQh2WgJzAeLCEi71lCe4MfBIIuAVBw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Lue5%2Ff%2Fhx5t6dNuz2qsnIgda6to%3D,467,18,88,16
歹毒的哥嫂两人为了独吞遗产将弟弟一家四口赶出家门，却不料弟弟却因祸得福！#童年动画 #怀旧动画 #经典动画 #老动画 #动画,https://www.douyin.com/video/7376225250448510217,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIB7Qi5A6InLriXASCFfVWDd8nvWBegpdzEsAA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=f1GXsikU526C1rScXUJXtGSSRsU%3D,2921,121,543,265
2分08秒一口气看完6个关于中医的动画故事！#国产动画 #中医动画 #老动画 #动画 #一口气看完系列,https://www.douyin.com/video/7375486716179795251,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/owBA4DftAjkDfeIZ2YsECFctiIQAICL1sybaeG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=3NmgdQUefwrx5Vp31xdfcAttKys%3D,3959,168,1165,456
女人因患病导致两年未来月事，最后竟从体内取出一根30cm长的尖硬红棍！#国产动画 #童年动画 #老动画 #中医动画 #动画,https://www.douyin.com/video/7374792962502413594,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooj6AlfDCI889NmAFDZq6WxIxBlAfEZMFCmkQg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=N%2BM6hoZM7rdVgBLFTjNglXJGezE%3D,5175,201,1860,460
虽然麻风病在古代被称为绝症，可孙思邈却不惧传染亲自为病人医治！#童年动画 #国产动画 #老动画 #中医动画 #动画,https://www.douyin.com/video/7373316747555802405,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYFeIMpMpApZBsVBEpwoN7SCE6TfIuiLBofAED~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=gIfTu%2BurEWk%2BjVIoL5vRRHGaG9s%3D,4994,199,1007,249
孕妇因难产不幸去世，可路过的男人只是一眼便断定棺材里的她并未断气！#国产动画 #老动画 #童年动画 #中医动画 #动画,https://www.douyin.com/video/7368492525616762121,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okZoAatzCEEYexzAIJ7RJI6RCBPA6hIgfBDaIg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=YhCiGhDPo1vOngaYODwfjAOz7bM%3D,6859,268,1210,332
男人年过60身体却强壮的如同少年，原因竟然只是一味中药！剧毒之物曼陀罗花竟然也能入药！#国产动画 #中医动画 #老动画,https://www.douyin.com/video/7365507452084800795,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocnoi4hfnIIgS3AlAEeBCq9YGBbKmSAEDzgNAN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Io6Q6Lk6SPRPGGN9%2BKGQlRuMxic%3D,378,8,171,41
男人在路边发现一位老人晕倒在地，诊断后竟然是一种可怕的瘟疫！#童年动画 #国产动画 #老动画 #中医动画 #动画,https://www.douyin.com/video/7364423001690918195,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooU9nDgPIGmCo6A8QBzemCe0FMWWrAb6VUAT8H~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=jgWHU7bYY2RdVPJwfK3dl6zU0Mw%3D,5623,617,1527,388
男人故意吃下剧毒曼陀罗花，还让徒弟记下自己毒发时的各种症状，这一切只为了撰写一本医书！#童年动画 #怀旧动画 #中医动画 #老动画 #曼陀罗花,https://www.douyin.com/video/7358102695384780082,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o07duCceMQBLljh6Ce5HASPIBOA7yeLQI42MEn~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=dPNG8gWLSK9znUx3v93k4wB8op0%3D,6294,517,1027,314
男人飞升成仙，可却将母亲留在凡间受苦，只给她留下一个不起眼的木盒！#国产动画 #怀旧动画 #童年动画 #动画 #中医动画,https://www.douyin.com/video/7350688259321842971,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIgsBb9inAQme6oAcCD5ubEBABCIZf1gEI9ILA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=QTzgRHDpS2yKvsOPikbBnGB21TQ%3D,3505,630,624,289
