账号名,平均点赞互动率,平均评论互动率,平均收藏互动率,平均分享互动率
1000种中草植物,0.020083622198879554,0.002691999299719888,0.009122566526610644,0.004876908263305322
NB8888NNNN,0.007820464491529096,0.0009918107370336668,0.004492698990424195,0.0014661813770094024
一方见地,0.015890509339936555,0.0008241072891633806,0.0010026474272242878,0.0012968202970942476
东北深山采药人,0.27329147498860296,0.023871689668034317,0.1264039123046956,0.1286833271167475
中华本草堂（中医药）,0.007250821256038647,0.00030521739130434785,0.003118937198067633,0.0011620289855072464
中草花,0.013380991735537189,0.0010149586776859504,0.005766280991735538,0.002280661157024793
乌蒙本草。（山货代购）,0.0094686877737953,0.0015465452011150936,0.0028361708482676226,0.0008309438470728793
人物微纪实,0.032643371924269415,0.0014746355300481564,0.006955241110891219,0.0054184148030872745
国学问道,0.00011693998727157516,3.6832361675016533e-06,1.634608614741504e-05,1.869090497443961e-05
大盛先生,0.024966578457316473,0.0014912934104348394,0.010678068541932111,0.005310137541246039
奇妙文化说,0.012670498084291187,0.0005210727969348659,0.005727586206896552,0.004297318007662835
小禾药坊,0.027785997732426303,0.0014165249433106576,0.0023720238095238095,0.005850198412698413
山里林里,0.10643293885601578,0.005097633136094675,0.019983234714003945,0.030194280078895467
嵩山草本说,0.018769587281860078,0.0022032131945523277,0.005069532908704883,0.002390140334524364
本草中国,0.022441063493259018,0.0003406454771409204,0.0005250621375310687,0.00064432853807336
本草圣药,0.009709950738916256,0.0003859113300492611,0.005925221674876848,0.0018833497536945812
本草新说,0.01208799784427559,0.0015555472551865449,0.0014629151370272348,0.0009443460257833176
朱鸟寻药记,0.09907407407407408,0.0023104056437389772,0.0066772486772486775,0.003132275132275132
植物之美,0.008541340477933354,0.0009953951947035725,0.0023485071944824073,0.001226718448189029
汉昆堂滋补甄选,0.05188843537414966,0.0012639455782312925,0.05490884353741496,0.018604081632653063
海龙讲百草,0.0308971684430653,0.0033633887614678898,0.009537163833423278,0.004842920826587516
独山县蒙氏草堂,0.010395462505554249,0.0007807574688308633,0.0032215687812018087,0.0010511775007187852
生态农人合作社,0.0062929530102163135,0.0005621631917192369,0.0008691484435804054,0.000694412389618834
痴百草,0.026854690493880264,0.003944003441129316,0.015268955539045087,0.005008289993352364
百晓参,0.03895999117879196,0.000556275825247226,0.0009236965504433817,0.0005198361112400762
百草老农,0.027839662447257385,0.0005743578355170627,0.018370197646013768,0.0044385224665038124
神奇的草药,0.011668179176755448,0.0005160355125100888,0.0038060807102502014,0.0018527247780468121
胖达视界,0.06379103312579675,0.0024355589631791896,0.0062665721359026,0.0054295961350157955
艾柚动漫,0.041437930764411025,0.01283466478696742,0.004935581140350877,0.0030894031954887217
药材故事分享,0.04614646153846154,0.002088,0.008029538461538461,0.0048
识本草,0.010813235798376957,0.0008842915380805425,0.001128509924943803,0.0013069938151661778
超哥说动漫,0.03162405174090644,0.007490347208714257,0.006556117486870259,0.0029782143551838167
青山眼里,0.03253949598165361,0.002928920424564679,0.0038277869667573163,0.0037277621057758654
鲁阳采药人,0.023811387163561078,0.003498550724637681,0.008452173913043478,0.0029289855072463767
黑苹果视界,0.1231314435276373,0.006077943394552391,0.012152870197852897,0.017073396326856536
