账号名,关注,粉丝,获赞,抖音号,IP属地,年龄,地址,院校,个性签名,作品数,账号特征
胖达视界,53,47.9万,1477.9万,lu.movie,浙江,28,浙江·杭州,杭州师范大学,种花家千年文化的不正经嘴替 化作春泥更护花 欢迎关注，你想要.要的都在橱窗哦～,452,
黑苹果视界,39,22.1万,559.9万,FD2628556140,四川,28,四川·广安,中国传媒大学,科普知识、干货、非遗纪录片【持续更新 每天刷新一下脑洞～感谢关注! 你喜欢的都在橱窗～,203,
本草中国,4,37.4万,119.6万,80224427063,,30,,,"中国人千百年来的经验与智慧
伴随着中药，走过历史的漫漫长河
成为世代守护华夏民族繁衍生息的秘方，从本草看中国",142,
小禾药坊,140,7.2万,20.0万,xiaohe5.1,广东·广州,26,,,原创中药动画片 禁止搬运 TV端和手机APP端已经上线 搜索：中药趣味 商务合作请联系 动画制作培训请联系,93,
乌蒙本草。（山货代购）,1636,5.4万,20.3万,30748942340,贵州,,,,"一个热爱野生中草药的大叔
从江汉平原来到云贵深山
被这里的气候动植物所吸引
痴迷探索 不愿离开。",372,店铺账号
药材故事分享,117,1.3万,7.5万,1366131690,河南·郑州,,,,爱好花茶和药材，每天给大家分享一个有趣的药材传说典故，让大家每天都能在有趣的故事中认识一味中药。,125,
中草花,0,24.2万,16.2万,56722524209,广东,,,广东药科大学,心存善念，不忘初心 让您在日常生活中认识本草，了解本草，用好本草。内容仅供参考，请忽随意使用。,50,
百晓参,42,72.4万,674.3万,baixiaoshen_,,,北京·朝阳,,"漫画识百草，在下百晓参～
剧情番 @百晓参之神眷
药材拟人立绘指路VX号「百晓参」",238,
嵩山草本说,13,47.1万,301.4万,24626747215,河南,,河南·郑州,河南中医药大学,土生土长的嵩山大妞，曾在中医机构工作10余年。不忘初心，记录大山深处的神奇草木，分享中医药文化。@嵩山黄精姑娘,328,
NB8888NNNN,15,9.8万,36.4万,NB8888NNNN,云南,,云南·昭通,,,471,
中华本草堂（中医药）,821,3.6万,15.8万,1005917512,,,,江西中医药大学,华夏之都，药源之始，生命所系，中医文化，圆大国梦！ 健康与生活,576,
植物之美,43,160.3万,1300.0万,baicaoxiaohu,广东,33,广东·清远,,科普植物，花草、树木、草药、蔬菜、瓜果等,519,
大盛先生,42,17.1万,78.2万,yinchenxians,山东,36,山东·临沂,中国农业大学,返乡青年，三代传承，分享炮制技艺，让传统回归本真。,179,
东北深山采药人,15,5362,2.5万,94990501443,吉林,35,吉林·白山,上海中医药大学,"创建于1998年.是当地非常有名的特产批发店 产品覆盖到.,东北野生菌.野生黑木耳.人参.坚果.等行业",17,
本草圣药,6,3.5万,13.4万,26079339061,山东,26,山东·菏泽,中国农业大学,"每天分享本草药
希望对您有帮助
感谢每一份支持与关注
中草药知识 #中药材 #本草植物 #中草药
内容仅供参考，请勿随意使用！",288,
奇妙文化说,4,1.5万,6.8万,qimiaowenhua47,河南,,,,给您讲点小故事，咱们一起学习大智慧。文化可以很轻松很好玩。,348,河南广播电视台《奇妙文化说》栏目官方抖音账号
国学问道,120,343.3万,1595.8万,guoxuewendao,,,,,品国学文化 扬国货之光,422,河南广播电视台都市频道国学问道官方账号
