Title,Title_URL,Image,likes,comment,collect,share
华佗为关羽刮骨疗伤，一生救人无数，可最后却栽在了曹操手上！国产动画#国产动画 #怀旧动画 #动画 #动画解说 #动画故事,https://www.douyin.com/video/7348430778264571145,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o823uB7gLXBuCFY6CFeDA4nOBeA7IHfQIXbXEt~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=XbsLt%2BCTULrozrwWJBbVNGMxp5k%3D,601,96,123,30
"#传统文化 华佗与麻沸散（sàn）的故事
#涨知识 #小故事 ",https://www.douyin.com/video/7075896627059330341,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/2768f510bb0d4ec4aff4ba3465ef4a42~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=WYqS%2BGg1Q9H1iwCuMngcW9%2FY%2Bj4%3D,602,35,52,44
这是华佗喜欢的本草茵陈，别名白蒿或茵陈蒿，每年春季我们家都会用它来炒制好喝的茵陈茶#茵陈,https://www.douyin.com/video/7345757825425001766,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o87ODBA8yQ33f7GATBB4Pegrj0vBnblCEeULZi~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=VzV%2FCptXdLbeFXpn71IJoqDrbYU%3D,112,12,28,13
百晓参：古代白毛女山中有奇遇，华佗出手搭救原来是为它！（重新发布哦~）#国风合伙人 @抖音动漫 @抖音小助手,https://www.douyin.com/video/6912002244783181069,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ba723bc19a18497394b58d446beec13d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=jndSIGB9WEpVgjfRnVgMLv6CXQ0%3D,9392,132,263,128
百晓参：古代白毛女山中有奇遇，华佗出手搭救原来是为它！#国风合伙人 @抖音动漫  @抖音小助手,https://www.douyin.com/video/6909741028400549128,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6167c0e09d1a47278fc41afb21413a01~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=798EdzHMX0gleokhgtr%2F%2FpIuhIE%3D,4026,81,55,39
白前......华佗寻药#中草药 #植物 #中医药文化进校园 ,https://www.douyin.com/video/7096721029191503104,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/65bfccfea57e445686b0ee93c9d1fda8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=1VnX%2FnhQP8MzGB0pf6rHbafRh%2BQ%3D,252,5,49,19
三更半夜，朦胧月色下一名绿衣女子正在窗外啼哭，可华佗走近一看，却不见有半个人影，一连反复几次，都是如此#中医故事#神医华佗#动画解说,https://www.douyin.com/video/7273797009503571237,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o0Cc9AzteDNNvAtvxRwtCwuhA6PfEAkYAIgA9A~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=smPkSML%2FHSkel0gDHcGBczz0xGk%3D,4151,1665,452,135
"相传在东汉末年，我国诞生了三位杰出的医学家，史称""建安三神医""，分别是“外科鼻祖”华佗，""医圣""张仲景以及“杏林始祖”董奉#建安三神医 #中医故事#动画解说#怀旧动画",https://www.douyin.com/video/7249679427414625595,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/ooIzyTAKiAJgAC9lIISAFdAAhCCRc1AEWgNfeC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=h2XXEXFqalnBsm4b9X64Sjry%2B6A%3D,7134,1546,1532,582
神医华佗一生行医治病，可你知道吗？一把年纪的华佗最后却在狱中被活活拷问致死#童年经典动画片 #怀旧动画 #动画解说,https://www.douyin.com/video/7218395330193132857,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oQIeGCyAn33KTpjszAELEFfcrPBB9gtHh5AaFF~tplv-dmt-logomcc:tos-cn-i-0813/074e8ac0fffd433a94c1e7e2b8f6cb04:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=XiWlZlTI92LSGGT%2BY5l4OwBkL80%3D,2696,1463,225,77
带你认识，中国最著名的十大中医，看看你认识几位？#中医 #华佗 #李时珍 #扁鹊 #中医传承,https://www.douyin.com/video/7310927264609242420,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/95523e31c0944c2c9ef26ff32abd27db_1702207912~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=75hsivbhhJr%2FawgtzPdCfyDSNaM%3D,518,36,370,101
