Title,Title_URL,Image,likes,comment,collect,share
桂花树的果实可以吃吗？#植物科普 #桂花树果实 #桂子 #桂花树上结的果子能吃吗,https://www.douyin.com/video/7367350189058723098,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oE9RvA17Ad8QsDfmohNeDWIPIBrbOC08CgnKA8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=0L9zMtIy08DEZd4khMNiE8TiFuI%3D,1912,263,214,168
桂花的甜香让人闻了就想吃它，你最喜欢的是哪种桂花？#桂花 #丹桂飘香 ,https://www.douyin.com/video/7151724562911169833,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/69de38d6762c4f24ab3409c008263992~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=tKeMP%2FquYsR0NXjlGQXQVjkRuxY%3D,4104,127,359,304
桂花树的果实到底能不能吃？#新农人计划2024,https://www.douyin.com/video/7335244605220310307,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oE8YfFDnlBDqEL48DvTAkAIcAAoYbzHgf9QI2m~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=8o0n5sVSgkJWpBIKNHWuzCcFHn0%3D,111000,15000,20000,40000
体形似桂花的一种木耳，故而得名桂花耳！#三农 #识百草 #大自然的馈赠,https://www.douyin.com/video/7232268422434852152,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/67932905bd52444aaf625e548446e3c7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=6%2B7rIQvdBfhyx55TuQt439GGhF0%3D,10000,993,943,1166
野桂花是岭南独有的冬蜜蜜源植物！#大自然的馈赠 #野生药材 #乡村守护人,https://www.douyin.com/video/7183702270859578657,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMenLbQTnAWje8IAPxDoa4IasBCQoIsgT99cGA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=evXuQFgL%2FTRYpsmrazx99nUSUNg%3D,3810,186,488,273
桂花果能吃吗？为什么有的桂花树不结果？#抖音自然 ,https://www.douyin.com/video/7062492920875666723,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/a93c2cd36aa343c9925b893231d53e4a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=ogP72Wa0RTGx0oCr6zY181nXrFY%3D,11000,2016,838,1537
中秋，是人类和大自然的一场约，秋风，月光，家乡的桂花都会在你回家的路口等你，如你家人一般#打开中秋的一百种方式,https://www.douyin.com/video/7284131311638433024,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/107ac604a4d04f4b905f0225ea8db696~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=38QlHg%2Bf3FTUK5h8Vn37GJTFpIk%3D,123000,3193,16000,18000
你喜欢哪种桂花的香，用一支唇膏留住桂花绵绵耳语的浪漫,https://www.douyin.com/video/7019625125293165837,https://p3-sign.douyinpic.com/tos-cn-i-dy/68e1122645df4d198ed8963aa59b8137~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=5vfhG9NvbApNFAeLHED8aRDMD%2Fc%3D,113000,5599,6102,8511
#一日一植物 你见过桂花的果实吗？桂花常见结果不常有，是为什么呢？桂花中文名“木犀” @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6920553893919280388,https://p3-sign.douyinpic.com/tos-cn-i-0813/355f5bcd0cf148008d18a2bb1442511c~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=vidxdTj99n1%2FErkNxYGCsO1f5J4%3D,167000,26000,2254,4429
#一日一植物 最能代表中国的香味，桂花香。,https://www.douyin.com/video/6879759623667158275,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/20c1c5935409469a8b6c37eabf39f904~tplv-dmt-logomcc:tos-cn-i-0813/a318cabb58a34eae8791a5cd44384a7d:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=fNHU94XXiT3GoC8FJ9kJSoK2M%2Bk%3D,78000,3888,1961,4163
花类的中药材#纯天然 #中药科普 #养生花茶 #野生植物 #桂花,https://www.douyin.com/video/7328316064570297640,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMlsVUz0Q02QBYmAIo8mmAATC9eWVCbZegcnhD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=aHSXakdDUKvyt06Hs2MJjtQpm6s%3D,266,12,166,29
