Title,Title_URL,Image,likes,comment,collect,share
在中医古籍中金蝉花的记载比冬虫夏草早了八百多年#植物#野生药材 #金蝉花,https://www.douyin.com/video/7145473077600636164,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/315cf581e3754b46b96588215f21c665_1663691600~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=THUGd8%2F%2B5rOLzWfcPRFO61lkBwk%3D,1232,56,248,317
夏天最烦的害虫，竟是冬虫夏草的平替？山东人炸着吃，广东人煲汤 #中药 #中医 #科普一下 #健康 #养生 ,https://www.douyin.com/video/7122831089177070856,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/fe5a30051a3c423fb802b29164997c84~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=x0rgQYTZaFx7SnwQ7Fb%2BHFWnk18%3D,9439,298,2167,1608
#小故事  “冬虫夏草”的传说！#国学智慧 #中华文化,https://www.douyin.com/video/7182754292833602872,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/os8ADGf1UEzlsMBAEO6gNbhjxuIteaCAC5CyRB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=wCTIdJRNNRc5sMA5qzKk3HQli00%3D,69,4,20,33
#科普 #冬虫夏草#中药材,https://www.douyin.com/video/7085272890802801951,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/5c09faba50894e719f8073ec17d4f36c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=yASjHdnyrI3mD8vNUHhX5rbx8Vo%3D,44,1,6,6
百晓参：冬虫夏草到底为什么身价不菲？武则天这样说…… #轻漫计划  #充能计划 #原创国风计划 @抖音小助手,https://www.douyin.com/video/6923074993987390727,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e9bbfbf34409457b865ab9513ef867b9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=aW4kzwJeP4fOMETrL322G0j2S%2Fc%3D,41000,215,1081,244
冬虫夏草......夏草冬虫、虫草、冬虫草；乾隆终身享用#中草药 #植物 #中医药文化进校园 ,https://www.douyin.com/video/7126688179574426880,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/cb92263555624be086097f01da9ecfc1_1659311414~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=kI0scNNurYt6vo8zittb6r8NAAo%3D,66,2,18,3
冬虫夏草......是线虫草科，线虫草属真菌，是中国特有的一种中药材#中草药 #植物 #科普 ,https://www.douyin.com/video/7111458653613477155,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/3f231dace3b14013b281eb63fdd23c1a_1655765504~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=E6yo9xC5Hs6jR1qV2Xh3J3TVRzQ%3D,107,9,38,71
饮食谱·冬虫夏草  海拔五千米采挖虫草，味道像新鲜板栗。,https://www.douyin.com/video/7237830801604316476,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/deb74df0cb304e1988bcb78251cadb51~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=mK685%2FM7iShBzmpMoWc%2BEtXRmes%3D,610,35,35,27
#一日一植物 金蝉没能脱壳，却开了花，药用记载比冬虫夏草早800 年 #寒假充电计划,https://www.douyin.com/video/6838577770273066251,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4d4c1ed544d540e5b9ee9d711bc2dde4_1592230545~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ZzCLD%2FiNDFlE8%2FNgKXEBy%2FrR0Nw%3D,227000,7283,2726,7063
“自然养生之道：优选中药材，打造健康幸福生活”#养生之道 #滋补佳品 #中草药 #中草药养生小知识 #冬虫夏草,https://www.douyin.com/video/7343220692680232227,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEDEFRIzAnX6fCBoLEe3gvID9AQmB2rbAmBlFF~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=gPzqvPAvlxeBeqlT5feDV0v4S6c%3D,134,5,65,13
今天给大家分享一下中华九大仙草，你见过几种呢？#中药材知识科普 #中药养生 #中药材 #科普中药材养生知识 #冬虫夏草,https://www.douyin.com/video/7293100570963954978,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocJBSbEpweDEACE2mKUf7pA3VDIebB7nQsmLE4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=hMV%2FAJ2YusSTfIRW5heVsuKG%2FKg%3D,81,3,63,10
