Title,Title_URL,Image,likes,comment,collect,share
#寻找古籍守护人 关于桃花的是你最喜欢哪一首？我首选唐寅的《桃花庵》#桃花 #桃花茶 #桃花酒,https://www.douyin.com/video/7209280317008383272,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAEaMyrAlBkR0geCL7IAcfhABgzgqBBSHtXlkN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=lEwtymZLtscmLY%2BJE1blT3udgoM%3D,29000,2704,14000,21000
一雷惊蛰始，微雨众卉新。#惊蛰 #惊蛰节气 #桃花,https://www.douyin.com/video/7207378373847321891,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogbkw89sATnB7FqDjweAzEnHATd9IgBIcfBNvA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=p8xmHmHNzXLf2WH4t1WXrLd5F6A%3D,421,19,33,36
这种植物有个好听的名字，它叫地桃花，你认识吗？#植物科普 #新农人2024 #农村生活,https://www.douyin.com/video/7352171171334343976,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAAnXIRhBYEpBJMzAVCIeKpfyt0xXPANAzjBgr~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=wTarB6FM165fq5b%2Fe0n%2B8Ffifn0%3D,17000,2891,6047,2748
这么漂亮的地桃花，你们一定要认识一下！#三农 #大山里的原生态  #一起享受大自然的美 ,https://www.douyin.com/video/7147842477548948767,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/fe6f208db8b4406190be2b53985c1e8b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=a3Pd5krZs9G%2FrLHdHKxKXzPLggo%3D,7866,1381,829,426
地桃花，肖梵天花，锦葵科，根或全草入药#中草药 #植物 #科普一下,https://www.douyin.com/video/7272169232014593321,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMbJ9oeTAAAOA74LAEfM17az3trHP2ehBBEDrI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=n%2BcOsAxb7lEIYVwVUJ3i7vSdDIA%3D,79,3,25,10
桃花...预防某些斑的产生，肌肤润泽#中草药 #植物 #护肤 ,https://www.douyin.com/video/7143758521832705320,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/f079ecdddc7d44189e8064274939efd1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=kdCyrmiTfzaz5Y4%2FRPqyCnGjPBI%3D,95,8,38,31
#桃红四物汤    让你面若桃花的秘密其实藏在桃仁里，在千古名方的智慧中滋养东方美 #属于我的多巴胺夏天,https://www.douyin.com/video/7273844066025000192,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0372db8c339f4efab065c2fca48bae65~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=5a63OCoVfk3nUb3Yd%2BHLfoTkB4s%3D,446000,7936,38000,21000
如何区别桃花李花梨花樱花梅花，这世界上的花没有缺点只有特点#一日一植物,https://www.douyin.com/video/7210752272026832165,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i5a298eb87da54d1bac539138fa8afcf5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1s0HbMvfs09euiog9c3ygUneKbA%3D,246000,13000,28000,32000
#一日一植物樱花、桃花、梅花、李花、梨花，傻傻分不清的建议收藏❤️  @抖音小助手,https://www.douyin.com/video/6927264733699542280,https://p3-sign.douyinpic.com/tos-cn-i-0813/e763376da2a34424995c419fd071f891~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=TiPkgbzKMMy7xtnjyxAmiKZHCOw%3D,68000,2702,3105,4392
#创作灵感 #大自然的馈赠 #植物科普 好看又实用的，地桃花，你们那里怎么叫它呢？,https://www.douyin.com/video/7168298807170518311,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/5bc26513fe1342b18b6218be5365ac30~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=oMhLrof6IO%2BEDRtusaJv%2BcJI%2B7Q%3D,3387,304,427,171
#大自然的馈赠 #中药 #涨知识 拥有桃花深山中的一点黄，有着高级香料的美誉，黄葵，大家一定要认识,https://www.douyin.com/video/7103739394787511563,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/7e0ffcd212dc4d86ae40a87b8714c064~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=RAZWfNRewoaEuMMc03tKu1gtD5k%3D,5952,456,807,302
#中药本草 #中药 #中药养生 黄花生绿丛，绿丛连大地，一株长的像桃花的植物，黄花稔，大家一定要认识下,https://www.douyin.com/video/7062142003382897959,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e2a81d4342c84a1a889568a6024b9a2b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=gR2hHZJp8WWLr4WdpKRQzHP50E4%3D,3537,195,533,258
