Title,Title_URL,Image,likes,comment,collect,share
牛蒡又称东洋参，大力子#植物科普 #牛蒡 #你的家乡有这种植物吗,https://www.douyin.com/video/7237752294916377915,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/640a1ca568e44af3aa2fcd7fc6231f6b_1685640918~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=w0NGzSXgsNTV7GjYVNNtEow4xfk%3D,739,26,439,172
牛蒡是怎么被发现的？ #国学文化 #中医 #中药 #牛蒡,https://www.douyin.com/video/7316803308214144290,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/25de204539d44dd0b402106e2a3a4f80~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=E7JeBrVd5FPlbU8KRXbdBBG6Ngs%3D,172,7,15,8
大名鼎鼎的牛蒡你知道吗？你知道它的应用价值吗？评论区说说看！#牛蒡 #植物科普#一日一植物,https://www.douyin.com/video/7178420613495786813,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/136b06a38a9242fab0aaecbf17d44ecb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=x3BeTFlNGDTg2BQZ%2FED6Dxaat64%3D,770,26,226,61
小时候最讨厌的植物之一大力子，原来就是说的就是这个牛蒡，而且营养价值这么高，是我肤浅了哈哈#牛蒡 #大力子 ,https://www.douyin.com/video/7111644818127834399,https://p3-sign.douyinpic.com/tos-cn-i-dy/0b5201605e1b486c807beae65cebb267~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=Mvk2Mc1%2BxKMy5xo6t0FWW4pP8FQ%3D,38000,4294,4185,2510
牛蒡...大力子，恶实，王子小白带牛蒡得王位#中草药 #中医药文化进校园 ,https://www.douyin.com/video/7157846014148300047,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6030b613d13f4b43a9f780dbd2907f49_1666565911~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Ept%2BoGStaI%2Fd%2BJ5QgfDSkUpPOH0%3D,141,6,41,6
牛蒡的传说。#中医药文化 #中医药故事,https://www.douyin.com/video/7314600964567076147,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0f369671d5c04c9187cc0a9368895c34~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=uAIha7H6NxAlb8Y7ZzeipVEaoFg%3D,27,4,5,3
籽类的中药材，你知道多少#中药材知识科普 #香附子 #地肤子 #牛蒡子 #中药材,https://www.douyin.com/video/7340238145151159586,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooB1AwL3LejcBAcBElDnR8beIZBxgN00ACdER9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=9l2vs8gNE2mZTQLwTiPtt2crcvk%3D,209,4,91,11
如果在野外遇见了牛蒡子，一定要认识一下。#三农 #记录真实生活 #三农种植,https://www.douyin.com/video/7322063433229257996,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/own6FCUBQBPnpIDpfb9YADUAgHyETgbqJuAhel~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Ai4LzdndH9EMWp6PFXrJ3HfdUn4%3D,123,9,37,17
牛蒡子，家乡有这种资源的朋友，发图片来给我确认一下。 #记录大山里的农村生活  #大自然的馈赠  #三农,https://www.douyin.com/video/7292745283300019492,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/ocnAdkl0ME95DSSAeQAhfIQnqgZCNLFBMtbTmN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=JRsMi7424O0%2FTvOlAMioPKwEj5Q%3D,91,4,31,5
带你认识26种中草药 天麻，丹参，白英金，刚藤，牛蒡，三枝九叶草，看看你的家乡有几种？都叫它什么名字呢？#丹参 #识百草 #中草药,https://www.douyin.com/video/7366199504288124160,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYjegPz1rQfQfAzZfIagI3iF8nP8ARY5RYffcw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=cuvH8kTwgpjNLdTeM%2Blt%2F%2FJ6xgQ%3D,9280,399,6184,1206
