Title,Title_URL,Image,likes,comment,collect,share
这个才是真正的蓖麻，它被称为完美毒药，各国特工的最爱，也曾被列为战略植物，我们也曾经广泛种植过它。#蓖麻 #蓖麻子 #植物 ,https://www.douyin.com/video/7040072321989676324,https://p3-sign.douyinpic.com/tos-cn-i-dy/2fd361e2facf4d9ab608daaf1e8d067c~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=AjuaWY2scPGVnvA5t9ma0ELpgpE%3D,16000,170,1927,3034
蓖麻4个有意思的地方#抖音自然 #抖音打野牛人召集令     ,https://www.douyin.com/video/7119761762114735373,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/bba06545732c47df812fa852220f1cb6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=0p2HP4v%2BmJbwvJgxHlhUMYrhyv0%3D,5644,287,714,430
蓖麻全株有毒，遇见了不要轻易触碰#有毒植物 #蓖麻 #植物科普,https://www.douyin.com/video/7239365224606731575,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e3ebcea70f984e238faf9053f7a207fe_1685547084~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=EoXuVda%2F2OtdJVbVoPRMe74GtaE%3D,6730,293,1850,1032
蓖麻记得小时候常常摘它的果子来玩，现在才知道它有毒，#植物#蓖麻 #乡村守护人,https://www.douyin.com/video/7163183541776321831,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/0b8bc852b39a4395bcafebdf324bba44_1667881272~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Wy5z03o7u5dsibcA2LAHpPyOaD0%3D,529,68,117,110
蓖麻，小时候没有塑料袋，常用它的叶子包裹东西，也经常玩它的果子，现在才知道它原来这么毒！#植物科普 #中草药 #三农 #蓖麻 #上热门 @抖音小助手,https://www.douyin.com/video/7293463394286374185,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/oE1ljAA4yAABxXq3CJfhgszbAmAe3cAIEAt6D8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=dBXLqOKt6%2FlsPGW6G8rksaSwvZc%3D,5704,1514,1101,683
又见蓖麻，在野外荒地的黄泥土上，肆意的生长着。虽然都知道它有毒，但它也是重要的工业油料作物哦！#大自然的馈赠 #乡村守护人 #新农人计划2022,https://www.douyin.com/video/7173616412798242055,https://p3-sign.douyinpic.com/tos-cn-i-dy/b9b86959f6be49e4bc591285db63dd01~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=107HpEFjGOiwm%2BA0s9%2Fkv5EZcdE%3D,21000,1987,1806,1560
#一日一植物 蓖麻到底有没有毒加长版，看完的小伙伴请举手。 #暑期知识大作战 #寒假充电计划,https://www.douyin.com/video/6864614984475839747,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/21569f7adcc04a578e9978e4b9dc8824~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=bIc1obXzZ5PARA4woauOkZ2lg2I%3D,167000,9809,3313,3416
#一日一植物 毒物，20粒可致命；大戟科·蓖麻属#暑期知识大作战@抖音小助手 #寒假充电计划,https://www.douyin.com/video/6864145003887824140,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/32bddd9efceb4f139a77477616be835d_1598183346~tplv-dmt-logomcc:tos-cn-i-0813/2c307a515fe64871b7e784672dce9b5f:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=HOT5wY15wulmSRER9C3SxeAPqvU%3D,89000,16000,1944,2860
#大自然的馈赠 #我的乡村生活 #植物科普 身边最常见的植物，价值特别高，但你真的了解它吗，蓖麻，你的家乡有吗？,https://www.douyin.com/video/7296341823331536165,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQ8IggQE9830AqltsfcXAEhQBzLEtOAJ9BBfJD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=b7xze3RusZCkMTjdnQS4Q8DAczo%3D,4450,281,523,228
蓖麻是一种古老的植物，可以追溯到史前时期，它原产于非洲，后来经过丝绸之路传入我国。你的家乡也有蓖麻吗？管它叫什么名啊？#植物 #蓖麻 #新农人计划2024 @抖音小助手,https://www.douyin.com/video/7359136896909364507,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8zPrhNDPI6Esf8AtDnNgr3AptRVBegrgzEHAA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=m%2FIPtFaqflzwt3fh8IcR0jwtP0g%3D,16000,11000,3285,1887
