Title,Title_URL,Image,likes,comment,collect,share
这种一碰就爆的植物叫黄花酢浆草，你认识了吗？ #植物科普 #新农人2024,https://www.douyin.com/video/7351787823139179810,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQNzKnnQhUYCIBfgzqqAvz2NcYHeBEAAGEAbum~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=h6Q0%2B7IetqiA8i3GYnjs0O6HQ9M%3D,273000,93000,76000,44000
农村路边常见的酢浆草，遇到了不妨了解一下。#植物 #dou来广东百千万,https://www.douyin.com/video/7315402457574608162,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owbLUyACbAIJ2fs0Dn7LqeCSDDBa8BMZfwVQXz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=mzYi5z1GHk5%2Bxxz8Ep%2B2LYbmceo%3D,3069,178,1092,279
酢浆草，酢同醋，同音同意，所以我们就知道这株草是酸的，又称三叶酸，不仅酸脾气还很大！它全草都有很高的应用价值，您都知道那些可以分享在评论区，我们一起学习！#识百草 #三农 #植物科普 #酢浆草 #小妙招 @抖音小助手,https://www.douyin.com/video/7301996976919366948,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oAgAWhv0yAAu5TFCAzCQBuIqfAPEDIte4A9xVF~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=AEg8XMQ1AetJhi%2FSx9ZQY36ApQY%3D,1377,123,651,285
把植物印在纸上：酢浆草......酸咪咪，钩钩草，三叶酸#中草药 #中草药 #科普 ,https://www.douyin.com/video/7105580036228533539,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/cee4f3b9a4144c74bc4b6be31291c1d7_1654396779~tplv-dmt-logomcc:tos-cn-i-0813/b381fb59307746abbd7f1a1df974f136:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ElmOfrQqmTwKCYM2BuMaSuf6hBg%3D,46,3,16,3
童年零食水晶小萝卜，究竟是什么呢？#酢浆草 #三农 #新农人计划 #大自然的馈赠 #嵩医,https://www.douyin.com/video/7214031920093613372,https://p3-sign.douyinpic.com/tos-cn-i-dy/57e5f1feead94d20aff18c131e0aafa8~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=KE8utrnA2b%2Bf7wk7HmcKgUaA6xw%3D,919,181,191,73
这个植物的名字你怎么读“酢浆草”，儿时的玩伴 #一日一植物 @抖音小助手 ,https://www.douyin.com/video/7081636763906608392,https://p3-sign.douyinpic.com/tos-cn-i-dy/1b34dd3025b14792be5d33208fffa096~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=%2FOhISYSNdqOiUB8b4Fj%2F3hV8Hi4%3D,87000,4799,3635,4181
#一日一植物 100集了，用酢浆草播种的方式庆祝一下�感谢一路支持！ #寒假充电计划,https://www.douyin.com/video/6829662703922187524,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/8ac744783c454a02a4fb62e30f56008b_1590154819~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1ryLydqoEZnHAbgg546V8eNkTzI%3D,24000,1801,422,641
#一日一植物 NO.44  你小时候会叫她什么名字？酢浆草  @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6806998501877140749,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6a2e1cd8f883490c9a67567293f1523d_1584877894~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=dvBusFqK2dmBxMxwGkQZ0kzQ7dM%3D,18000,2114,472,1077
酢浆草，这种长出水晶小萝卜的植物，你有没有把它当城市绿化带的四叶草？#新农人计划 #传承中医文化 #酢浆草 ,https://www.douyin.com/video/7093076371982781703,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/e2ced791833b47fe9bbbd695910a5ef5_1651485553~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Xz1JWCNQJbD97TBAEHthJ7Jqhgk%3D,4248,320,542,688
#植物科普 #大自然的馈赠 #我的乡村生活 比醋还酸的植物，酢浆草，你的家乡有吗？,https://www.douyin.com/video/7331270903726230834,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooP3zNLlAh6DIG64WBygfBx9EJevAILxmAXRuG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=elj6XD3piE%2FTJtwPzmr3nKA5Z8w%3D,2081,140,153,61
