Title,Title_URL,Image,likes,comment,collect,share
《本草纲目》记载，马鞭草因顶生的穗状花像马鞭而得名，你知道马鞭草吗？#植物科普 #我的乡村生活 #dou来广东百千万,https://www.douyin.com/video/7372119687359991074,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMA5EiH3bkIgABBgHQnZPMPDwgA8tH2x8Iiv9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=H%2F9%2FhVcPprrwe4YETyRo7TjGTis%3D,22000,2515,8687,2989
土牛膝又名铁马鞭，村里人采挖它的根部回来晒干。你的家乡还有这种植物吗？  #我的乡村生活 #dou来广东百千万 #植物科普,https://www.douyin.com/video/7370518462738861347,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ow9BaeA9EfrbZUSb4mFKAxCJJaEAIcVCnVVpDg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=WOUrmUEtkMYyJ0U0NoD5r2lXvmo%3D,2134,144,508,219
柳叶马鞭草为什么叫柳叶马鞭草？#新农人计划2023 #农村生活,https://www.douyin.com/video/7248765208808787240,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEPyTDzDEABhpqH8tAAgI2tfcGYFjhWTZ7DeDy~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=xKZ1fcVHlYML%2BgVXbZucX67C9zw%3D,1128,32,115,43
马鞭草为什么叫马鞭草？什么季节采摘最适合？#新农人计划2023 #乡村守护人,https://www.douyin.com/video/7240974232325213474,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAc3wEDzyBGGS82fhPcoUAETAAt9tPEgHeI8tE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=O6iQ34ttLafPEkfYBDLjjGdfBJ0%3D,2847,193,483,176
紫珠，紫荆、紫珠草，马鞭草科，入药部位为 叶 #中草药 #植物 #科普,https://www.douyin.com/video/7273823834355010828,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oU92AdtzNEFd9DkAD0diD8EdxCDAUhAAfAAfIg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=2I%2FZTfrmAUPMfBykzv35iacuGRU%3D,65,1,5,1
马鞭草，燕尾草、马鞭梢、蜻蜓草，科马鞭草属#中草药 #植物 #科普,https://www.douyin.com/video/7235622701321260303,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEI9hNkAhW5amNqqnAEOea81yiABegbJDGACxI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=KQ8DEQ1fmMYVzoIi7LJinaJrkkI%3D,73,3,13,1
这个草还有几个人认得它，现在老家已经很少了。#你的家乡有这种植物吗 #新农人计划2023 #大自然的馈赠 #马鞭草 #嵩医,https://www.douyin.com/video/7262151288769563956,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/18bab75306f44999b24f934fa759d309~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=yv7303w34gwEWpyshzU0yho6EO8%3D,2223,179,491,115
#一日一植物 豆腐柴，马鞭草科豆腐柴属植物，做绿豆腐的原植物。 @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6858557020308524291,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4547be7749ce4250bbf11fbad8b0327a_1596882354~tplv-dmt-logomcc:tos-cn-i-0813/86bcfcff88c9466095c7c2b781c26556:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=zBdSuRRhVc3HtUlYqk15O87NV40%3D,33000,1755,1191,1243
#一日一植物 很有观赏价值，却是世界十大杂草之一，马鞭草科马缨丹 @抖音小助手,https://www.douyin.com/video/6833742163608685835,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/8a177e8d25ef451c99d023a1e1c47571_1591104623~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=3ripOxotGUTBZX4I5TQtYGpGFE0%3D,75000,22000,1723,8699
马鞭草#三农 #记录大山里的农村生活 #大自然的馈赠,https://www.douyin.com/video/7297773287990431039,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogIBGeK4cCwvBmn8QbnwfEIADF5B2jaeABvA7i~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ICBZGccQPUoqwMOTCbN%2FzH07EJ8%3D,120,31,41,10
马鞭草，#三农 #中药材 #寻找1000位科普达人,https://www.douyin.com/video/7293485524692553023,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owD7ICVb6nwEC8A9mqNleB8pL2tne0gAA42a3B~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=hMJI3LqHpRqt%2BVWmFNfIgRBG0HE%3D,74,7,30,8
马鞭草#三农 #支持三农扶持三农发展 #助力三农,https://www.douyin.com/video/7275666717232221481,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAhUR1fB7AQAWEL2ovhVG4PJf7A5HByLCAfhc8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=xSpSsh91QZ6TOx2CxztpUCgXtzs%3D,67,3,24,9
