Title,Title_URL,Image,likes,comment,collect,share
草珊瑚真的像珊瑚吗？#新农人计划,https://www.douyin.com/video/7309994132607405364,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oInkjugcbAIUeDDJFn9ldgBOoDADeA0IblrQBG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=8mVtb5mNchKd%2BNQfbk%2FNVpPHgU8%3D,815,36,88,39
珊瑚樱为什么叫珊瑚樱？#新农人计划2023,https://www.douyin.com/video/7305182254710394164,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQ5YDEOInxHiTBOlgDbKAGDkKeXHqlAAjUf9Xh~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=LJuyd1M3Vrj6Y64Ijxr4ZJdFlLw%3D,3053,1568,449,315
草珊瑚，又叫九节茶，结的果实像珊瑚一样美艳#新农人计划2022#抖音自然  ,https://www.douyin.com/video/7123722609765715207,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/8c9cd8384e5e464d93d62463e8b884f5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=tanX7rAKQjCbFMFIsyfPJ%2FWzSQM%3D,29000,1200,4212,2053
草珊瑚又叫九节茶、肿节风，你们认识它吗#草珊瑚 #你的家乡有这种植物吗 #识百草,https://www.douyin.com/video/7221173507009400067,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/117eb83a7d9245c78757f781478c1387_1682681640~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=7rQWN2e%2Bw03KMFbgottjqTfb6vY%3D,899,68,413,264
这个生命力顽强的植物你见过吗？#珊瑚苣苔 #三农 #大自然的馈赠 #植物科普 #新农人计划2023 #嵩医,https://www.douyin.com/video/7244448186260065540,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0cb9b4e5d37d4d1facca6aab8a76e897~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=OkOR6No0i%2FqjXqT1eQFzoP7UM9E%3D,4943,316,1215,281
#一日一植物 草珊瑚，药用价值广，人文历史丰富的植物，你们叫什么 @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6902005728614026507,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/277b152ad33c4e13bae357b5655a6e32~tplv-dmt-logomcc:tos-cn-i-0813/e1395e4d4b2c4d5088bc2ddb50232f2a:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=aoNvmJVnXM4qhfqWgbQ5Yng0XyQ%3D,38000,1270,770,1273
#一日一植物 珊瑚樱，这个植物我不能帮你们尝味道了，因为有毒。 @抖音小助手,https://www.douyin.com/video/6901621883322551555,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/1dd9750860044bd3b9780b5c173bec93~tplv-dmt-logomcc:tos-cn-i-0813/6b9ca96e8741492ba2f6e8f34dfd1714:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Bd70KxZAJZZkRZ2kfwIL43upHvU%3D,53000,7508,722,1106
#植物的朋友 Q～的珊瑚菌同学，真菌界的小明星 @抖音小助手  #知识创作人 #寒假充电计划,https://www.douyin.com/video/6883822261082623235,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/539749a127f2465b88db6384c592f6cc~tplv-dmt-logomcc:tos-cn-i-0813/db62bc30b0c14f0c97975d35cad7ba64:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=wh9fvVE1g0SNwVrOc5G4KqcCU3M%3D,31000,1999,286,609
#大自然的馈赠 #植物科普 #我的乡村生活 这株植物的名字相信很多人都听过，但真正长在野外的你一定没见过，草珊瑚，你的家乡有吗？,https://www.douyin.com/video/7353579977880784165,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYM9zhg1EXmB4FAhIBNZ8NfNVDvTKAtSMcAZlf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=n1NjSZ1TZ1tMq7ZobgqJYw4TLf0%3D,8557,396,1748,551
#大自然的馈赠 #我的乡村生活 #农村生活 当你嗓子不舒服的时候，它一定帮过你，草珊瑚，你的家乡有吗？,https://www.douyin.com/video/7239634534029970744,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/475e3590eafb4258b59a4e98cae88703~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=UTFvx3CXKbhPSB%2FQRsbgtxGDDKk%3D,7416,238,2005,796
