Title,Title_URL,Image,likes,comment,collect,share
白头翁颜值极高也急需保护，由于药用范围较广，野生的质量高所以数量正在锐减，今天就和大家一起来欣赏一下它吧。#白头翁 #中药材 #中医药文化 #野生药材 #识百草,https://www.douyin.com/video/7353263252484230427,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/7b55ecf3ccb34f17a85b3aaa7f912fcf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1c%2BsSh5vmKz0T%2FwpP8WEIBymhWc%3D,678,80,127,62
这么大一棵白头翁，不知道要长多少年，虽然它头不白了，但是我依旧期待它的盛放。#三农 #中草药 #新农人计划2023 #支持三农扶持三农发展 #植物科普,https://www.douyin.com/video/7252641159787334967,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o4Abj0bPzIClJmIcA3fANUerDCNKyAAEhWgOAU~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=b0WRgVPdLJ8eozY9ZDj6YAufpbM%3D,274,34,47,14
野生白头翁你那里还有吗 白头翁，又名毛骨朵花、野丈人，花开后非常漂亮，花谢后像一位白发苍苍的老者，你那里有白头翁吗，叫什么名字呢？#识百草 #三农 #白头翁 #植物科普 #大自然的馈赠,https://www.douyin.com/video/7371033721102732607,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/os3fZiYbACCeUB7kI3LAI3bP1AiAJz8DgBBLE9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2FqnsbSHXtkxglV0RZlMIQJ96JjQ%3D,4732,833,1632,423
#白头翁#故事 #科普一下 #中草药 ,https://www.douyin.com/video/7093806598048501005,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/a3ac65a7b6d040858d16e2bab3e1eaa5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=TUU8Z%2FBfbWyhKFJ0Rp9MfqT65tE%3D,129,3,15,17
白头翁别名奈何草、毛骨朵花，是一种颇为神奇的植物，你的家乡是怎么称呼的呢？#你的家乡有这种植物吗 #新农人计划2023 #我的乡村生活,https://www.douyin.com/video/7221081007854800180,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0QLZIgBLCNaAA79ftgAT5HBxuPetbKzh20wea~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=e4WjkxUp4MQdGUnlew6mhiKHBnY%3D,218,15,37,7
白头翁......老爷爷白胡子#中草药 #植物 #中医药文化进校园 ,https://www.douyin.com/video/7105968255508024617,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/7fb7af069f174bda8bb6b20470964583~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=55eu3XbtMEsRVKwFOEMDTdtQzts%3D,97,1,28,11
白头翁会早春开出蓝紫色的花朵，花谢过后顶端长出众多银色的细丝，看上去尤如满头白发的老翁，故而得名白头翁！#传承中医文化 #中草药 #白头翁 ,https://www.douyin.com/video/7184727622104960312,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/fd2a1cc5a2f04f6d8826ceceba29b890~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=hWGpUrE7UPdlj0Dtx4BEa%2FnfHF8%3D,8541,628,1463,940
春天来了，万物复苏！白头翁，这种花期较早的中草药是不是显得特别的美！,https://www.douyin.com/video/7068967515812154631,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/649427927c51436ca71d6009ef275934_1645872262~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=qo74FkLWzQ%2F9RSi24CnLjaMDbv8%3D,2849,153,289,297
白头翁：发芽开花非常早，不但有很高的药用价值，也是比较珍贵,https://www.douyin.com/video/6937604035323186439,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/18a0eba18fe44207bb56143738b32c47~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=rvGx6zH6DW0F%2FyxpMG5hpfXaqWQ%3D,4064,361,343,520
白头翁 自怜白头无人问，怜人乃为白头翁，有着悠久用药历史的，白头翁，你的家乡有吗？#植物科普 #大自然的馈赠 #我的乡村生活,https://www.douyin.com/video/7363504184093609242,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQwN106A9QSABDNbIEIB3snmeIIeDAJGBgHrbM~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=%2F%2FvkuDL8NshR3p1iOYwCdMUtvrs%3D,2974,188,219,66
