Title,Title_URL,Image,likes,comment,collect,share
芭蕉花你认识吗？在云南芭蕉花是一种不可忽略的食物。#新农人2024 #dou来广东百千万,https://www.douyin.com/video/7329464495770733864,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oQ1tnbViADnNQWfV6AlgeChuIc93AAgsFAKATg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=zF35FjQ5%2BnZ%2BM4EKehLdofDktJM%3D,1175,62,342,138
芭蕉树里的芭蕉水你知道吗？懂它的村里人常常采收它。#广东dou是好风光 #dou来广东百千万,https://www.douyin.com/video/7311707551433772288,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUDAxpfvCEz1tJCAOUZgt5h9y4Iie41ANt2DZB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=QgXtZmWDrHkjMPW%2BWrcWeo1hGOU%3D,7213,210,2595,603
芭蕉水是指从芭蕉茎内采收的汁液，看看是怎样处理的。#农村生活 #植物科普,https://www.douyin.com/video/7270911357459926324,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4pnDNgIhVzAcNZf78ByXyduKUIAeADGEi2xNF~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=NKMuS6Q%2BzHbrUAKVibo2X4dwDRQ%3D,3001,248,753,328
你了解芭蕉花吗？芭蕉花还是我国云南不可忽略的美食。#我的乡村生活,https://www.douyin.com/video/7257929558240890127,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/o8AAsHrZJBA6YvGfAPEeLFec5AEQag27gBUvl4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ebd9ogTi61dkpIdPbrh3DbcYvBg%3D,1314,45,256,149
芭蕉皮#西瓜知识,https://www.douyin.com/video/7128776868643294494,https://p3-pc-sign.douyinpic.com/tos-cn-p-0000/7538b2a76a134fe7b3ee90f85d88f56d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=wk8TY05HDvhk52lviRslIcDibCE%3D,613,36,117,98
芭蕉和香蕉要怎么分辨？#大自然的馈赠 #三农 #野生植物,https://www.douyin.com/video/7171083027840371999,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/00e30235950a480782f139a9db3c98f6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=FHHfFdl8suksvIMbOzxVkP%2Bi1Lo%3D,3272,145,299,208
百晓参：芭蕉好吃，芭蕉花竟然更好吃？！  #原创国风计划  #一口吃掉春天  @抖音小助手  @抖音动漫,https://www.douyin.com/video/6941334632117947662,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/62c74fcf52bf40769e2c962df0e80cdf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Evx0gMdBrm8ZkWcH67TLkFjYRT4%3D,90000,327,1703,497
#植物科普 #三农 #中草药 香蕉大家都吃过，但长在野外的芭蕉，你们见过吗？芭蕉好不好吃，又有哪些妙用，这个视频告诉你@DOU+小助手,https://www.douyin.com/video/7278977671906741563,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/os9gzNEJAhNDIpHkGAygfCHEELegAACpAAKAkS~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=vICXQ0yazhUjHbFS3lGZKLp555w%3D,4341,211,531,251
#大自然的馈赠 #我的乡村生活 很多人都不知道芭蕉怎么吃，今天就教大家做一道心欢汤，学会的告诉我,https://www.douyin.com/video/7157259360463293728,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/90b66076d242409581fb5a2e8af382d8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=KFQ4%2Ffghn1pw24BPPVkAH%2FeHSww%3D,11000,546,2203,1631
#创作灵感 #大自然的馈赠 #农村生活 走进深山，水不够喝了，口渴了怎么办，教你一个好办法，芭蕉取水，大家学会了吗？,https://www.douyin.com/video/7154534318402964775,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/2b5693ab523f42fe97755c80c420a341~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=yRZ79gwu9UEjzeLlBLf2UYmIRho%3D,7822,1608,548,217
