Title,Title_URL,Image,likes,comment,collect,share
青梅泡酒的三大步骤，你们学会了吗？#新农人计划2023 #优质农产品 #三农,https://www.douyin.com/video/7229116407735160098,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8IlQHCF2eySAoPRW5ag2fC6qUfDaHRA00fxEq~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=4sGNRp8n4DEVBDpJWe2Dm4dZ3tg%3D,877,46,110,103
今天上树摘青梅了，你们吃过这种青梅吗？#新农人计划2023 #优质农产品 #乡村守护人,https://www.douyin.com/video/7227622156140645667,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oABAnttNTg4ezysIDCEhAQBNrAJfEQgwyPXi05~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=qN7Uhz6VtAakG%2BKr1%2B5eTENNFjM%3D,779,34,35,21
生态青梅可以做酸梅酱，不知道你们吃过没有？#新农人计划2023 #优质农产品 #三农,https://www.douyin.com/video/7226142576334605583,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogQ9nNkAGHN6v4IInAIomSetbfGBIgbHDaA8rm~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=EzDNKJACTEXqaQBQQRd0H%2BbQnz0%3D,756,63,23,22
为什么又小又丑的青梅果反而泡出的酒更加正味？#新农人计划2022 #农村生活 ,https://www.douyin.com/video/7088842323798281506,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/8d7174b175514a6e9448fd74534f129f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=9fnED2%2BK%2F%2F1MQjL2d2QAMgwa86Y%3D,1696,115,189,67
如何用青梅泡酒？5个简单步骤就能搞定 #新农人计划2022 #乡村生活 ,https://www.douyin.com/video/7086607166185934121,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e6662201c1794a6fb93923dba7bb157b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Qg0%2FhSOYMyGvkEcQH%2F5CO7EsDTA%3D,3193,246,585,793
关于青梅的三个冷知识#新农人计划2022 #抖音自然 #乡村生活 ,https://www.douyin.com/video/7084077430406679808,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/8b2873ac33304a5f894d314eaef958d9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=aYbOF6Y6v0XxSSXYTE3BoB%2F6GXs%3D,4594,488,344,301
青梅三大怪#新农人计划2022 #抖音自然 ,https://www.douyin.com/video/7082519019273669923,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/32faa59b8e464337a4307364e8599d77~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=l5JOO6QmrEmEIQlIfUlv9PZTI9Q%3D,7337,706,690,839
详解粤北山区生态青梅的三大特点#新农人计划2022 ,https://www.douyin.com/video/7081047145486290210,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/96e5dcf18f2a4760a91ba4d402e48897~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=CGpq7mXGffiovqSjnnT4AcIpPqo%3D,2936,181,238,134
#涨知识 青梅“竹马”没想到这么管用（下）！#小故事 #传统文化 #国学智慧,https://www.douyin.com/video/7085642132127567116,https://p3-sign.douyinpic.com/tos-cn-i-dy/cedf7e178df84ff0b0365a626b805f72~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=%2BbiZjQa%2B7EHTarX0SWm1V5jT2IQ%3D,432,8,29,18
#涨知识 青梅“竹马”没想到这么管用（上）！#小故事 #传统文化 #国学智慧,https://www.douyin.com/video/7085641760705187110,https://p3-sign.douyinpic.com/tos-cn-i-dy/217f273139ab404cb37748a1b18e63a8~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=KU7d3smib%2FwM5GOvGpkG%2F8dEv6c%3D,4968,53,528,210
一口青梅酒，是历史的调味，也是百态的调味#青梅酒#与落日切尔斯#夏日必备微醺仪式感#梅见大红梅#梅见,https://www.douyin.com/video/7368869657903697152,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i2ae44cb048484295a00a1ebf35e8bd62~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=3Ld070wfB93JN7BBhc3pT%2FryDBU%3D,15000,651,753,405
少女把梅子当出阁礼物，但更多人还是习惯乌梅的味道 #乌梅 #青梅 #纪录片解说 #酸梅汤 ,https://www.douyin.com/video/7319804257849380147,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/3b48599fcf3a456a85da7b77b7d398fe~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=vbAxLI8sjR%2BC5ntZ%2FIT9%2BTVjlY0%3D,14000,296,1125,2143
#一日一植物 咏梅，如果梅花会说话，一定会和我们讲很长很美的故事。 #青梅竹马 #青梅煮酒 @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6922416393061223692,https://p3-sign.douyinpic.com/tos-cn-i-0813/86375bd09e6b4decaf8d208d078c451b~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=M%2Fs%2FBjv2%2BSZoZ986jGGJ7VdHn84%3D,46000,2528,950,1696
