Title,Title_URL,Image,likes,comment,collect,share
长在高山上的接骨草#新农人计划2023,https://www.douyin.com/video/7265110753949093160,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIPAHukxC29OD6DAetAPzEInSg8D03eBambT8F~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=RqPfVfNiyNIdb4jDB3c3KtMXRik%3D,3674,159,990,230
这种植物叫白接骨，不知道你们见过没有？#三农 #乡村守护人#植物 ,https://www.douyin.com/video/7143761469933473061,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/b0cbdd036c2f4db5bc4d2ffb2c88cc7b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=wDYNb5a9DRx%2BnzWZ4b0OlpdTmkk%3D,11000,623,1739,606
接骨草为什么又叫八棱麻？#乡村守护人 #新农村计划2022 #农村生活 ,https://www.douyin.com/video/7128526896735800610,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/0093b3d38ef545efa3714e7efdfba571~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=kowoWaGY%2BN4PzWzZTe1EMbnrf1Y%3D,4907,248,795,326
中药故事——接骨草。#国学文化 #中医药文化,https://www.douyin.com/video/7244107250011360571,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/d6a35f2acd024388b5d588ee254cb354~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=4tmZ%2B1E7M2vapYEyTdDGbN6Oy3Y%3D,192,8,33,16
接骨草全身都是宝，你认识这味草药吗？以后小号直播@青山眼里直播号 大家可以关注一波#接骨草 ,https://www.douyin.com/video/7096385421629852959,https://p3-sign.douyinpic.com/tos-cn-i-dy/bc9578d2514a4a848f40769487eed821~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=9yn3X9uRLwfEquJZs%2F9BF3%2FS%2Fns%3D,113000,8186,27000,20000
将酷烈热毒的金石，化为接骨疗伤的灵丹妙药，这就是黑玉断续膏 #非遗传承 #自然铜 #黑玉断续膏 #中药炮制 ,https://www.douyin.com/video/7274139707078987045,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/owkeDCT7IAX1C85AEzAyBAAcARfucCt6tgpzdh~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=3RyO%2BuvXI%2FKYHDKBPYiy6M5t6%2BI%3D,74000,4382,12000,4663
问荆，接续草、公母草、搂接草、空心草、马蜂草、黄蚂草、节节草、接骨草，木贼科，全草入药#中草药 #植物 #科普,https://www.douyin.com/video/7275157650613046591,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/0553905a2bdd4295a79fba7c8aa2ad75_1693879652~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=MYZVEC%2BSJu%2F8SpqeXj%2BIeRNoVq0%3D,68,1,8,2
"肿节风，九节茶、九节风、接骨莲,九爪龙，金粟兰科#中草药 #植物 #科普",https://www.douyin.com/video/7260068794821774631,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/o8GIeANnkC5aQikeDAAP8AIwAACBbwcgq9QCGT~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=AuEnWulRenyFfUCuHKTJUWJHmUc%3D,75,2,20,1
节节草也有人叫它接骨草，学名‘’木贼‘’。很多人不知道它的4大价值。#你的家乡有这种植物吗 #大自然的馈赠 #植物科普 #草药科普 #木贼,https://www.douyin.com/video/7235164133405035835,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i0577d3b55e2c415ea4b91b372927699f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=wJT2hxzGjjJjapSUh1y3NmniqJw%3D,1161,135,533,342
你知道它为什么叫这个名字吗？#接骨木 #大自然的馈赠 #新农人计划 #植物科普 #三农 #嵩医,https://www.douyin.com/video/7236641347334180156,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i75d3afa2b5484d01aaadd8d065615097~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=%2FHwZLe6jbTtTmVQ8seHlOSz4V4c%3D,2457,112,770,249
