Title,Title_URL,Image,likes,comment,collect,share
在甜品里加薄荷很常见，但会再肉食里加薄荷的，除了云南还有哪些地方呢？#中医  #中草药 #薄荷 ,https://www.douyin.com/video/7025555307828989184,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/047c7cd1a7fd409fb6dc7f4b7fe9c224~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=lfa90jlNxDf2Dhl4CnHpcvICdTA%3D,2432,148,165,344
广为人知又默默无闻，却每年都能给我们带来清凉，它就是薄荷，似乎陌生又熟悉。#中草药 #三农 #新农人 #新农人计划2023,https://www.douyin.com/video/7242687469068487996,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/604ef5a01ed940b388fbf873829380a6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=GSk52HTRsI0hlNzr%2BucHu5GRNuM%3D,218,28,25,6
你是不是分不清楚薄荷和留兰香？因为它们血缘关系太近了。#薄荷 #十香菜 #三农 #新农人计划2023 #中草药,https://www.douyin.com/video/7231864028325367095,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i143b7faee148474189583447687ec0bd~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=87CF6%2BCFQ0nOLTXf3eriJyjnLHc%3D,159,48,23,8
雨后的沼泽地，找到野生薄荷，今年第一口清新的味道！#三农 #新农人 #中药材 #中草药,https://www.douyin.com/video/7218236907099049256,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i2389863917c6406398e4b44e53218592~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=J3mbZpA%2Bv7FlwGBcn2hRfJq9kfw%3D,30,10,2,0
薄荷的珍贵只有老一辈的人才知道，看看他们是怎样处理的。#农村生活 #农村美食,https://www.douyin.com/video/7294295281057778996,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okleNt6YvBWIoAe9OAxQ3v6DkOA5gBb4crinDq~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=xm0OS4TqgHuvBW5HfUhvoWz7x6g%3D,1643,52,555,256
薄荷揉一揉提神又醒脑，你家乡有薄荷吗？#我的乡村生活,https://www.douyin.com/video/7256444418536918306,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMDfjA9AQAAbzgLQAkAgzcxvNC8HhRtnBEOPem~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=TKpmon6Csr1eW7LtpBg5NPvr08Q%3D,929,23,223,70
百晓参：猫薄荷原来是这种植物，人也能吃！#充能计划 #轻漫计划 #原创国风计划 @抖音小助手,https://www.douyin.com/video/6933525333283048711,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/96328ffe829a4a229a21e8417211015b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=uhkIiQ1Lw4m8aKYuhLUMUsUXRYQ%3D,7359,141,313,122
薄荷...银丹草、夜息香，唇形科，中华常用中药之一#中草药 #植物 #科普,https://www.douyin.com/video/7221725869276990720,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/07e642559e314b3c8cd9288d1a1f55f1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=yJZpMWbBQcqtww0WJuavKDGDBZA%3D,145,5,23,6
薄荷反...#中草药 #传承中医文化 #科普 ,https://www.douyin.com/video/7161329046511504675,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/699b111c9af34777bdf9fa40f8235916~tplv-dmt-logomcc:tos-cn-i-0813/bf0c900d80b7437eb945a8ee4eec8307:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=xQVFPUcS3MXkHmJjl1ZKEVuBk7s%3D,116,2,81,19
真正的薄荷长什么样子，你知道吗？#大自然的馈赠 #新农人计划2023 #植物科普 #抖音新农人 #薄荷,https://www.douyin.com/video/7261880417307954447,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/c1548e4dd97341a68812e52382ae47a2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=jw55HrCFafkk3nMHb3TkifTb2Qo%3D,2425,112,559,165
你平常吃的是薄荷吗？吃薄荷的时候为什么会感觉到凉#一日一植物 @抖音小助手 ,https://www.douyin.com/video/7136535643244498190,https://p3-sign.douyinpic.com/tos-cn-i-dy/e6a0979a7e2549809ee45aad9864bf69~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=PwxXBq9HtNrwYpMyx3OtLHjVKWY%3D,637000,55000,77000,98000
#一日一植物 全世界都为之着迷的香气。唇形科·薄荷属@抖音小助手 #寒假充电计划,https://www.douyin.com/video/6863422067631475972,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/9fab127603a94448b84de57f87ec099b_1598015009~tplv-dmt-logomcc:tos-cn-i-0813/eda4b438f97c402ab17834d6800d80bf:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=6NhI1Z7yfFxAwEqj3GRGTEdssVQ%3D,41000,1551,785,1117
这些中药材你都见过几种？你还想知道哪些中药材呢？#草药 #薄荷 #常见的中草药 #中药材 #中医药材,https://www.douyin.com/video/7317554349012421888,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8LuEe00sCNhlA47NBVALDgMeGBJAn2YfjtPHQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=SB41fWCPPZf%2FYHSQDzxwSam802E%3D,221,13,148,25
