Title,Title_URL,Image,likes,comment,collect,share
有很多人可能就是因为桑葚的颜色所以选择不吃的吧？#抖音自然 #桑葚,https://www.douyin.com/video/7230246677049920768,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUCINQfzgA09AwEE9eb0vknBRYVDkDADxjE0Dt~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2FIIlh%2B2rPr2iIvGrJkw9wJm98nI%3D,1711,63,168,265
又到了吃桑葚的季节了，既是水果又是药材，童年需要它解馋，成年了则更需要它。#中草药 #桑葚 #三农 #新农人 #新农人计划2023 #支持三农扶持三农发展,https://www.douyin.com/video/7230823562326674725,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/i08f262be3dad4b76a2a3faaf8bf7c8e7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=mSM5sd%2F2oXbAEz2DFwvVLSuy08E%3D,80,28,3,3
一种植物却是十余种药材，因为名字却被人嫌弃。#新农人计划2023 #三农 #桑葚 #大自然的馈赠 #中医,https://www.douyin.com/video/7224383178662825272,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i172cee5da6ad43e189356e65cb499f7c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=T99ja%2FWnXivazH8%2Br27ymdxkCDQ%3D,53,7,13,0
桑树浑身都是宝啊，桑叶能制茶，桑葚能干吃，能泡水喝能泡酒，真的是好处多多啊！#新农人计划2023 #桑葚熟了 #桑葚,https://www.douyin.com/video/7223658085217324340,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQU3DAAeZI2JB9EgzJAPdaQ5O2lKnbmBNtXk5f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=c5ccLtI6ZlEQADR62t0m84gziXM%3D,123,7,31,40
你知道吗，桑椹又名【文武实】，入药始载于唐朝的《唐本草》#中草药 #本草中国 #桑葚 ,https://www.douyin.com/video/7029120401666034958,https://p3-sign.douyinpic.com/tos-cn-i-dy/a1d496c476ca4fdfbdc369c781e379cd~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=laOwb6KxHVfg%2BBROxs%2FRCRqm5rk%3D,1151,23,64,148
到了吃桑葚的季节，你有多长时间没过桑葚了。#桑葚 #新鲜采摘 #又到了吃桑葚的季节了 #大自然的馈赠,https://www.douyin.com/video/7234414228289981755,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i5771867c7da54c7f9796215423a5bc55~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=qJ8N%2BQGj4326UOdI5xi9TEEW4T0%3D,771,71,256,156
上山发现野生桑葚果，这是个好东西，好吃又甜，掉地上一片都没人摘.....#大自然的馈赠 #又到了吃桑葚的季节了 #桑葚 #三农 #新农人计划 #嵩医,https://www.douyin.com/video/7236307435441458490,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/8d23847ea9ba49efbb44d84eb208fa67~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=3d3gww%2FtTKE%2FGKBoWsIIyTc6QBA%3D,18000,920,3800,978
兄弟们都在喝的 #覆盆子沙苑子山茱萸桑葚茶 #养生 #沙苑子 #覆盆子 #山茱萸,https://www.douyin.com/video/7360664102882053402,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/8da5847e584b4af0a6bdf79db6ca6158~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2Bw%2FMAX4fwFkMDSFsVgO0i2lnTH8%3D,35,3,17,6
覆盆子山茱萸黑桑葚沙院子茶 #覆盆子沙苑子山茱萸桑葚茶 #养生 #覆盆子 #山茱萸,https://www.douyin.com/video/7360984420242820379,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/4f3ae442e50d40dfbf03355ab36507b7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=J1Yu1ru%2FuAXNxourAqWR2KBV1GU%3D,109,7,96,18
黑桑葚 #中草药 #中药材 #识百草 #一日一植物 #黑桑葚,https://www.douyin.com/video/7358654585399004427,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/8400c8970ba9423f9a5eae704a45233f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=cXChtZVZd7Jr9QCwazb7HqIvT9s%3D,20,3,7,1
又到了吃桑葚的季节了，她既是好吃的水果又是药材，你见过她的花吗 #一日一植物 @抖音小助手 ,https://www.douyin.com/video/7091278167020686600,https://p3-sign.douyinpic.com/tos-cn-i-dy/4e339d04a06c49a185f038b50cca34f4~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=6iyMQVIGMvArf6kPGwpyfCQe0y8%3D,101000,5096,4779,9152
你还知道哪些滋补种子类中药材呢？ #中药材知识科普 #桑葚子 #女贞子 #中药材,https://www.douyin.com/video/7305361116241202466,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQSfAUbnCEMd9rlAC2rEZY1dhB0AhDrDeBzqIg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=UZnDnqDA6octqFbi1fvmgPx4D7M%3D,155,4,131,27
今天带着大家跟着我的镜头，一起学习下生活中常见的草本植物。#益母草 #桑葚 #大自然的馈赠 @抖音小助手,https://www.douyin.com/video/7372864212282002715,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocAMLzNBR0ZiAVieiOIER9ADRrgfwB1RV1KEPB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=K4yde3Z174cWp0zlWcKYDG2qWJY%3D,15000,554,7266,1902
在这片辽阔富饶的土地上，生长着许多有趣的草本植物，下面跟着我的镜头大家一起学习下吧。#识百草 #节节草 #桑葚 #新农人计划2024 @抖音小助手,https://www.douyin.com/video/7368789464086220059,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oIU6h2vIglPeAEjwzsIxiLf0ASADDZNMBiCAzA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=j243Z%2BhHRHcLsvTrWGoFbLrV9Dk%3D,14000,733,7831,1737
茴茴蒜，我们当地管它叫老虎爪子。它的花果是共生的，果实和桑葚有些相似，大家管它叫啥名？#新农人计划2022 #三农 #茴茴蒜 @抖音小助手,https://www.douyin.com/video/7130182296631577895,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/62a5fa01b2f540f5bf48fc81f1261612_1660124949~tplv-dmt-logomcc:tos-cn-i-0813/f9b4adee8bd1458f85201d9de8ef5bba:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=YN1T8rk%2F83MfZAvaolgz9tGjb4Y%3D,6019,1438,601,286
