Title,Title_URL,Image,likes,comment,collect,share
好多位朋友分不清楚连翘和迎春花的区别，这次详细说一下它们二者差别在哪。#中药材 #中草药 #识百草#中医  #连翘,https://www.douyin.com/video/7351653444953951507,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/o89yhDnYE8AHIhCBeADDAUAAAflmb9KGm3dAgI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=LX3Y4CXYEmQGIZz6IMGalrImWOc%3D,147,17,39,9
路上偶遇连翘，下车近距离欣赏，顺便说一下关于它的一些知识。#中药材 #中草药 #识百草 #中药材知识科普 #连翘,https://www.douyin.com/video/7350272356050390291,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMzBADAlIC5AxEhBcNeaAqDANT7YLgKbAGAAfz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=PkxnxwVTCktp1t5h3TmlqxO1G5c%3D,1094,124,174,59
连翘的传说。#国学文化 #中医药文化 #小故事,https://www.douyin.com/video/7229902577557703991,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ae018c3dfe42453f9f7d1f04d1331c2c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2BRvQjxd962xy5BXt6OYfH0FGZJk%3D,97,4,8,5
#国学故事 连翘的传说，您知多少？（下）#传统文化 #小故事,https://www.douyin.com/video/7165752550270979358,https://p3-sign.douyinpic.com/tos-cn-i-dy/3bb52d8bd247418eace81bcf4a38425c~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=U8l%2FtHoaAyZ5ZigNWMobapUzcII%3D,92,4,5,12
#国学智慧  连翘的传说，您知多少？（上）#传统文化  #小故事,https://www.douyin.com/video/7165752592537029924,https://p3-sign.douyinpic.com/tos-cn-i-dy/fe8a35b8b7244857b4d90a011f6483f8~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=lXPbLZBKpzn%2FyhtM35rrTgszE3g%3D,78,6,4,6
连翘饮:主治小儿风热感冒。#中医药 @DOU+小助手 @抖音小助手,https://www.douyin.com/video/6870030762318531840,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/eaa23a81f5964c9bbb33b7f37b3f903b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=wwpLyOQ7m37X2BbAlWPS7PenaCM%3D,35,2,21,10
区分它和迎春花只需要看一点，你知道是什么吗？#大自然的馈赠 #连翘  #植物科普 #万物复苏的季节 #嵩医,https://www.douyin.com/video/7355323513298750732,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/60dbf785955d4d368678b873268cd927~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=UsqWOwKqQhm3cIpicNbAxyEGkdQ%3D,4200,235,773,401
是不是有很多朋友把它当作迎春花，它呢可是很重要的一味药材，你知道是什么吗？#连翘 #大自然的馈赠 #三农 #嵩山 #嵩医,https://www.douyin.com/video/7349490015669341466,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/daecff23834b48cd8335d52aa8c84e67~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=v8YoiVgHVPFeRYx4iD6TAhN%2FO2g%3D,24000,1628,11000,6519
连翘花和迎春花有什么区别呢？在户外你能分清吗？嵩山草本#连翘 ，有着很好的价值！ #大自然的馈赠 #三农 #植物科普 #嵩医,https://www.douyin.com/video/7198339769297046840,https://p3-sign.douyinpic.com/tos-cn-i-dy/8ebc73e042d641fc943b765daab821a4~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=cSZcKqI%2B3FVCbHxq69akNes%2BYlg%3D,591,82,160,138
连翘的传说。（下） #传统文化 #文化新说 #中医药文化 #连翘 #岐伯,https://www.douyin.com/video/7176546942518955322,https://p3-sign.douyinpic.com/tos-cn-i-dy/16d7343ba57d413aa9947da7f33d7502~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=uN%2B8G9HJ1VaB%2BjuVlL38fT%2B7dXo%3D,34,0,13,5
连翘的传说。（上）#传统文化 #文化新说 #中医药文化 #连翘 #岐伯,https://www.douyin.com/video/7176546081688390973,https://p3-sign.douyinpic.com/tos-cn-i-dy/e4e4d53c9a674f6d8d65e810218ba7ac~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=OO4Bfivu4elzo%2BxnTo5J3dO5x4Y%3D,39,1,12,10
连翘除了是极具观赏性的景观树，还是一味名贵的中药材，当初它是怎么被发现的呢？看完视频就知道了！#中草药 #趣味知识 #全民学中药,https://www.douyin.com/video/7119783703856860452,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/3f40314dcc1b414da332e67767d29086~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=a%2BXaPvlF8aS13TaMBBIn3J9WD84%3D,1553,15,132,307
《中药趣味》连翘不仅仅可以解毒#轻漫计划 #中药 #知识科普 #连翘 #中药趣味,https://www.douyin.com/video/7065263568798747912,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/a41da62346f9454882c60269286e2243~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=QaDkDm6wp1pGtvjMfBE2ACVivjw%3D,157,7,28,66
连翘这种常用的中药材最近受到关注，价格也几乎翻了一倍，这就是秦岭山区的野生连翘…#大自然的馈赠 #中药材 #连翘 ,https://www.douyin.com/video/7176570224446033207,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/fcd4b7d9badd4ba68b1fe9e1ad237932~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=VbojkqGrLDauzG%2FNFvdsEGQHir0%3D,5198,286,1344,1341
