Title,Title_URL,Image,likes,comment,collect,share
被我选做头像的本草，能能差到哪里去？#中药材 #桔梗 #桔梗花 ,https://www.douyin.com/video/7106702688536022313,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/365981b6eadb48a1bd1451d6fe351984~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=z2LP3SZYFIREI718MpEaROZ22mo%3D,2741,290,288,276
小时候叫它打碗花，或者炮仗花，其根不能多吃。 #中草药 #桔梗 #植物,https://www.douyin.com/video/6914657729546046720,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/be4bd39a4ad44adcad4ca8a0ba1deea1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=TgiLLper6QoVn4xbfawIEiWvTUM%3D,460,47,46,75
隐于山野却能济世救人，颜值又高，还能当菜的桔梗了解一下。#中草药 #三农 #新农人 #新农人计划2023 #植物科普,https://www.douyin.com/video/7244180789833813300,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/12961d5c83b741abbf900d30bec57047~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=yKiKnvC4K2wyu%2F5nbElUvqLob%2F4%3D,872,74,137,30
桔梗是桔梗科的一种多年生草本：别名僧帽花，铃铛花。#你的家乡有这种植物吗 #桔梗 #识百草,https://www.douyin.com/video/7376389333135265051,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o4ye9mA6XCWEAMkNAAQAg6MfmdbgTFIDALDCqj~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2BVm4nKl4IcLz2MthFlf6kzRqzD0%3D,3408,182,2208,635
桔梗和沙参的区别#桔梗和沙参的区别#桔梗 #沙参,https://www.douyin.com/video/7259360146948754744,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/2e0808d005ec4873a2e2c8bf3eb9db77_1690433933~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Pxa6nqeqaF%2FvLNy99hfBxKh8qC4%3D,11000,418,4866,1497
防风，川芎、苦参、沙参、黄芩、竹节参、铁皮石斛、白术、百芷、北柴胡、桔梗#识百草#植物科普,https://www.douyin.com/video/7258446596268985656,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6c922d43fdd946f3a756266eb1200980_1689988808~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=owJQk3VP85aG2Q%2B6Bzis9ZIJH38%3D,6913,134,4686,1433
为了对孙女的承诺，老人在地里忙活半天，只为翻出一件宝贝好换钱 #桔梗 #纪录片解说 #中草药 #人物故事 ,https://www.douyin.com/video/7307167283548261651,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/8bb6c4b6c84d4371b215789be6b140a1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=O1KD572BS2Ch3D8TKUl48H%2Biohw%3D,5152,54,475,157
半边莲......急解索、细米草、水仙花草，清热yao，桔梗科#中草药 #植物 #夏日科普星探企划 #科普 ,https://www.douyin.com/video/7134174336109251875,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/11447ad7bebd43a9878d4522db60d23c_1661054412~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Ls%2FRLHqzvzPMhSqtBjZq2kDxt%2FQ%3D,130,2,34,6
桔梗......桔梗科，化痰止ke平chuang#中草药 #植物 #科普 ,https://www.douyin.com/video/7129437389524684073,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/bde92b92b8034362a26cac982cd63a36_1659951507~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=zR03FnvErvoIruCOvxxRf9NV2Rk%3D,263,4,69,18
桔梗我们当地叫它兰花根#名贵药材 #抖出家乡山货 #三农故事,https://www.douyin.com/video/7261558608704425276,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ootyNLeDAIzYSGchvPf6NEARAQAcIgCKxbAC3A~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=EtTkxFEDKl7%2BCTjWqDLi3dQkS7c%3D,354,14,102,9
