Title,Title_URL,Image,likes,comment,collect,share
丝瓜藤你知道吗？村里人把它剪断插入瓶子收集丝瓜藤汁液。#新农人2024 #微光点亮乡村,https://www.douyin.com/video/7339916382089317672,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/ooAqAlJCdo8DAve9QWQAReANKPgbWXA5AG3Iin~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=9w1XjMRi0TOJaseX2%2FgAJLuYlwU%3D,2631,164,1051,394
丝瓜藤你认识吗？老一辈的人会把丝瓜藤切段晾晒。#新农人2024 #植物科普 #三农,https://www.douyin.com/video/7333628013185125666,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/ogGBfenseAFrjjM1A7zuAEXBUKEIQaAbALIXED~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=QTpQbHCHTmw9AloA5hiiBlkDG8A%3D,2609,126,936,192
成熟的丝瓜里面藏着一种宝贝，它叫乌牛子，你知道吗？#广东dou是好风光,https://www.douyin.com/video/7313912890082200884,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUszNBNnlBPceq08DusDGAE7AAeAbgPgB9ISK1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=FJYsBWnvZwGUodaU02F7ARbPEko%3D,6071,250,2897,722
这种丝瓜又叫水瓜，小时候我奶奶经常摘它回家。#我的乡村生活 #农村美食,https://www.douyin.com/video/7295593712019688756,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogxDWJW9IgcD00fE7f3nbCK29fAeCCkAd3dUQK~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=COM3BWbdpOvwscRauH0ATmFF2kI%3D,5924,181,2373,858
农村的丝瓜叶你了解吗？小时候我奶奶经常摘回来。#我的乡村生活 #农村生活,https://www.douyin.com/video/7292991626572533027,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYESuDNzyB6GCqOfhj7vBAEaAAP1NmUgmeIUQD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=25AW7H2%2FS5FsxNiw%2BAZ1WcRPhpo%3D,8159,184,3602,923
丝瓜皮比丝瓜还要好，可惜好多人不知道。#农村生活 #我的乡村生活 #农村美食,https://www.douyin.com/video/7279452916669336867,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQfCnbYXBDsaQenseEKA8CILIj75A9yUIBjK4n~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=kc%2Bv37jPNH8f4TiFs4YnMkTk0J0%3D,4439,106,1172,424
丝瓜冰糖水，老一辈的村民都是这样做。#农村生活 #农村美食,https://www.douyin.com/video/7275367268761013544,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ownAIXkI3auzoBwTg0NA6thofAA9vDeMi8x2lE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ErDv4rST2lE9AGbxQNGj0FJuOnc%3D,920,28,181,96
丝瓜叶比丝瓜更受欢迎#我的乡村生活,https://www.douyin.com/video/7250180052342574336,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oI3NAVtzNEIEenyAc0UECT2udCJAbhhAfAAOIg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=VcAN3gFfK0luqPphPvvGFnYykHM%3D,8567,164,2192,815
丝瓜络是丝瓜成熟后的维管束。#我的乡村生活 #农村生活 #三农,https://www.douyin.com/video/7180373620903005440,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0dLIpeDC47GGQdILCeHAntnAuafiBK5b5SBNV~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=pxLVVa6gZ3XQart%2FqvcREm2cCJA%3D,1464,45,238,155
丝瓜子，遇见就摘点回家#农村生活 #我的乡村生活,https://www.douyin.com/video/7179250744825105699,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4lDMggQDNnAoNbedKBqFjpJU83A9AJcIfSubm~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=LPevL4W%2FGjTLF0EwXnWQK4zTxXc%3D,1815,61,360,147
