Title,Title_URL,Image,likes,comment,collect,share
绝壁上的长生不老仙草，药工采1斤能换10000元，如今却都濒临绝迹 #中医药文化 #中药 #中药养生 #石斛 ,https://www.douyin.com/video/7065297036807032102,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/3aff7ffd80424d62bacfd3de175ef630~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=nWs0rTly01RUffnEnSViwScgNzk%3D,3916,242,640,458
石斛的故事。 #国学文化 #中医 #中药 #石斛,https://www.douyin.com/video/7311631721328364834,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/b9acc4cbd78848a0afdeaf49404b7ee9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=qNtV2NZ0OEUCkh1ffXof7JWMmmg%3D,115,4,13,5
石斛位于九大仙草榜首，是来自大自然的馈赠，在野外遇到可不要采摘哦，野生资源越来越少啦#高山植物探秘#植物医生,https://www.douyin.com/video/7372811840281120040,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i66de7475b63240609effb35ee77fcf15~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=9qGRsnQEXlIAE06%2FEsCvMtv0ML8%3D,6860,315,657,409
价比黄金的霍山石斛，你见过吗？#霍山石斛 #本草 #纪录片解说 #涨知识 ,https://www.douyin.com/video/7322027590334663962,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/b7b825ee124e458a9855530e857eee40~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=kVsgDKd%2FVggFWDc97MDeMUGO1hs%3D,418,22,94,32
男子辞掉高薪工作，怒砸两千万，只为挽救《本草纲目》中的救命仙草 #铁皮石斛 #纪录片解说 #传承文化 ,https://www.douyin.com/video/7245987286997830972,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/455f3c28fe3740fa8a86ac6f1f3be357~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=%2FCfOO05e8Pp8t6wMlnKpEGILXMI%3D,638,14,117,45
踏遍整片人迹罕至的山林，才能从悬崖上获得不足一斤，价比黄金 #石斛 #纪录片解说 #本草 #中草药 ,https://www.douyin.com/video/7321696438335966514,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/b072b730f97b4d6cbb8df6074faeaf59~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=tIJi%2FiITSSihSSljyugrD4r77Fc%3D,56000,2943,5572,7157
被誉为中华就大仙草之首，60年前就能卖30块钱一斤 #非遗传承 #铁皮石斛 #纪录片解说 #本草 ,https://www.douyin.com/video/7278597770439593272,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/o4NyObIAAXzgwCzhCqfSQEASAhA9IQBJVZABoA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=XfMJp7eaD1MNsium9qnGIQKCVNQ%3D,71000,4494,7689,5359
生津之zui～石斛#中草药 #植物 #科普,https://www.douyin.com/video/7245681552133262595,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/7c456a65c4fe40129594e98a0238e0e3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=%2FV4Z3fiLR8QOAnh8P%2BA5KZCKuTM%3D,192,4,58,8
石斛....不死草，还魂草#中草药 #植物 #中医药文化进校园 ,https://www.douyin.com/video/7102957734928207104,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/40473b7bffa54b828a128de2807bb493~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=XwT4K79OfOwbx8cx9TaWLLcVmR0%3D,138,4,30,24
带你认识，那些珍贵的中药材（下篇） 看看你认识几种呢？#中药材知识科普 #阿胶 #燕窝 #铁皮石斛 #中药材,https://www.douyin.com/video/7307217201923099938,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEHlBQ1EDTreP75AFgfIaAdr9LmxnADRAbWQSC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=dn6dCg8jufRmvJjWd0pInyED4p8%3D,1478,56,1159,431
带你认识，那些受保护的野生中药材物种（一级保护）合集#中药材知识科普 #中药科普 #野生中药材 #中药材 #霍山石斛,https://www.douyin.com/video/7302735370234481955,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oI9bQeuwAzq7GnDQAehBeURvNRDBsK4EAECYIF~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=bDQ4XBhWEe8wHalrBYdW5JtGxwo%3D,46,0,42,10
带你认识 最容易读错的中药名（下篇） #中药材知识科普 #中药材 #中草药材 #石斛 #青蒿,https://www.douyin.com/video/7302367396310879523,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooIBObmXzAr7nXfAJ1fDA0CEOBr8Q0SsKofAIx~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Lman2dUpfE4x%2FOOHAG4l5dMemBM%3D,52,0,41,12
十大名贵中药材排名，第一名你猜对了吗？#科普中药材养生知识 #养生之道 #中药材知识科普 #中药材 #铁皮石斛,https://www.douyin.com/video/7297939423830773027,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEqfUEkglyAVixUOBZeDgznhARA96GqQITbJC3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=8%2FiO5QvPHaauoO30mZ5KuEKqmB0%3D,80,3,58,15
霍山石斛。#三农 #中药材 #记录真实生活,https://www.douyin.com/video/7324637472619515175,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oclKCenO9AAMaQh4omDINbBAVGOgwPfpplbEyy~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ZTkN6Zzcwfk%2FFXTiHk%2FNHF8A3Kg%3D,159,8,53,20
山间的草都是宝：天麻，百步还阳丹，淫羊藿，皂角刺，槲寄生，铁皮石斛…#中草药 #识百草 #乡间小路自然风景,https://www.douyin.com/video/7328714345347714354,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMAC08mDLteyn0YW9bfBNZAzgCD6Ai7IHl4cE2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=disIWuUf5oOZTm0aIXjMkkDGejM%3D,11000,186,6799,1640
#创作灵感 #植物科普 #我的乡村生活 中华九大仙草之首，石斛，大家一定要认识,https://www.douyin.com/video/7340574519964273970,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEy5eyDQIAgl743bw98DeqGBIaUXTAAynBv9BW~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=cKzzg%2F%2FGsZG9uholhXeujZlnFCY%3D,2237,76,228,113
#创作灵感 #大自然的馈赠 被誉为“九大仙草之首”，多长于悬崖峭壁，石斛，你认识吗？,https://www.douyin.com/video/7086757208637197579,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ab390e433da14f71a5f42db578c6cc88~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=tbKdS7T5HrdP4RQuR2U6uNon61M%3D,7032,438,659,355
