Title,Title_URL,Image,likes,comment,collect,share
姜花又叫蝴蝶姜，是天然的空气清新剂#新农人计划2023,https://www.douyin.com/video/7281047795623005492,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4AwyHvfKBCoe50mAPCGQJxF4EQIGQ27nB1eW4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Mk2CWbAhPl2e681pe6mE3Uo02WA%3D,1398,105,146,92
蝴蝶采蜜和蜜蜂采蜜有什么区别？除了采蜜，蝴蝶还有哪些好玩的习性？#抖音自然 #乡村守护人 ,https://www.douyin.com/video/7103767960585506079,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/773bdcafe268481094b544838aa5f28c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=74cTJUFvcoyUjFvGpZ2xx0T8fgw%3D,3461,157,288,186
老人用尽全身力气，只为摘下生前最后一粒果实#木蝴蝶#老人  #非遗传承 #纪录片解说 #涨知识,https://www.douyin.com/video/7259322974505913663,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/aaa29ec76ea04e9b8aa9e71f18c84b87~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Ot%2BpRjvLaa7n5qyk97CPIuRmbsQ%3D,23000,664,2546,1139
老人生命的最后时光里，还不忘多囤一个木蝴蝶 #非遗传承 #木蝴蝶 #中草药 #纪录片解说 #涨知识 ,https://www.douyin.com/video/7260792842455420220,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/oQDh6gvxEDNAB9YBcDCzNAgIGIAfAAcQAZmyI9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=OUdk8iSVoS5FQUNV0SR%2Fo4DMfN0%3D,524000,12000,51000,25000
双飞蝴蝶，蝴蝶草、蝴蝶风，豆科，全草入药#中草药 #植物 #科普,https://www.douyin.com/video/7261185351417367862,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oYfTZAGyYAglAWKAhEOnDe6CNUEtI0xAAOOgEz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=YqcSpbyZZta1tBmSaTXlO2rmfpY%3D,28,2,4,4
有趣的中药名~黑老虎，木蝴蝶#中草药 #植物 #中医药文化,https://www.douyin.com/video/7246766923386572035,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/b40222890f4048c2b94d1cd59a40ce73~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=TUfRiZi4IHPW%2ByAXdyB0LLj6P5k%3D,57,2,12,1
鸭跖草...碧竹子、翠蝴蝶、淡竹叶，坐热板凳，清热#中草药 #植物 #中医药文化进校园 ,https://www.douyin.com/video/7165641159719521570,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/202198e035bc443782d9574cc2d2849c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=T9o0PvHPz%2BnfQ9NjTyo%2BgwWBInM%3D,401,11,164,48
很多老铁分不清花蝴蝶跟火炭母#植物科普 #常见的中草药,https://www.douyin.com/video/7362148972204395815,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oknCcIMnrHzAgLEmERh3BfFAeA4z3g1D0EN09g~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=FE%2F%2FLwiOZZypXEvtu8Z6%2FSPQqho%3D,196,10,55,10
很多人分不清花蝴蝶跟火炭母#名贵药材 #采药人 #野生植物 #记录三农 #植物科普,https://www.douyin.com/video/7211339776799018295,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/c859c471d96946b2939fab6713d3b709~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=TgnVT5YEd7Webm6PrLsqqlqcrog%3D,543,86,235,62
蝴蝶泉被称为是大理的爱情圣地，象征着美好的爱情，每年的四月二十五日便是大理白族的情人节，蝴蝶泉堪称白族版的梁祝，流传了一个凄美的爱情故事#动画解说 #怀旧动画 #童年经典动画片 #大理,https://www.douyin.com/video/7202545808439250233,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/73023d39f0014de59652cd8b5e8dbcbb_1676973393~tplv-dmt-logomcc:tos-cn-i-0813c001/9ca0fd95fc994dec8a0c31a797f3bf3d:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Jg9isUM7GRrr5I2y%2FTLYRNqnCUk%3D,80,3,21,13
