Title,Title_URL,Image,likes,comment,collect,share
#我的乡村生活 #农村生活 姜叶比生姜还要好。,https://www.douyin.com/video/7296846509180538147,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oURAv1yIDu5zjBAmg4N0cNhyfAAeFCoFbOlaBE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=d1omNBJN974TGjBuJH%2BvWcuENKs%3D,971,27,264,123
生姜叶比生姜还要好，村里老一辈的农村人都喜欢采收生姜叶。#我的乡村生活,https://www.douyin.com/video/7266464415468293376,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4EXICAReqRaA8zydfn1N0E3XVDAvhlgN59uBP~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=KzsYuGd3XxDikst8xZa0nyr2hkU%3D,2327,52,586,227
高山生姜的三大特点，口感独特。#优质农产品 #三农 #乡村守护人,https://www.douyin.com/video/7203889482263809320,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oYrB28FfjevyACaDTHGf77AIXDIhbB6nQ5W2EL~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=deXjJAvIVQ3Cu9Y0ec9qYY2p19s%3D,1055,32,68,29
详解关于生姜的三句俗语#乡村守护人 #奇妙知识在抖音 #新农村计划2022 ,https://www.douyin.com/video/7118146028787879209,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/08d11f34505849808956b84c07240ba9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=bjUsB7L3Q5X7LhHPiAZmbY288GI%3D,3123,75,452,399
草木灰种生姜的两大好处#农村生活 #农村美食 #乡村守护人 ,https://www.douyin.com/video/7101834690289536291,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/5f8e577b55944ec08e7fbfa4458a638d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Rc2jMFn99Gp0T00gyn3TTT9jbEs%3D,2239,61,201,87
瑶山山地种植生姜的三大不同#农村生活 #乡村守护人 ,https://www.douyin.com/video/7097070644969393423,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4907ec5e93c748ba9d2de9dae2457250~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Z7Y9qpXgCKfCYCJP2B7yraPUK60%3D,8354,192,1016,406
为什么瑶族要在杉树苗之间种上生姜#我的农村生活 ,https://www.douyin.com/video/7055929319687867688,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/3faeea21082d4bf39b105460fb17c392~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=WB33pvdRQwoSuCbgQ6xexnd6tic%3D,734,12,80,85
夏天，其实是喝姜茶的好时候。 #国学文化 #中医 #中药 #生姜 #中医养生,https://www.douyin.com/video/7355056939061071155,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ff349d9b0ff34592b096ff41706adcee~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=6r2PCyrcaHt3uOba%2B8LCjjiN5BY%3D,98,3,7,3
生姜的作用您都知道吗？ #国学文化 #中医 #中药 #生姜,https://www.douyin.com/video/7316803217042509071,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/9d284c910c8849019526434a7a492241~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Rfp2L9sdTb949rjCxWgbM%2BdUNp8%3D,148,10,12,10
#涨知识   红糖生姜水的三大好处？#遇见懂你的健康好物     #美好生活尽在抖音电商 ,https://www.douyin.com/video/7145667709827550495,https://p3-sign.douyinpic.com/tos-cn-i-dy/e19822e58a704d198484d87c70b09de6~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=K%2FzDJJBnEfb9jiaF%2BYeMatwVOkc%3D,118,6,6,9
#生姜#科普一下 #故事#中药材,https://www.douyin.com/video/7086764486887066910,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e0356a1431534beca4f23e68a757f3b8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=02H0Uz2a%2F%2BUhp3ngrj9gODJXvaY%3D,76,4,16,23
传统炮制竹茹一共有两种，一种是将其去其杂质揉成小球直接使用，另一种则是用生姜汁炮制之后使用 #姜竹茹,https://www.douyin.com/video/7368411720454245670,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owdEAhL2hfAgNICgIeDzCqkZOi2n2DzB8AttB3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=qrka5PIEMz4coqdPtnIbQXDkTUs%3D,222,9,41,10
生姜皮，姜皮、生姜衣，姜科，根茎外皮入药#中草药 #植物 #科普,https://www.douyin.com/video/7257695544661806372,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/o4AAaeDQIAgkXMubWBeNxYFVcyOc9AApnCI9AC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=NgydzHqMuaUWrlkHDSikk%2Bz155U%3D,203,4,44,9
干姜......干生姜，温里yao#上热门 #中草药 #植物 #科普 ,https://www.douyin.com/video/7092220816376565026,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/86f7cfb6f8a342729007dd1297e28746_1651286343~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=nnQUuw9CMCWYRtjLOSQRSFzJTlA%3D,142,14,49,14
生姜：调料类食物，用于做酱菜及小吃等，做酱菜和小吃用嫩姜，做调料和药用以老姜为佳。#中草药知识 @抖音小助手,https://www.douyin.com/video/6857815767845588239,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ef3b6d278d954604b06aecae5fdc0ee9_1596709665~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=JEjvtXyVMvZBKqM75fB9op8V6dU%3D,39,5,10,12
男人只是抓了一把木屑再加点生姜作为引子，煎成药汤给闹肚子的小孩服用后，呕吐疼痛的病症便缓解了不少，不久后便活蹦乱跳的#中医故事#动画解说#国产动画#动画推荐,https://www.douyin.com/video/7284578730503195960,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o0cAZbAYzgj9n3AIAXGDAICCBAGeEwSfltX0AA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=25ZQEz7wE0ys12VDHVzsAtmLUGc%3D,512,18,97,25
生姜的作用。#传统文化 #中医药文化,https://www.douyin.com/video/7316800479705451810,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ee1f5211ccf6499aa89e656d541976bb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=u7jUeGgHyNQpZN6AwbFfGESL8lE%3D,38,1,11,11
《中药趣味》神农日常上班意外发现生姜#充能计划 #中药趣味 #知识科普 #神奇植物在哪里 #生姜,https://www.douyin.com/video/7054865084320910606,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/71ebd132e46547aea0b7757bb621a70b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=XSLi4hd7wSNds0n6DvIlKnAEryo%3D,316,12,75,147
