Title,Title_URL,Image,likes,comment,collect,share
除了江浙地区，还有哪些地方养蚕啊？#大美陆良 #爨乡有礼 #我为家乡代言 @爨乡有礼 @大美陆良,https://www.douyin.com/video/7370118253718408458,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4CaA6rjWetOQBeBEMDna5bqIxHjAqf2BaHC87~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=vT5%2Btdb%2FFqLHWl3dZVVeKTms3EA%3D,2668,231,270,155
小时候在野外用火烧了吃，少量生吃没问题，吃多了谁吃谁难受。#植物科普 #蚕豆 #新鲜蚕豆怎么炒好吃 #识本草,https://www.douyin.com/video/7348378790722096421,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogo68LlrDGrqAeLjUCaEnABrnGJeCfnDBI6b7A~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=nI0FI9wOAXstf28kJWXPICVilUk%3D,1024,137,94,96
#来抖音学农技 蚕也是为我们付出了几千年，被利用的太彻底了，不愧为天虫。#白僵蚕 #僵蚕养殖 #三农 ,https://www.douyin.com/video/7158963153156590883,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e80c0af066e74679bbd683f6c0a7afb1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=o%2FGONkTyVkBmaYcmEqyS%2Bqd2384%3D,6494,556,623,306
桑树的亲兄弟，也能养蚕入药，在古代还和皇帝有关系，它的故事有很多，你想听那些？#中草药 #三农 #新农人 #植物科普 #支持三农扶持三农发展,https://www.douyin.com/video/7250112985182555427,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/7b541baf7a4a431b892ecd89d68b9b04~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=sHHLro%2FgtdojtLRMJihEffAdops%3D,221,13,17,6
春桑叶不仅仅是蚕宝宝的最爱，它还是美味的野菜。#农村生活 #新农人2024,https://www.douyin.com/video/7344754436020899107,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osPtINg9NAEsPd7kDzeyV0BPzhANfA76xurIAN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=rMOW5DMxwdvAChTxn6EzDJ9Akzs%3D,25000,1820,8732,7762
地蚕为什么又叫螺丝菜？ #植物科普 #新农人计划2024,https://www.douyin.com/video/7367132376637394176,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owR2nDALITYEHgDeQE6V5M8YeegwnCbp6oA5fU~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=ZOrsT4uesZnUcBw0oMGb6YnzvHA%3D,1004,45,159,63
地蚕又叫螺丝菜，地下块茎可生吃，也可以做泡菜，你们吃过吗？#新农人计划2022 #农村生活 ,https://www.douyin.com/video/7091485853607939369,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/1011d828cacd41c483be186496032cdb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=QiSU9TGyYFjuMJAN4tZ09jmI%2FDE%3D,18000,1389,3368,2159
这的长的跟蚕宝宝的东西你们认识吗？它就是地蚕：又称土冬虫草、白冬虫草等……#地蚕 #你的家乡有这种植物吗,https://www.douyin.com/video/7274518282877603127,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/5575a22cef394ec7bb1a3c00282ba197_1693730785~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=okvbaji8MwZFOEEL8EhC2bZRTBo%3D,1777,119,911,399
这个长的跟蚕宝宝一样植物，你们还记的吗，它就是地蚕，我们叫它地古牛，还记的吗#植物#地蚕 #百草,https://www.douyin.com/video/7144086238226697475,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ca8aac8be86c48e8849be0cb4dc706df_1663362218~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=a8H4nXMTAB%2BSruAC%2FD2fhyvkb7I%3D,352,51,109,147
你吃过地笋吗？ 地笋，又名地蚕、地参、地藕，不仅是野菜中的珍品，更是有价值的中草植物，你们当地有地笋吗，叫什么名字呢？#识百草 #三农 #地蚕 #植物科普 #大自然的馈赠,https://www.douyin.com/video/7372518284417158419,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/okPilAZy2Y4AIEB7ktEAw1PlAAQSiVBBc0gBI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=erT8I6IxznLUeJzLg6v%2FbjAA450%3D,55000,5218,42000,14000
将蚕宝放在扇骨上就能做出一把扇子，你见过吗？#油扇 #蚕丝扇 #传统手艺 #手艺人 #涨知识,https://www.douyin.com/video/7273093672466517259,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/635ca36707f74f52bc95ea5639e0c890~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=LP4KQKme5gEsD9YoDySKlKGEASc%3D,464,13,99,31
小哥花费半年青春养蚕不是为了做蚕丝被，而是收集蚕宝的巴巴#非遗传承 #蚕沙枕头 #传统手艺 #涨知识 ,https://www.douyin.com/video/7272324376886889764,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/oIie3JPaI5AhQXE2UAHEAfAABfPQ2j8YJECHAb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=bGyOE%2FwD%2BqXB9fnjgMCg3F%2BRmT8%3D,1597,49,614,334
它被誉为行走“软黄金”，也是古代皇室贵族出门首选 #丝绸 #养蚕 #传统手艺 #传承 ,https://www.douyin.com/video/7252645345929301308,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/osCnOA4ADFfAQKegkdCACJpbOJYRCTApNIA10Q~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=ILMVo4ZJK11BeoWMmXB913zZWyo%3D,104000,7254,5664,7777
任由桑蚕在扇骨上，自己做一把独一无二的扇子！实在是太离谱了 #非遗传承 #纪录片解说 #油扇 #蚕丝扇 ,https://www.douyin.com/video/7284160196849470739,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/ocBzLALAhAAAIofQyuXAdOxtX1CIBFAiWEAENv~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=tsPfnj9xVxgAoVNxBwcmj%2FAhwXI%3D,2566,58,405,114
我就很好奇，这个蚕的便便咋就遇水不化，谁能给解释下？ #非遗传承 #手艺人 #纪录片解说 #涨知识 ,https://www.douyin.com/video/7268592855633956115,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/oQNAnena8AIm3ceqARE0ACNAcLWQgCAbgkzxKD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=YmKiFRhEyGNkwsiofakY134h9Sk%3D,21000,410,4296,2808
【江苏篇 • 苏绣】一根细如发丝的蚕丝，还要被劈到发丝的十分之一，才能成就苏绣之美 #非遗传承 #纪录片解说 #苏绣 #绣娘,https://www.douyin.com/video/7189602563493236028,https://p3-sign.douyinpic.com/tos-cn-i-dy/abe115ab85db4691b765be51cd07dbf9~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718809200&x-signature=YOPKGsqvx2ktPMI4QxOiVdTHi%2FE%3D,12000,177,1097,597
#一日一植物 长在土里的“蚕宝宝”——地蚕 @抖音小助手,https://www.douyin.com/video/6823746436602072332,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ea7a060bb985490a98fbe92b5f7ab6d0_1588777336~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=FJV7Z1WPiZlAekAtDVOg79FEzQU%3D,31000,1944,695,1391
