Title,Title_URL,Image,likes,comment,collect,share
一天别说300颗，就是30颗都感觉受不了。#涨知识 #荔枝核 #荔枝 #中药材 ,https://www.douyin.com/video/6981828361089731874,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/1c5d5fa7e91f48a7bf9e6f595134adf4_1625583601~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=WZFy%2FrGCpOvrYWdm33geNxya27k%3D,1880,95,44,121
蛤蟆草、荔枝草、雪见，名字从通俗到高雅，不惧严冬的品格却从来不变。#中草药 #三农 #新农人 #新农人计划2023 #支持三农扶持三农发展,https://www.douyin.com/video/7235601683944918327,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/i4332a1c7c00a4a8ab9bb2a5e48ad18de~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=bQ75uwm6TAjHZmDBxqfD7oDU340%3D,366,99,63,3
荔枝草又名皱皮草、蛤蟆草，你的家乡还有这种草吗？#dou来广东百千万 #植物科普 #我的乡村生活,https://www.douyin.com/video/7363687659044179252,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYIBvp0tAxVzfAAMElvMeEUzghoACvDncUGcI4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=2npfr6cdR7RANWSnkZsF3vqs8Cs%3D,2422,204,597,259
以前农村里常见的荔枝草，现在己经不多见了，你那里还有吗？#dou来广东百千万 #植物科普 #新农人2024,https://www.douyin.com/video/7329879701659438351,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMFAt2fuQEz3eKDAZSJgtMhZl4Ic9cAANkvP9B~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=WLPBR18q3TObaNptUphVr0m7AHk%3D,5313,246,2041,590
"荔枝草又名蛤蟆草，你认识吗？
#冬天在山东这样玩儿  @好客山东",https://www.douyin.com/video/7317277887453793536,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYIBDAA8CE9Hi9Dg7XAjfFIDP5M5nb1BNY5leM~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=VvONmn6980gs5GMup5NoW%2BRimao%3D,1821,62,673,240
蛤蟆草又名皱皮草、荔枝草，看看村里人是怎么处理的？#我的乡村生活,https://www.douyin.com/video/7309138628507127055,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogl4sBCHQ77a22p4e2eC9gowK7RGLPfs3JHAAB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=eV%2BOIrohRcfFU5X5mKWTg%2BDQzaQ%3D,16000,966,6226,2098
野荔枝三大奇葩的地方#新农人计划2023 #乡村守护人,https://www.douyin.com/video/7243203546638732544,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQcEVAb6DhICcB92AhgLEfeDu1xrskF0nJAQBs~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=buLYTOT0hbbCvDC3uALP9VRABP0%3D,3052,234,258,160
癞蛤蟆草又叫荔枝草，可以用它来煎蛋，相信很多人都吃过！#三农 #野生植物 #大自然的馈赠  ,https://www.douyin.com/video/7156616570859556132,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/2f510168f665405cb5a13634b7aa7980~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=vSgu8Pc6fcfkAmDmtVZyMP8a26o%3D,57000,5015,9901,4871
荔枝菌，有岭南菌王的美誉，有的地方也叫它鸡枞菌#新农人计划2022  #农村生活  ,https://www.douyin.com/video/7120024551550913805,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/91459f9e08b14209ba479a0c333a4eb5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=tsWcMOY3%2BY4i6GdKJ%2FylM0bu%2BaQ%3D,12000,615,1024,593
八月炸吃起来滑嫩甜香，而我最钟意却是另外一种野果，它的名字叫野荔枝#抖音自然 #新农人计划2022 ,https://www.douyin.com/video/7098168274130570532,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/cf5d93d315e244869a4b6b962da2ff44~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=7zBJuMoS6x880%2BdaCTWrm41PcBA%3D,27000,1094,3383,1809
