Title,Title_URL,Image,likes,comment,collect,share
水葫芦又名凤眼莲，水浮莲，勤劳的农村人把它采收回来敲裂晾晒。#农村生活 #新农人2024,https://www.douyin.com/video/7345498026561080591,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0cAXhpzgVbBjmxftKl9ACAJEYwF5eI3DPm7kN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Ac53d7OfuUqUmeaLhCYfciUIKcs%3D,20000,2701,3355,4258
农村泛滥成灾的水葫芦，没想到在东南亚地区却成了宝贝。#我的乡村生活,https://www.douyin.com/video/7305430569956035892,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/ocC9AGpspfBAHAQAEyhzEntpIAXGg0kZANi6Xe~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=uqxNanvLU7qSXh7e7lCIA3hyNWM%3D,3561,141,1135,337
葫芦茶的三大价值 #植物科普 #新农人计划2024,https://www.douyin.com/video/7371615016681737512,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oof9EAyb46f054XNBhB2IxMPgCiNAmATTFBDdi~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Jv2%2F31X0IQqARwKMxkd8VuSpcBc%3D,779,33,135,46
石葫芦为什么又叫石柑子？#新农人计划2024,https://www.douyin.com/video/7348228337648602403,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4tJEMfEKbDdlDU6ADzAINfB93lgJBrAYRhUts~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=df%2Bxwur5dM900HY8OSw1dGhp1og%3D,1290,49,230,48
三叶青为什么又叫金线吊葫芦#新农人计划2024,https://www.douyin.com/video/7344882192423619874,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEy9PHrQIcypB7vAEyzunAAlCef3uDtKHgKzGh~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=IRCWcJ3By5DjQfOA2QfTiYnanRk%3D,1031,40,151,53
水葫芦也叫凤眼蓝，它也有不为人知的价值！#大自然的馈赠 #农村生活 #三农,https://www.douyin.com/video/7170677284628630821,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/62db5c6bd6cf4d38aed639fd272d09b9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=sRO%2B5a7mPwzeLG2mS7DQzyE8ZVM%3D,3342,225,246,164
酸酸甜甜，陪您过年！#好物推荐 #冰糖葫芦,https://www.douyin.com/video/7188076019969002811,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oI6B5DxDvU9DEQgIXBejALfngKCzGAbJbSwAdO~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=BjcLeNDswntZVclWmq6gCl%2FG12w%3D,62,5,4,1
"#传统文化国学小故事：卖药的葫芦
“你的葫芦里究竟卖的什么药？”#涨知识 ",https://www.douyin.com/video/7073390620324187422,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4ae8a60846d64d07879bb08c48018720~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ou6yq8ax2RI651E3MtXAFl0jluU%3D,872,37,81,79
原来小时候看的“葫芦娃”是用剪刀剪出来的，传统的剪纸技艺成就了一代经典！#葫芦娃 #剪纸#经典  #动画 #匠人精神,https://www.douyin.com/video/7223726655477419301,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/i77e54d7ad6054d25b8dac49977ddd86e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=pqav5c9F1ClRavrAyRImGobL%2FXM%3D,143000,15000,6776,69000
百晓参：谁发明了冰糖葫芦？？#知识创作人  @抖音动漫,https://www.douyin.com/video/6888906809684266253,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/5bfbe2861fef4ed3970b2c1550840ac4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=O3gIRAcWMWT5LUbe3mR8yYI%2Flf4%3D,3330,40,137,836
