Title,Title_URL,Image,likes,comment,collect,share
我们这里叫藤三七，小时候的刀口药，长的贼快，就是没吃过什么味道。#识百草 #抖音自然 #入侵物种 #落葵薯,https://www.douyin.com/video/7254869784699882789,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/ooacjmmDAJ9bAQMIkCekAeFngUN2AAkabnrAhI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=JMCMrAUvJJ5Su4IpqEs4wVErAlw%3D,577,59,69,51
落葵薯又叫藤三七#三农 #大自然的馈赠 #农村生活 ,https://www.douyin.com/video/7141912420091497764,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/c925f1c5bacd4d9dbd155ee21e7b7c25~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Df8daTs0QYX0JAo9BGfqwT1MX0Q%3D,6957,684,999,719
落新妇为什么又叫黑三七？#新农人计划2022 ,https://www.douyin.com/video/7068816392925105449,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/466555953b1b4662a7e88183fbd8aeb6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=1iRSb1wVqr0e2JMnIfp12duehZg%3D,1522,24,202,155
竹节参也叫白三七#植物科普 #竹节参#白三七 #,https://www.douyin.com/video/7172802267169426721,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/36f3b3e8ce5c46b1bb30945bb61bfa84_1670048180~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=9CXgligqunlfO9kHCzYB1Vo7THc%3D,1546,86,836,531
此药又叫金不换，足见珍贵。 #国学文化 #中医 #中药 #三七,https://www.douyin.com/video/7330556651021339930,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/9bed5275af7e4774abea602b4aa546b4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=24zobGNWeGakmBvPFw143nMZsF8%3D,173,2,16,7
#三七#科普#故事#中药材,https://www.douyin.com/video/7093429337323621668,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/714a8cf9909c49d9bb7dcd8af894d26c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=TS3BCanX8DNv4zrFPh8df3vFe10%3D,177,8,28,30
带大家看看三七的植株长什么样，你见过吗？#大自然的馈赠 #一日一植物 #植物科普 #我的乡村生活 #中药材,https://www.douyin.com/video/7327589104009383220,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ice314fee28174621b13f30db09267eba~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=ox6UA%2BVteS55%2FHeO0gOoRo8fmJQ%3D,19000,860,2149,772
百晓参：三七为什么叫三七？原来还有这层含义！ #轻漫计划  #充能计划  @抖音小助手 ,https://www.douyin.com/video/6975126830831521037,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/0250f93808154c539cf1d57174afb84d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=gojlNVOL%2BYSTb0iQP5jLYx6lkac%3D,107000,774,1517,630
三七到底有多霸道！种过的地20年内不能再用，土地都快被薅完了 #三七 #纪录片解说 #中草药 #本草 ,https://www.douyin.com/video/7323882109381250313,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/7b09229b9baf436fa185b1aacdf1de2c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=P%2Bh3fZNbOneOLlP9zK0thvwa%2BaM%3D,52000,1975,3213,3560
支柱蓼，九牛造、螺丝三七、算盘七、鸡血七、九龙盘、蓼子七，蓼科，根状茎入药#中草药 #植物 #科普,https://www.douyin.com/video/7277720894699506998,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oMPD2UbSQNaBa6fE0fPnbBc7iRA8AA6AA3eJgC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=XA8UzjaNQ%2FnSzRkZlZsvNJj3n8Y%3D,61,0,13,5
三七......田七#中草药 #植物 #中医药文化进校园 #三七粉 ,https://www.douyin.com/video/7095161577913077033,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6b6f6806367a44b29de662153e8e1934~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=dSqRsePkNMarLM7Oy38yOlHzcrk%3D,129,3,23,6
三七和#土三七 你分得清楚吗？#植物科普 #大自然的馈赠 #三农 #新农人计划2023,https://www.douyin.com/video/7256624684723162423,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/6c8b10401dc146c3942acc65f4f7a41b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=kz%2FUCX%2BTzyIeqmJeCosogLSRu8M%3D,1180,81,275,108
中药材三七。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7330559363477736741,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/bb9b7da452704cf3a8173249c25d2e5f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=2FVqwlH%2FQxw1V5nBVCKwhGgdYQM%3D,59,4,21,3
名医李时珍，差一点点儿，就错过了三七。#传统文化 #中医药文化 #文化新说 #李时珍 #三七,https://www.douyin.com/video/7163853116742356260,https://p3-sign.douyinpic.com/tos-cn-i-dy/9312167b4ae74149979fa8f2d4b1c568~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=TFZm6BF%2BigBOEdUXDJRnpqrQGnI%3D,403,10,114,62
李时珍与三七差一点就擦肩而过了....#传统文化 #中医药文化#文化新说 #涨知识 #小故事 ,https://www.douyin.com/video/7121544065228836132,https://p3-sign.douyinpic.com/tos-cn-i-dy/14bec5b3bbc0403d8a93f967d7ea3939~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=9m4rB8xQmr3Rd5Gl2B5066xTDoE%3D,154,9,69,57
中药材主产地，来看看你家乡主产#纯天然 #主产区 #药材 #三七 #中药材,https://www.douyin.com/video/7337282016834014504,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIyAgNaT1gkezREIETDhAnBCQA6fIAQ3yFFjzH~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=sDDahHB%2BT9YKR7K7E9YUOEQnaH4%3D,261,10,138,23
找了好久才找到这么一两颗。三七#识百草 #三农 #野生药材,https://www.douyin.com/video/7359202033351675146,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0Ecs8B9DnmCItANjgEOAeS5QbmBJCADfHgDSO~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=%2FvwNan8DxGtRQlRi53SrA7qWOAU%3D,151,8,55,17
菊叶三七。又叫土三七，血三七，朋友们你认识吗？,https://www.douyin.com/video/7113118729701002510,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/716c85c91a1a4989b63d0ed7a41fdf56_1656152023~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=e80quDagR9nIRTP5fxyVo%2FjkFbE%3D,5914,258,1000,542
#大自然的馈赠 #农村生活 #植物科普 像姜一样的植物，藤三七，你的家乡有吗？@抖音小助手 ,https://www.douyin.com/video/7091953400803265804,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/881d632d0ef84f3ba1d1bc6af5005828~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=jG8RO2PgtittrTy9efCSP53vPWo%3D,5583,56,577,440
好漂亮的土三七#植物科普 #一日一植物 #野生植物 #保护野生资源,https://www.douyin.com/video/7151358697845886239,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/330cbb059fde4beead4f94694edeb35f_1665055457~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=IVttk7X7m6YX7DlIji0hDfdDrss%3D,222,25,76,45
