Title,Title_URL,Image,likes,comment,collect,share
"鱼腥草喜欢的人大快朵颐，不喜欢的人避之不及，你敢尝试吗？ #鱼腥草 #折耳根 #膜法世家鱼腥草面膜
",https://www.douyin.com/video/7243058331504479547,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/c4ba6173ddc44f789d2dface2dd13f35~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=UH5rDqWqXoQq3M7H0RVIGuwweHI%3D,25000,1417,1623,1237
鱼腥草全株均有浓郁的鱼腥味，你喜欢这种植物吗？#三农 #dou来广东百千万  #植物科普,https://www.douyin.com/video/7369625804491214120,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4D1MAmfiCGLPDQmqR8bABgQvVPRu4Id9sneAY~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=GJseaeTf%2B59Wa%2Fzqjt1gKHqovrw%3D,8415,530,1743,806
带有鱼腥味的植物你知道吗？它就是鱼腥草又名折耳根。#植物科普 #三农,https://www.douyin.com/video/7340969560700390671,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMmlXCFkzInPcgN5ANfCNVeBjBtKygAEh5gYA8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=GKgtdzli63w1P0H8fetgtT815P0%3D,5156,271,1243,701
鱼腥草有植物界臭豆腐之称，你那里还有这种植物吗？ #我的乡村生活 #农村生活,https://www.douyin.com/video/7300978135925869859,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oggAAbkk2gZ9nfGQDLLDAVBNkAUeIw6DltjyFC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=TvekmH6cwKINGJa0NM%2FfoUoYnHg%3D,5013,234,1585,476
鱼腥草的味道你受得了吗？#我的乡村生活,https://www.douyin.com/video/7259402368377310516,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/owApynvGQANDQ6AAiAlDcUQAMIF9gA8gkeCleb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=2mazTXPUv%2B0ALJyok1u1kEMoVao%3D,2679,84,460,130
鱼腥草有植物界的＂臭豆腐＂之称。#西瓜知识,https://www.douyin.com/video/7134334899502288158,https://p3-pc-sign.douyinpic.com/tos-cn-p-0000/73104fab2e0f4507ad1a58c5ecfcb2d1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=x9Rjzu59mvAyWYy5Atm%2FIZYx2y0%3D,1649,119,422,828
为什么种植的鱼腥草抗病害能力很低？#抖音自然 #乡村守护人 #新农人计划2022 ,https://www.douyin.com/video/7099973501334867231,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/0c96e194352b4cc7874fb091e34876a3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=LGyXzPA33T0mWQyQj7j1Hhz7Ehs%3D,11000,773,1029,796
鱼腥草有叫折耳根，你喜欢吗#折耳根 #鱼腥草 #你的家乡有这种植物吗,https://www.douyin.com/video/7301139131021692210,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/cf8cfacb14de4aa7a7c10bee834bc650_1700387542~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=PzB4budH%2Fze%2BKXZ3%2BZ8zm1TZoPE%3D,1985,202,430,375
#鱼腥草#科普一下 #中草药#故事,https://www.douyin.com/video/7079725100953521422,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/b7e4e885c5f647efac5c5196f933bd52~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=GpzqKudLdoFx1zeCb%2FlEuplXHDk%3D,129,2,17,18
#鱼腥草#科普 #故事 #中草药,https://www.douyin.com/video/7079326574201359623,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/829aafabd4f94feea1bb8b8460bc6a7d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=G7vBrelWD85iQgOsZLtymziRTHI%3D,22,1,6,3
