Title,Title_URL,Image,likes,comment,collect,share
蚂蝗七的名字古怪，相传与李时珍有关，你们觉得呢？#三农 #野生植物 #大自然的馈赠,https://www.douyin.com/video/7209666196390694199,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMeET1yIGAujB3sCDH7eQ74CEbNbIjfVBVOAEn~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=XIGRUO15tRnWxvK9ain%2FrEWaslU%3D,2618,56,341,88
他发现千年树洞里藏的药方，尝百草治疑难杂症，终成当代李时珍 #中医 #中医药 #文化传承 #疑难杂症 #医书 ,https://www.douyin.com/video/7072330680893508894,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/86b1eb73e6394cb4b51e51a496a95c3e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=wJMQ8NbSAdH72z72DWEpanM0PMk%3D,31000,1201,6743,2635
"#涨知识 李时珍巧治怪病（下）
#传统文化 #国学智慧 ",https://www.douyin.com/video/7081185961270381860,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/c6ca301a868842b294296dadf3da94bf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=lQVss8NQ6Hr4AgARJPbbDuZhHgc%3D,2260,89,180,211
"#涨知识 李时珍巧治怪病（上）
#传统文化 #国学智慧 ",https://www.douyin.com/video/7081185697452821791,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/d33a497f32c74640af957df3bee1235d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=PB3yWck4zZhsrva6tjHj%2B%2BksrTU%3D,17000,279,2300,1041
#传统文化 国学小故事：“医圣”李时珍是怎么炼成的！#涨知织,https://www.douyin.com/video/7075163729268198670,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/10f719f748db47fc9c3705b7a363943b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=uj2vRlKBp9fdtYf8jgTOGs9WpEc%3D,198,5,6,5
普普通通的农田里的杂草，李时珍竟然这样夸它……#小妙招 #新农人计划 #植物科普 #香附子 #上热门 @抖音小助手,https://www.douyin.com/video/7282329398748007743,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oAWaEKQgbACeHsnZBCAge9QAVe7bAIL6bGDIBg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=z3juzmf2cTXS4ERBuaXHcvLXQUA%3D,2047,1319,1244,828
百晓参：男子当众表白李时珍，回家后竟然一病不起？ #发电计划  #轻漫计划  #涨知识  @抖音小助手 ,https://www.douyin.com/video/6978798148877602085,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/24da6cd1140143a590539485405a0f16~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=YkJwcby6BuWGC8Nn3WPN%2F0VSVzg%3D,51000,374,767,344
百晓参：太子参最初生长的地方你绝对想不到，李时珍见到都吓破胆！#轻漫计划#充能计划#原创国风计划@抖音小助手,https://www.douyin.com/video/6963545480873659679,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/c77eb564c7374c8c8744852cb290e7a9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=cgEuBAM%2B44aJ0pMU4g%2F6VPZD27M%3D,14000,21,356,181
百晓参：假资料害人，李时珍为它冲冠一怒编写了《本草纲目》！ #原创国风计划#充能计划#轻漫计划@抖音小助手,https://www.douyin.com/video/6962111306585476359,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/2b00da6e769f4204ad51b26f1e593a06~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Vbkwls5BOXjLhAQyhPY0Due%2FHCU%3D,22000,176,499,174
浮萍......李时珍采药#中草药 #植物 #中医药文化进校园 ,https://www.douyin.com/video/7098532501211155727,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/29c09369bc2b4db193a96daf130e41f3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=1CLR73ugHiDBoB4ZYkQ9qIQTIyQ%3D,102,1,26,10
