Title,Title_URL,Image,likes,comment,collect,share
端午节可不光是吃粽子，它在各地可是有很多不同的风俗习惯，我们应该守护好传统节日，别让孩子们只知道过洋节。#端午安康 #传统节日  #菖蒲 #端午习俗 #我要上热门 ,https://www.douyin.com/video/7104803499786964239,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e8a50270c5b448e8814afe55eed5ab0e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=waaEwRdyqtaP6y3KSgagXwYuN2U%3D,2456,92,323,414
石菖蒲和水菖蒲是两种植物。#端午 #端午节风俗 #涨知识 #菖蒲,https://www.douyin.com/video/6973651864764026147,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/7efe61bfed4a422196e00839ee73b8f0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=XrzYWhsp0pi3DcmJiDIcKfR7SDM%3D,1933,108,110,180
大家擦亮眼睛不要被骗了，水菖蒲和石菖蒲是不一样的！#中草药 #三农 #支持三农扶持三农发展 #新农人计划2023 #新农人,https://www.douyin.com/video/7228590186211331383,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i3dc0b5372d354518b980dfea212eba3b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=bRHt4hW0xiVpvVI3ViPYwRHtwXg%3D,1265,300,542,190
水菖蒲你知道吗？村里在端午节把它和艾叶一起悬挂门口上。#农村生活 #植物,https://www.douyin.com/video/7341279311573388559,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okZ4nbWpADwNQV7TLHlgeBqCIV9XAT4OvAeGI5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=npDnjCFeIVae3wA%2Fbkgo54B0hc8%3D,1525,91,420,150
这种植物叫水菖蒲，喜欢生长在河边湿地上，村里人挖取它的根茎晒干#植物科普,https://www.douyin.com/video/7327647814253546786,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0jsnbOdADFNQOC6qElgeBNxI59QApM6eA2lE2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=DO0MCIKwEUnEf5cdw%2Biga3Kon8E%3D,9696,716,3492,1140
长在小溪石头上的石菖蒲#乡村守护人 #新农村计划2022 #农村生活 ,https://www.douyin.com/video/7128913299655249193,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ed9107b4dbdb41ed8be253f612fc2e34~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=%2BmE7H9xf4Pht4geB0KkKSPdI4MY%3D,13000,545,1282,692
植物界的大香肠、菖蒲#菖蒲 #你的家乡有这种植物吗,https://www.douyin.com/video/7275338748915748152,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/513ad4e94cf147dc9073ddda3e6a98b0_1693921814~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=tSpgrgl%2FSLf4WYYazYURtVd3tFc%3D,478,46,115,59
九节菖蒲的传说。 #国学文化 #中医 #中药 #石菖蒲,https://www.douyin.com/video/7325352044120821030,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0e46ea25d1124dd087aec843a352ac60~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=XVcNsMnj3ENkQdK8tf8K8DxNQcQ%3D,100,7,9,7
石菖蒲，久服轻身，不忘，不迷惑，延年，可做香囊，可供观赏#石菖蒲 ,https://www.douyin.com/video/7071454191427865892,https://p3-sign.douyinpic.com/tos-cn-i-dy/c56e61934dea42baa26b71c2c33a9002~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=nGOfTURg5GXoXfiOHlKQx4JWysA%3D,47000,3119,5648,3403
“人若多忘事，远志石菖蒲”，你知道这个植物的价值吗？#远志 #大自然的馈赠 #植物科普 #中药材 #嵩医,https://www.douyin.com/video/7336125398457126179,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/e8252fb07fd24eeabeb542423d551630~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=bUZS8KkBQTWzlhHDgSmSEbxdEgg%3D,9967,418,3940,930
植物界的“大香肠”你见过吗？#菖蒲 #大自然的馈赠 #新农人计划2023 #草本植物 #嵩医,https://www.douyin.com/video/7259182487690136866,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/9c916e9c79cc4947ae7cf46bae3087b0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=WCfDX0ITeJx2Wv1oCYLog68bsMM%3D,7887,1237,1476,1092
说九节菖蒲的故事，但是现在用的多为石菖蒲。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7325352992604065061,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/51cb89ea55c649ceb3c8c16128dd9687~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=7miopeWLUPfd2bzLp%2FLzOnByDq4%3D,35,2,5,4
石菖蒲 #哪些野菜是中药 #中药材 #中草药知识,https://www.douyin.com/video/7364743977691598091,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oo5DDpd0I3SACcNBYp7nbAC9OUAeLNNgLekmQo~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Dr76PYQs36Qy5Tz8kk2u86qFv84%3D,132,20,40,12
石菖蒲 #大自然的馈赠 #三农 #我的乡村生活 #中药材,https://www.douyin.com/video/7362517552683126043,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o86OmAIcqDn5geArEwwABNKsRDer9LHDwMLAbY~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=aH1ZYcB7owI0AYoQysVSm9ukTKU%3D,121,13,44,9
石菖蒲#三农 #中草药#石菖蒲,https://www.douyin.com/video/7323898527170546980,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYTODAA8wQuGK9LghhAokbg7xY2qnbeBCexlwO~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ItwaK9LfBeCHx3E093jYYkuGqM8%3D,178,17,53,16
石菖蒲珍贵的大名贵中草药千万别不认识#三农 #我的乡村生活##大自然的馈赠,https://www.douyin.com/video/7306089093245537577,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIIVe9BlmZI4EeEmCgrnrgJAChAbAqqL0QKPDH~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=%2Fw7czVVzPEAH8ixwX4gEB5YqPSA%3D,150,8,52,20
