Title,Title_URL,Image,likes,comment,collect,share
小暑时节，农村的狗都在水里散热#二十四节气 #小暑 #新农人计划2023,https://www.douyin.com/video/7252485791270587683,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQACmfuFCUvWzAmxetXBwwAKgDh2ASDINy7VEH~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=dShK%2FsFCPCLqTR3C7aV4WTTzI4k%3D,1347,79,75,40
古老的计时工具，却蕴含了无穷的智慧，不仅能计时还能划分二十四节气 #日晷 #非遗传承 #纪录片解说 ,https://www.douyin.com/video/7214050909955853580,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/d99813593e344174a7cddc05becd99d5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=cp2pSlH%2FpUDS440p4P4mWckppxY%3D,4934,273,1441,3136
#小暑 至、农事忙！盛夏已登场，要注意防暑哦#二十四节气 #晒背 #三伏天 #冬病夏治正当时 #嵩医,https://www.douyin.com/video/7252973263511440679,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/2211746cf3cc4775ab7821b668879b1a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=QXdgiyZckmbj8caVw%2Fj5e4OVt4Y%3D,1242,71,162,199
小满是不足，不足才可以流动 #二十四节气 #节气 #小满,https://www.douyin.com/video/7370542973081128203,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/be64c792cbe043fbb064465e3c68f0f2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=N0sBpRauKUbOL%2F1z1wIpW3U%2B04A%3D,113000,2179,12000,16000
小雪是个节气，更像是冬天的小名#二十四节气 #小雪,https://www.douyin.com/video/7303857007780498727,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/2c1e84dbeb6643c0af855bba5a26e58f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=2HY%2BTBR3yLk%2BrLy4WqfcwJZX6eA%3D,70000,2211,8280,11000
白露，去感受光，读懂风，了解水 #二十四节气 #阳光是最好的照片滤镜,https://www.douyin.com/video/7276053621060422912,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/014db0cf952c4609a7b21e2fecd2da2c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2BOCGyvsAv1mgxuac2G2dRjKvd8g%3D,132000,3623,15000,19000
处暑彻底地送走了夏，奔赴向冬的路上，秋天有了自己的模样#处暑 #二十四节气,https://www.douyin.com/video/7270095077375020348,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/4ba9dba9687a4821b79f66023414be4a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=vFYMWWIo1NcBkpxbHNtyanpBwmM%3D,187000,5281,24000,27000
"小满两个字值得你一生去体悟,二十四节气为我们寻回自然的规律#小满 #二十四节气",https://www.douyin.com/video/7235253192911490337,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/if6940770c9284012bc396e396db2de40~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=wvGRkrMwbfddyeyiYLr55inFvi0%3D,341000,12000,38000,59000
等一次花开，还一世自在 #寒露节气 #二十四节气  ,https://www.douyin.com/video/7151750595806858504,https://p3-sign.douyinpic.com/tos-cn-i-dy/39e4979bf43f429599cc6b9b559d245f~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=aAFGQG1WUkx%2FQB7DE3b8DOUxfew%3D,427000,33000,43000,48000
保持对远方的悸动，对当下的笃定，保持敬畏，保持真诚，这样这个世界就会让你心安，何处都是家#白露 #二十四节气 ,https://www.douyin.com/video/7140247785474919716,https://p3-sign.douyinpic.com/tos-cn-i-dy/bf8ebf0308e74d148639e7af9b59e4bf~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=l%2FRprjP%2BaEWzm%2Ff9j24qV5cJFdU%3D,259000,13000,27000,38000
