Title,Title_URL,Image,likes,comment,collect,share
半夏三片叶，南星一把伞，重楼不服气，伞上又加伞。#我在抖音学知识 #天南星 #一把伞南星 ,https://www.douyin.com/video/7111619821569068328,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/85bf10a3e810449ba1fed573a255191c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=hjQeK5JYZeQOp3o4nzJDCbD%2BDM0%3D,16000,662,1289,632
天南星也叫独叶一枝枪，你们见过这种吗？#三农 #野生植物 #大自然的馈赠,https://www.douyin.com/video/7224507226973556005,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/254a7ada6ecb451bb31c7d3281481faf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=wyUpAzh9BEy0Sk1YqoSphNKNaZg%3D,4481,410,881,307
野魔芋，天南星科植物，果实色彩妖娆，十分奇异#乡村守护人 #奇妙知识在抖音 #新农人计划2022 ,https://www.douyin.com/video/7106653746897095967,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/47f4a0afb1dc4bdabe4e6f213bf3d3e8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=jSJ95sRqf4XWcJW1i6BUUGrlB%2BA%3D,22000,849,2077,1159
今天在野外一次性发现了这么多天南星科的植物也是幸运至极呀。新春佳节至，祝大家岁岁平安如意，事事顺心无烦忧！#我的乡村生活 #大自然的馈赠 #你的家乡有这种植物吗 #植物科普 #新年快乐,https://www.douyin.com/video/7333529925770693928,https://p3-sign.douyinpic.com/tos-cn-i-dy/c25a0318e6f04fc4a67463900e3a44ff~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=TerDdDJ4A3%2BOw2VRQOXL1c1617U%3D,18000,729,1224,617
天南星...白南星、山苞米、蛇包谷、山棒子，天南星科天南星属木本植物#中草药 #植物 #科普,https://www.douyin.com/video/7231786901194165519,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/c481a55d69154aeaa89006d77394ecf1_1683781610~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=bZ8RG%2BEyKxdmZtt%2B5v0gDKE1jbY%3D,91,5,23,4
胆南星，为制天南星细粉与牛、羊或猪胆汁拌制，或生天南星细粉与牛、羊或猪胆汁经发酵而制成的加工品#中草药 #科普,https://www.douyin.com/video/7207660925376138496,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/c309028a615b40c69f7fc67eb5676cc8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=cKEks642u%2FLY3tRAGJ7EUPjaBqY%3D,136,0,33,3
白附子，独角莲、牛奶白附，天南星科，干燥块茎入药，化痰止ke平C##中草药 #植物 #科普 ,https://www.douyin.com/video/7147838178194459944,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/8d5c51a99c5d416cad0e81c68da1901e_1664235779~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=u4ZIx3Cnl31WIZK9BF21QRmpX8U%3D,285,18,133,18
半夏......天南星科#中草药 #植物 #科普 ,https://www.douyin.com/video/7101134251608853760,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ce010290c5dc4bfebeb2ecd5e0807977_1653361664~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=oReKu9n0FbcmfhD4oMmpmAC3Cyc%3D,121,3,32,14
天南星科的植物有很多，这个植物也是天南星科的一种。#灯台莲 #植物科普 #大自然的馈赠 #抖音新农人 #嵩医,https://www.douyin.com/video/7369488662997896467,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0b19ff22367a46a0941321190366d662~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=mxu%2B9FY7ABNQPKssVmCWTRoaLQE%3D,2746,130,411,129
天南星科的植物千万不要随便碰！#天南星 #大自然的馈赠 #三农 #植物科普 #嵩医,https://www.douyin.com/video/7358395909195107624,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/2962bb36587b427c97445a31948197f1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=4Z%2ByISaQHG6J8v7SCcmfv9BP5Mk%3D,14000,3228,2663,1523
听说有这种植物的地方，是毒蛇出没的地方....#大自然的馈赠 #天南星 #三农 #植物科普 #嵩医,https://www.douyin.com/video/7283437069278481723,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/idfb85bf01dbe41799d354ef2cc679e33~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=uPuI2MLIeb87fr5wVws06TouqBo%3D,2946,259,574,618
上山路上竟然遇到了它.....#天南星 #三农 #大自然的馈赠 #新农人计划2023 #植物科普 #嵩医,https://www.douyin.com/video/7248930675691228431,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocn6CDHFfQvMaexBuELbknAfRMTqC7AiyJIrAB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=iEjTkoiqoIJRLaYaV9EQ7uk3SbA%3D,4622,289,767,248
据说李时珍因为这个植物写了《本草纲目》...#大自然的馈赠 #新农人计划2023 #天南星 #三农 #植物科普 #嵩医,https://www.douyin.com/video/7242894256644328736,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ceba3d7ed4344db1a211fd31b819447c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ka7Ykyc0UCg7JYGBI2vcOypWzLo%3D,3202,268,611,141
#灯台莲 别名蛇苞谷，这也是天南星的一个品种，属于天南星科，不知道你的家乡有没有遇见它。#大自然的馈赠 #新农人计划2023 #三农 #植物科普 #嵩山 #嵩医,https://www.douyin.com/video/7231720788565560631,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/id38e5386dbdb41beb0d9ac86fffd3748~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=GjIzkg7hYZJIm3A0zwoq7B01qaI%3D,2268,79,429,94
在户外看到这个不要吃哦#天南星 #大自然的馈赠 #三农 #新农人计划2023 #识百草 #嵩医,https://www.douyin.com/video/7221414440007241020,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i8cecd0d745954080b4dda28dd8029533~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=93EMYti9rTNuYQ7QlUP84AkdJ0s%3D,973,119,178,67
#一日一植物 据说李时珍因为它写了《本草纲目》-天南星 @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6814096230596021508,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/3d5c309a73ec43bda8fb50c6465442ae_1586530452~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=B3Cz7rAMMfEfsDOykVs9Ku2VJfY%3D,74000,2596,1262,1805
天南星，家乡有这种资源的朋友，发图片来给我确认一下。 #记录大山里的农村生活  #大自然的馈赠  #三农,https://www.douyin.com/video/7292362348227005732,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogAeAAPlCDmL19VQy0zbBerM0nyGA6IOpRHGag~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=DUpNafNkPcKaPIRp4%2F3J5cyB9%2Fw%3D,582,148,338,73
山苞谷，它其实就是天南星的种子。你遇到过吗？,https://www.douyin.com/video/7090487905646333191,https://p3-sign.douyinpic.com/tos-cn-i-0813/285f6dc45bfc40b29d83274d3296db21~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=B3THpi%2FhF62Ugy%2FQMkf68cTDvQs%3D,3532,179,453,300
一把伞天南星，这种天南星你见过吗？,https://www.douyin.com/video/7088632251323387143,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/9af0ec94aa964b61a80580bc19c00522_1650450819~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=e56uiJ7FJons%2BhyTEZKaKykFGBU%3D,2551,155,334,291
天南星，喜欢和重楼生长在一起的植物！很容易混淆了,https://www.douyin.com/video/7011087332807822599,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/03eec2c2b6b04d3f9128aae4e1c0f9aa~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Pz%2BxxvJqChazt8J4IzcxRspoNro%3D,1713,91,190,281
把野生天南星和七叶一枝花放在一起，区别还是很大的#七叶一枝花 ,https://www.douyin.com/video/6999225132929666318,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/f35a55e836ce402788b36b7099e38407_1629634167~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=h7Z7%2FbgN%2F4Eo8I%2BD%2BPYONDsMG3I%3D,1195,22,104,169
#大自然的馈赠 #农村生活#植物科普    它是出了名的臭草，却是一味名药，大名鼎鼎的天南星，大家都认识吗,https://www.douyin.com/video/7147571370761653515,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4ca4a4d081544079bf5a258f17730403~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=TxU8AZT83MCkKxkkhsuD4TPR%2Fas%3D,2641,134,217,119
#夏日科普星探企划 #大自然的馈赠 #植物科普 今天在深山找了一天才找到的植物，相传这是李时珍最擅用的植物之一，天南星，蛇芋，大家一定要认识,https://www.douyin.com/video/7130888208237268236,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/3e91583c18544758a5a4304f97da6c80~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=tlbkbSWaJpHmueJ4NtqsbfqQ2pc%3D,1221,49,94,36
