Title,Title_URL,Image,likes,comment,collect,share
粉丝遇到了五味子的伪品，探究一下究竟是什么药材冒充的。 #中药材 #中药 #热点 #中草药 #创作者伙伴计划,https://www.douyin.com/video/7342037998478888202,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/eadddbce25294dc1a70d568f47931ddd~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ad3Ip2moXdG59FUGndqg0XhiC1c%3D,281,63,24,15
南五味子的果吃起来什么味道？,https://www.douyin.com/video/7311507716382477608,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUhtAleAEAAtcI53CyYgdFEwDBfjpsuz9A8gsB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=A6uHQ%2F8menVKlxS5EQdfkAvzdvE%3D,3137,478,348,145
黑老虎，又叫大五味子，果实美味，你们吃过吗？#新农人计划2023,https://www.douyin.com/video/7257316025119608104,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okoAst53hgoeztCIDCLhA7BDKAWfExR6y0UXPi~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=KaqwC2wa3GV3OTxqBy9D7Q%2BxolA%3D,4552,251,1198,388
中药材故事——五味子。#国学文化 #中医药文化 #中药故事,https://www.douyin.com/video/7223662956708515109,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i1a3577fd41f54ef184af0f2ae0265451~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ivy9WDpCoTHSV%2BNFv4NMFMzsTTM%3D,78,5,6,12
#故事 #科普一下 #中药材#五味子,https://www.douyin.com/video/7096426373966777630,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e59758311a774f5c9d912f7d8c88b6bc~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=0fRsjp0oyE2tGoNgpTJpTNJ55ZA%3D,165,4,33,18
今天运气爆棚，进山找到了好多五味子，你们那儿有这种植物吗？#植物科普 #这个野果子有认识的吗 #大自然的馈赠 #你的家乡有这种植物吗 #家乡野果,https://www.douyin.com/video/7269324387382349113,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/icb945921160f48b98808a2bd154bcc9a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Khr5JcgOo1aKuFN%2FUB9I8kNaV2s%3D,17000,816,1470,707
山中偶遇五味子，好多年没吃过了，可把我高兴坏了。#大山里的原生态 #大自然的馈赠 ,https://www.douyin.com/video/7154623143431113998,https://p3-sign.douyinpic.com/tos-cn-i-dy/710b6afe50a547a9a0e88464962ede84~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=vclsOxXVv50Xozs3o2MAXPN9SzQ%3D,19000,1404,1662,1012
五味子....五梅子，山花椒，收涩药#中草药 #植物 #科普 ,https://www.douyin.com/video/7120358737784737059,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4787522b2c7f4212a61a75c443d505f8_1657837721~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=0WrGhVl6nI0xiGOWV2B0P6SBXkM%3D,400,20,98,31
五味子的传说故事。#传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7227347100919434551,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i7a2d82dd44934a88bcbd2dccc08bcd1c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=u8H0tw0r46mLhA%2B5vxhG3NhrBPw%3D,27,0,17,17
"这果子太上头了,真的有五种味道,古人太智慧了,五味子#一日一植物",https://www.douyin.com/video/7279605461186301236,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/b682540a25ed4e15a32027d71d898ca4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=OFhESDOFyTr9lGm1%2B8PiSORrdK0%3D,116000,3491,7058,6590
