Title,Title_URL,Image,likes,comment,collect,share
这种植物还是比较常见的，但要收集它的孢子还是非常不容易啊。#海金沙 #海金沙也叫化石草 #暑假知识大作战 ,https://www.douyin.com/video/7135418289529965839,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4b13787639bc4d24a048f493bff5ce50~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=TDB2VNGiKkVtwa5%2BTGXk8aGItDY%3D,3406,211,492,281
海金沙，了解它的村民用来煮水或者晒干。#我的乡村生活,https://www.douyin.com/video/7266888198075288866,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIYdA3bnNIYU9UkAeLACT2GSZBKAxDyf8H8SQg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=wADWt6%2Bsj276VK%2BQrucAKRFI%2FlU%3D,5196,110,1283,430
如何用水鉴别海金沙和胖大海的真假#抖音自然植物  #新农人计划2022  #乡村守护人 ,https://www.douyin.com/video/7114446369330400520,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e79ba2f605654ae09f17ed92c665b13c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=mRU4ymevjo5mzay09SXdGLyWSME%3D,14000,377,1679,647
#一日一植物 能产出可以吃的“沙子”的植物——海金沙，也是一味很有名的中药材； @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6907182175385406731,https://p3-sign.douyinpic.com/tos-cn-i-0813/c510c048f1c74c1188bf86b599951014~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=fXZxfLdWkZt9g3Qr1hIiLYHrh2Y%3D,90000,5168,3135,3428
带你认识金沙牛，蟋蟀，甲鱼壳，九香虫。 #我的乡村生活 #大自然的馈赠 #三农 #识百草,https://www.douyin.com/video/7362524626620058917,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocBYA8FFnfcEnAnCEzhzFStJI9pYgiZBADsLJe~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=P0AGi6DAcylcxpQjoJ4tUahFhKQ%3D,128,19,57,15
#大自然的馈赠 #我的乡村生活 #中药材  野生中药材图片大 带你认识金沙牛，肉苁蓉。酸枣仁，马蜂窝。,https://www.douyin.com/video/7362137705054047538,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQaM79HgQBAMoNV2UR4GueyDgQJvfBAfPCy7IN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=qFhmJ2S9NJqWOw12s9brAlyxbIc%3D,47,8,23,9
金沙牛，不管是种植的还是野生的都可以哟。#三农 #我的乡村生活 #药材收购,https://www.douyin.com/video/7356574845636709684,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMAANe9vFpmQbBw7r4n8IIN6CFm9D38gCP6Aof~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=YdEAQywSk0gz2wqulOq9M9NG5Ac%3D,187,34,65,16
中国最贵的牛。#支持三农扶持三农发展 #记录大山里的农村生活 #中药材 #科普一下 #金沙牛。,https://www.douyin.com/video/7355061558357003520,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/o44SiBgEbAIqo0AgGn9meYB2bDAC8AfunmyQMN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=DB0ia23%2F%2BnNeqrfYEfXziPYV09I%3D,1118,1023,321,315
海金沙你们那里有吗？#三农 #记录真实生活,https://www.douyin.com/video/7325019754819800332,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQ2lEChzsKtA2GNBsy9nAxQIrufJzeA0LWBv3g~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=HwMYybaakY2NJRcBpoMetDo1owg%3D,174,18,70,21
海金沙#中草药 #三农 #海金沙的功效与作用,https://www.douyin.com/video/7319843257926700327,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osANIyqBt1dhAPfeYUIErDACxTgNzHOV4iyErz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=q8PHK1bb4ayUvQ6tYepxy9srdeE%3D,186,7,67,27
认识：不一样的金沙牛#中草药 #草本植物 #大自然,https://www.douyin.com/video/7302729547022142759,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okBeeKQCKFOHBp47x5gFtOAEMAA2EqsxyasQeP~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=FWDRwh7Lpnaxb5LNT4RWTszcUmw%3D,891,154,310,134
海金沙又名碎石草#记录三农 #寻找1000位科普达人 #大自然,https://www.douyin.com/video/7302378226578476299,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oAb7IBRoEIflqOcuyeCvQPEhAKeLBKAorpnEYD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=24j9ECkZG3tMkmi1bCuWLo9Sqvk%3D,234,39,114,40
世界上最贵的牛金沙牛。#三农 #记录真实生活 #三农种植,https://www.douyin.com/video/7300913850646269238,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/osBZADTqzfZN5AQBEyhzGntuIvs9gcr7ACS4ge~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=IWMkHUARmhXowa5AHRFFCvdFlNI%3D,125,20,32,19
地股牛、蚁狮、金沙牛#三农 #记录大山里的农村生活 #大自然的馈赠,https://www.douyin.com/video/7297773089117441334,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0w7FjHEG83VrbEfBLtIleAQP2Ac4BFeZClKcg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=YdKXoHK35UBVq6cWJE53staQqEg%3D,122,48,58,18
很多年轻人还不认识，金沙牛 #记录大山里的农村生活  #大自然的馈赠  #三农,https://www.douyin.com/video/7291976300510694692,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/own9NMD0sWgIjyCdAe3QTigEnbADeACo7BwlkI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=%2BVAQLIBBazHhkZY4ISWnRTtc%2FV4%3D,101,23,38,9
很多年轻人还不认识，金沙牛 #记录大山里的农村生活  #大自然的馈赠  #三农,https://www.douyin.com/video/7291976190175317302,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okxA23n2e7O7MmkQC9eaAB3AKAvIQCBbglkMYD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=DarMROEGwpNmmCxcjkuMK8%2BjRWM%3D,59,5,19,8
世界上最贵的一种牛：金沙牛 #记录大山里的农村生活  #大自然的馈赠  #三农,https://www.douyin.com/video/7290884752880569636,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0IcQCB172QXAJPKe5pT2ffxInqBwHtAEpNiCq~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=i83OxiTiOc0TwkLdkrc8c9UYVgw%3D,95,30,23,5
世界上最贵的一种中草药；金沙牛#记录三农#中药材收购#记录我的生活,https://www.douyin.com/video/7290516157054930212,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogkECIHdgA7iAzHcefNooyzBaylinhAkdTRpBt~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=39Jk3yWr9WwOpcZ%2BK7WCx5KmcYc%3D,667,383,191,70
金沙牛 #记录三农 #中药材收购 #记录我的生活,https://www.douyin.com/video/7290144903667977491,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUewDiklKA4GAEuDDdJ8w9zBCGrbQDyfAQMgIn~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=2jieoISRfUKwts80FtOJlOq6nq0%3D,348,120,211,36
金沙牛#支持三农扶持三农发展 #2023新农人计划乡村振兴蓝图 #三农,https://www.douyin.com/video/7289392206677413159,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUPeEEqfVnA5Hcz2IjebB7KC8BmAOCnUIgbnpD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=eU2vbqq6fewHpzfMy9w2w2nsVYU%3D,294,56,100,52
金沙牛#记录我的生活  #记录大山里的农村生活 #三农,https://www.douyin.com/video/7278290227557436713,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osNENItsBNyAtz7rzch0BfgAeAmzWgcCjEtg1V~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=kFeHz13PrcXEKjaEGTIs8VYFroQ%3D,85,19,21,15
金沙牛#我的抖音生活日记 #三农 #抖音新农人 @抖音小助手 @DOU+小助手 @,https://www.douyin.com/video/7264523223440657675,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oskbhYnagKJeAEgWyUID5dfYAWAQCGtxBGDSza~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=w2YMaz%2BiVXhegChg%2B5eUmp5CmQc%3D,133,54,44,17
金沙牛#三农 #我的抖音生活日记 #抖音新农人 @药药《三农》 @抖音小助手 @DOU+小助手,https://www.douyin.com/video/7263767238467996967,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o09BX8AcGBJbcTzd2k9eAEC4eUQAgZ5anhVuDg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=SW5TbsnvAhavYqQQ%2BFJMRiqHs1I%3D,2021,1950,882,285
秦岭山区野生中草，天麻，白英，淫羊藿，丹参，海金沙…#中草药 #识百草,https://www.douyin.com/video/7299771580895350066,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o4bet8I2InVCNiDefAAQAK5sIbiaEpCDsJQAfA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=UTHkBPf8J6L3oK3XHgwawVo5U70%3D,56000,2257,54000,9863
#植物 #中药本草 #中草药 #我的乡村生活 叶片薄如羽，藤蔓如铜丝，深山里又一仙草，海金沙，大家一定要认识下,https://www.douyin.com/video/7042492712754482435,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4b5ab9ad80644c03bf4a53d0d491ece4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=4yShnd%2F%2F%2F7mRnwzg%2BEmxViq5jsg%3D,1147,130,143,115
