Title,Title_URL,Image,likes,comment,collect,share,下载地址
若要建奇功，天冬加麦冬。#天冬 #天门冬 #麦冬 #麦门冬 #抖音38好物节,https://www.douyin.com/video/7206284855628287267,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocdAEADgleysABNVIkUn9igszDISbAbnQDuegQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2F4Ob13BPiAJbSEsi5UsXIcuoXk4%3D,2868,78,516,246,https://v5-dy-o-abtest.zjcdn.com/21a29972d1cd05dadf914f9b5e0ca9f7/66845d65/video/tos/cn/tos-cn-ve-15c001-alinc2/oUDZI2f1PiNzuNABAQzAU5AKeSyg4BAAJOhEtd/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=769&bt=769&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Eec5qwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=aGZlOGhoZmk6NjZmNjdkZEBpM2drO2Q6ZnN3ajMzNGkzM0BeMTVeLV4uNmIxX2EuYzZjYSNvZmQ2cjRvbS1gLS1kLWFzcw%3D%3D&btag=c0000e00028000&cc=46&cquery=100z_100o_100w_100B_100x&dy_q=1719943395&feature_id=768c4eee0a62d19cc9ffc7d17c46e537&l=2024070302031569282281524E9E445EC5&req_cdn_type=&__vid=7206284855628287267
秋收冬藏，冬季采挖的全都是根部入药的药材，今天收获丹参和天门冬两种，在当下季节都是非常有用的。#中药材 #好东西一起分享给大家 #新农人计划2023  #中草药 #中草药知识,https://www.douyin.com/video/7315424411983564082,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/bdc242b37c1c476f890679a3e798f160~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=80Wd6ekJft4PDW1TjzB7J5s5E3g%3D,211,25,42,13,https://v5-hl-tx-ov.douyinvod.com/6404e6433422434a8f3b5cc54760ccb9/66845db4/video/tos/cn/tos-cn-ve-15/o4bKL89AAhBDWsg3GencDlIchQuq7O9XZesAE7/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2843&bt=2843&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2EeS5qwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=O2dkOmQ5NDY8OzM1OGU6OEBpM2hveTY6ZmlzcDMzNGkzM0AwXjRjYl9eNjQxNF8tXi1eYSNfYGBhcjRfaS9gLS1kLTBzcw%3D%3D&btag=80000e00028000&cquery=100o_100w_100B_100H_100K&dy_q=1719943414&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240703020334D2AD15673BB00C336347&__vid=7315424411983564082
天门冬和麦冬的三大区别#新农人计划2023,https://www.douyin.com/video/7298489247525342504,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osVLyzp2IANHT7CAOAchPYiwOE5egSfWyJBzjt~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=4%2BokAtmZ0Rg4%2FZw9c1GGWYz9fhU%3D,699,16,69,34,https://v5-hl-tx-ov.douyinvod.com/094792211f5b105fec1f36a810766eab/66845d4d/video/tos/cn/tos-cn-ve-15c001-alinc2/o0cO7fTAhE9IgrpYLJtijCHAexzlyzNWAQssBg/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=519&bt=519&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeeyqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NDQ4OzM1OzloZDk0ZWg5PEBpanVzdmg6ZjZxbzMzNGkzM0BiL140LWNhNTQxLzJiYTEwYSNlZW42cjRvLzFgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719943426&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202407030203461C6726C64CCF8D51F3C2&__vid=7298489247525342504
天门冬开花了，有多少人见过？#三农 #野生植物,https://www.douyin.com/video/7222290483022777658,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/70bab8e2f1c24e63a26e263ca917333d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=RBPu%2F6t3SvixSKNApNp5K%2BhF%2Bcw%3D,2536,79,302,98,https://v5-dy-o-abtest.zjcdn.com/a93ccf1b01521de432c383654290ae1e/66845d5b/video/tos/cn/tos-cn-ve-15c001-alinc2/owS6eyFHHIShAvPzAAEXDO1ttcBgUfIzQXNBVV/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=934&bt=934&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EexyqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=ZzlpO2hmOGhpNGY8Zzg3aUBpajZrbmg6ZnBlajMzNGkzM0AvXjFjM182XmExYmMzNTMvYSNeYmcwcjRvaXFgLS1kLWFzcw%3D%3D&btag=c0000e00020000&cc=46&cquery=100w_100B_100H_100K_100o&dy_q=1719943436&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703020355B4FB2ECCE84E084FBEE4&req_cdn_type=&__vid=7222290483022777658
天门冬为什么叫天门冬？#新农人计划2022 #抖音自然 #乡村守护人 ,https://www.douyin.com/video/7079961711343602944,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/99a9c288d13f4e8689c7ce5fabbe8f65~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=qd3%2BVHWglQdLePpiAjh%2FopA3ljQ%3D,17000,764,2490,2173,https://v5-hl-tx-ov.douyinvod.com/dda7d1fa00c6415a724469911c2405a6/66845d9a/video/tos/cn/tos-cn-ve-15c001-alinc2/a30494d3f8154d72b7bd0bc29c29225f/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3141&bt=3141&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EezyqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=ZTw3ZDc4Zzc4NTo5M2Q5NEBpM2c4NDk6ZnJrPDMzNGkzM0A0Xy1fL2AyNi4xNi9iLV5iYSM0ZWRtcjRvMi1gLS1kLWFzcw%3D%3D&btag=c0000e00028000&cquery=100B_100x_102u_100o_100w&dy_q=1719943447&l=202407030204062BBA031B784CAE46520C&__vid=7079961711343602944
终于发现了一棵天门冬，现在野生的很少了#天门冬 #你家乡也有这种植物吗,https://www.douyin.com/video/7265264775603572025,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/d71fee7dbdf24aa0b186cdbb39285d0f_1691576288~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=qJyFxJSAmPUOk8copIyxnqmWgLU%3D,455,24,97,32,https://v5-hl-tx-ov.douyinvod.com/42e6aab0f61a169ca7a6d8ee24f5b078/66845d4a/video/tos/cn/tos-cn-ve-15c001-alinc2/oIeJILeHDAg3g7enAQ8kp0GnCbOdbmsDBBCGmI/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1473&bt=1473&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeVyqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=ZmY4Ozo2ZzVnOTZkOzdlaUBpM2hoa2c6ZjNwbTMzNGkzM0A0LzItMTEzNjMxLTQuYTA1YSNtb2xzcjRnYzZgLS1kLTBzcw%3D%3D&btag=c0000e00008000&cquery=100B_100x_100z_100o_100w&dy_q=1719943457&feature_id=372716a7b3ae6b80fcb42f8f6465de20&l=20240703020417305BF6F5D71281474571&__vid=7265264775603572025
我觉得这个天冬很漂亮，你们有认识的吗 #天门冬 #大自然的馈赠 ,https://www.douyin.com/video/7106440833385172254,https://p3-sign.douyinpic.com/tos-cn-i-dy/e23687f424a64cf895b672a33b0548ae~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=VEcFEFYTILWnTy7br8Cosz3QoSs%3D,97000,4266,9765,4575,https://v5-dy-o-abtest.zjcdn.com/0ad3118d8427d6d54e050935a22e91c6/66845d89/video/tos/cn/tos-cn-ve-15c001-alinc2/65ef30bd2e364d958a74fbba6d81a6b6/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1667&bt=1667&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeHyqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=ZzlkZTQzNGllOztkNTM8M0BpM3FweTY6ZnBsZDMzNGkzM0AvYTRfLS80Xl4xMWFjYDUtYSNkbC9qcjRnLmNgLS1kLS9zcw%3D%3D&btag=c0000e00028000&cc=46&cquery=100o_100w_100B_100H_102u&dy_q=1719943467&l=2024070302042705DFA7A412572252991F&req_cdn_type=&__vid=7106440833385172254
爱美人士啊，这个植物一定要认识一下。#大自然的馈赠 #一日一植物 #三农 #天门冬 #嵩医,https://www.douyin.com/video/7288135213840895266,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/c82d16064dd04695a76c69495577cd01~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=C8w2zCMpxVgbPbNV7xHXWedQu%2BA%3D,3795,171,2140,703,https://v5-hl-tx-ov.douyinvod.com/4a10ec72e198687d446d838966b9ef01/66845d76/video/tos/cn/tos-cn-ve-15c001-alinc2/oEcAhrn8eG9DJqkFL9TpABeAPJUIEDQbglKOlD/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1458&bt=1458&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeCyqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=OWlnMzY2O2hmODxlNjUzOUBpanc8czc6ZmpkbjMzNGkzM0AvMTUzXmItXy8xLzQ1XjIxYSNocW1ncjRvZGZgLS1kLTBzcw%3D%3D&btag=c0000e00018000&cquery=100o_100w_100B_100H_100K&dy_q=1719943476&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703020436452180F71F1FBC4FD523&__vid=7288135213840895266
我觉得这个天冬很漂亮，你们认识它吗？#大自然的馈赠 #植物科普 #天门冬 #三农 #新农人计划2023 #嵩医,https://www.douyin.com/video/7249577960066256184,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/cefac61480d043c9863e09ab945290e3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=UGiTfUzPUPpQmohuA8X0W3kWZ08%3D,7797,548,1777,481,https://v5-dy-o-abtest.zjcdn.com/fd5a66f26674299c158078be9ceb11d0/66845d83/video/tos/cn/tos-cn-ve-15c001-alinc2/oA9BreA1QFDbuXmomkSbAoCbOGIAEFNfn6rmDg/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1186&bt=1186&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee-8qwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=Njk7aGZlZjdlPDQ2OWhnM0BpMzl2M2U6Zmp0bDMzNGkzM0A2LjNiMi1eXjAxYGAvLS02YSNob2tucjRvaWFgLS1kLS9zcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100B_100H_100K_100o_100w&dy_q=1719943488&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202407030204488F839B532B0B6144B02B&req_cdn_type=&__vid=7249577960066256184
#一日一植物 天门冬为什么只开花不结果？ @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6830760857815747852,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/cab6b97ef9de4ab5a48718c65a50c26a_1590410474~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=6EGzoRHLTS%2F%2Fng6vnxcyL%2Bc6JwA%3D,13000,685,184,339,https://v5-hl-tx-ov.douyinvod.com/4c72538cdb6031163c0a9e75a8aa07cf/66845db4/video/tos/cn/tos-cn-ve-15/a7405e75aca248f089e66bc944c73b71/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1951&bt=1951&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeY8qwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=aTUzMzY0Ojo3ZDNmaDxnZEBpajZtczd5c3J1dTMzOGkzM0AuLWIyNS0zX2AxXi8wNC9jYSNsbzNgM24wZzJfLS1jLS9zcw%3D%3D&btag=80000e00028000&cquery=100B_102v_102u_100o_100w&dy_q=1719943501&l=202407030205018A10C6D6602F8E35110E&__vid=6830760857815747852
