Title,Title_URL,Image,likes,comment,collect,share
一杯野菊花茶的诞生记录，展示了了它是如何从秋日的山间精灵转变为一壶清香的过程。#中草药 #新农人计划2023 #中药材 #好东西一起分享给大家 @抖音小助手,https://www.douyin.com/video/7294525750026243367,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/13d18ac26cab496a84042455de6e4fc7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=somH%2BuaSHawo%2BnZg7rcWzSCw0dI%3D,1458,582,501,731
开在六月里的小菊花，身虽小，能量却很大，值得被更多人了解。#中草药 #三农 #新农人计划2023 #旋覆花,https://www.douyin.com/video/7253758719886904632,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/ea8bff4c02b44c03a205de20726943db~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=JDkNVXu0rC3vsQY%2FzkeD4xmgxgs%3D,1950,210,626,195
这种像野菊花的野草叫白花鬼针草#西瓜知识,https://www.douyin.com/video/7139893951229742366,https://p3-pc-sign.douyinpic.com/tos-cn-p-0000/ac58da2951e2430397d7929220682762~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=gA%2F18WoS13yAB4qB1ez0%2FRs3Zl8%3D,958,61,207,198
野菊花千里光和三脉紫菀的区别 #优质农产品 #新农人计划2024,https://www.douyin.com/video/7356522229405912320,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/ooEXIDAP9nWFA3nmGekZbfBIK4EABDggDO5gBD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=RSo620IaywZJm7zRXI8%2BwY32prY%3D,172,6,19,6
野白菊花的三个用途#新农人计划2023,https://www.douyin.com/video/7295532533570178356,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAblGq9xAWnPyePD388A1IsDAETpQgBevGDNoA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=UWRm4B1sMgeIwWarVdrjQVKdhQg%3D,897,17,97,43
蒲儿根长得像野菊花，叶子像猫耳朵，大家要学会分辨！#三农流量扶持计划 #野生植物 #大自然的馈赠,https://www.douyin.com/video/7226336208043969829,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1e350f063d724f6db5ea10f6927c2ef8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=01HzYVF8%2FG7GxaOfflaxSVQ%2Bumk%3D,1566,28,206,51
山菊花很漂亮，大家一定要认识它！#乡村守护人 #优质农产品 ,https://www.douyin.com/video/7176793460484099363,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYGzNEkIz8JuIBFhght6AxE37fUL8xAA6N1emZ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=oJ1%2BSi7iA1E6IH%2BA460Wcz7T1sw%3D,2321,98,295,196
采菊东篱下，悠然见南山。野菊花你了解吗？#2022年新农人计划 #三农 ,https://www.douyin.com/video/7130402303886036258,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/973dee66135340dca2ec4045c7656d82~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=agflATwVC6dtEXg0HZvvXULmDIg%3D,2974,149,389,362
#涨知识 一梗九分枝的白菊花能治眼疾？（下）#小故事 #国学智慧 #传承传统文化 ,https://www.douyin.com/video/7100747534678723854,https://p3-sign.douyinpic.com/tos-cn-i-dy/aa29f44a95984842bfe4f4a823bd4ae9~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=BTuePA1JCV18lHtjo3iZcd7%2B3Gk%3D,459,10,46,18
#涨知识 一梗九分枝的白菊花能治眼疾？（上）#国学智慧  #小故事 #历史故事 ,https://www.douyin.com/video/7100745783309290788,https://p3-sign.douyinpic.com/tos-cn-i-dy/043c94f549cc4505b2056f7a26486683~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=coG2bouOjajszLTiSeLOLTw1Spk%3D,204,9,16,13
#故事 #科普一下 #中草药 #菊花,https://www.douyin.com/video/7101974054093032740,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/8cb305ab98e5487794ef80f5a71fa767_1653557195~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=j78iSMfexKtg8w5vOvgTfMcAvaY%3D,12000,201,1068,402
#菊花药性 #滋补养生 #科普一下 #中药 ,https://www.douyin.com/video/7072662116024552741,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/c1ffcbf9c8194ff991716002e6f03920~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=iQv03n1B3ugiLWAFxvnwZ7D5Syg%3D,20,1,2,3
#菊花的传说故事 #中华文化 #故事 #奇闻异事 ,https://www.douyin.com/video/7072660685884230925,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/6c3ac8b176534443ac724df666191759~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ql0I1ysiA6tjGu81wLNqL%2B7vfEk%3D,22,4,5,10
今天教大家把野菊花和千里光分清楚，两种东西用途不同。#大山里的原生态 #大自然的馈赠 #新农人计划2022,https://www.douyin.com/video/7162466517077085470,https://p3-sign.douyinpic.com/tos-cn-i-dy/4b81364c391a410aabda602606467cd3~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=x7%2FBUjfsm5lWVthflGs8xd7SwYw%3D,34000,1438,6609,3473
秋天怎么能错过做菊花茶呢，今天给大家分享一下我做菊花茶的方法，做一次可以喝一年，比外面买的要好哦。#乡村守护人 ,https://www.douyin.com/video/7160635047731645710,https://p3-sign.douyinpic.com/tos-cn-i-dy/f2c16097734f433a945fc7af43114247~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=6i19bsY1vTrO%2BBeV5luxTnTP1Zc%3D,47000,2603,11000,12000
采菊花也是一门技术活，采早了产量低，采晚了花品差#菊花 #本草中国 #中药本草 ,https://www.douyin.com/video/7008837633010896164,https://p3-sign.douyinpic.com/tos-cn-i-0813/1d014cdf89e540c797eb1a08e7173de2~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=uBeTBGR6ovz7Zb7WsntRlcYPses%3D,2425,21,47,112
秋天正是菊花争相开放 的季节，美不胜收#中药本草 #本草中国 #中药 ,https://www.douyin.com/video/7008104802475412766,https://p3-sign.douyinpic.com/tos-cn-i-0813/15deac6428554743a991b82fc764500b~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=z3b1htqz3fdLqfzDtdc6%2FuA0L8k%3D,2852,14,36,72
原来顽石开花是真的，一朵菊花让石头瞬间价值百万起步 #非遗传承 #菊花石 #石雕 #雕刻 ,https://www.douyin.com/video/7251139684527607101,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/oYUAPBhJERzAIOQawaALf9hAtNBACyIAOcEnj4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=9JR9hoIGOuSlFwWQZmryHRq1sTs%3D,1370,36,244,120
菊花......#中草药 #日常,https://www.douyin.com/video/7329804759496396044,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o44TjQyA9IFAuNQbPSEB86nl21eeDACLBgtLsu~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=%2B1LlkFsw5dYwVUhra7YRPumpMm8%3D,17,1,2,0
菊花......#中草药 #植物 #中医药文化进校园 ,https://www.douyin.com/video/7117507545488428288,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/9e45cad67dd740e5bcc984ae0597bf01_1657173875~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=IopCThZEGfR6M48cYXml1IJ%2FKkM%3D,108,4,23,13
