Title,Title_URL,Image,likes,comment,collect,share
经常应酬喝酒的人，一定要认识下这种植物-葛根 #草本和人生 #了不起的中国草本 #草本和人生合集,https://www.douyin.com/video/7294556303937064229,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0xTDAA8DQewB9NgkjAOKgg3uYexnb7BDFBlS2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=vUMgvXydePVUyvZRGja2SY9auRU%3D,3206,391,254,7620
这次亲自出镜了，葛根粉制作起来也很简单。#原来家电还可以这样 @京东家电情报员,https://www.douyin.com/video/6958217805091048704,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/72511d342537490abc4abd2de225fbbd~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=2it0ad6mPExEd4kvsO0VEeK6nrk%3D,2799,136,124,196
野生葛根为什么又叫柴葛？ #大自然的馈赠,https://www.douyin.com/video/7376796391441468707,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYAnAAUmDEDE89yQVgffBFpX6D9lT6Ihxj3H5g~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=r79LRItxyopdyFtRWkT9Uo5VsbU%3D,158,6,14,4
野葛根片是怎么加工出来的？#大自然的馈赠,https://www.douyin.com/video/7353528051373788416,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okDQrJEAID5XFjZAPemAZnuBDQQvDbTbgAgeY9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=z1SiCXY2slqXpanHgUgoZZMUSJA%3D,298,4,31,7
如何挑选葛根片？#优质农产品,https://www.douyin.com/video/7351585114515606799,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYvxEb4DnAwmeJPAOMDJhcI4BBDQ9ksgRf91OA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=t62D6uKdE0CQxW1%2B%2BgvqaQjHrj4%3D,290,14,27,12
详解葛根粉的正确冲泡方法,https://www.douyin.com/video/7346120472678944000,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8qqlAINmBnGgpAsEMnABjeyRDeb98mDRX5NbT~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=ged99P9vO0T%2BgwCixR95t1JNqPA%3D,223,2,15,12
实拍野葛根四季不同的形态模样#新农人计划2024,https://www.douyin.com/video/7345729456583036195,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oob9EAYn6POT3YfxhHBZIDPRgCehAlAU8tnD2D~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=QUUcjLuKMPZI4gCOQ0ZQocG8JUE%3D,572,13,79,30
辨别葛根粉的3个小技巧,https://www.douyin.com/video/7345003021476039951,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oQ0AEHf9aEz0sCEAinygNGh3yuIAeXXADFW1sB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=%2BHvfZPICoPjqv6wm%2FmK59oIOS%2Bo%3D,477,17,42,33
葛根长啥样？野生葛根片是怎么做出来的？,https://www.douyin.com/video/7344652305918168354,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMcA6h8zggtBBknfNZyeACAIEKtDm9IWrcSPkD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=WanABjloQfBRbQ%2FDcX3WigvymMA%3D,516,23,39,17
野葛根的三大优点#大自然的馈赠,https://www.douyin.com/video/7341674983468387618,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oESj3tGgnQfpuiH6A0eDDs9KvBbZl4AIDwg2A4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=tVPDD4VO9UT%2BgJJBUF3jkFRPUVc%3D,290,11,22,12
