Title,Title_URL,Image,likes,comment,collect,share
用这种植物来喂猪，原来是有这个作用。#科学脑洞上分赛 #土大黄 #野菠菜 #抖音自然,https://www.douyin.com/video/7223406369787940136,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/5dc55e0fc6e749569c6034cb4ff0788c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=zRN9ET7mA0U7KJa%2FFECJmIGiZRk%3D,1761,97,176,71
它叫土大黄，又名野菠菜，金不换，牛舌草等。你那里又叫它什么名字呢？#植物科普 #农村生活,https://www.douyin.com/video/7346242447204224308,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owCzMOgetAEzBxPFCz9lgKBhGhANfAhw5Y0IBF~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=n9DypI7x4CPIZSv%2BXAhCKHkNwEg%3D,75000,3718,22000,7293
土大黄喜欢生长在水沟边，村里人挖取它的根茎回来晒干。#新农人计划2024 #微光点亮乡村,https://www.douyin.com/video/7324700818245012770,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYOm7SYoLIawBfBSkCTehiCDQCnFrLAXfAbBKN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=li7X93PnLuGv8vQpMl5kRj3Q%2ByM%3D,36000,1542,13000,3613
农村的土大黄又名野菠菜，村里人采挖它的根块回去切片晒干。#dou出随州味 #植物科普,https://www.douyin.com/video/7318043591153077504,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogF6Ynwb9lDHUNAZB3ndnoeuEGfjgANIjs1QQA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=oKh8FdjMF6DsDulVJ1vSvvx7Iq0%3D,2827,154,1025,355
土大黄又名也菠菜，看看村里人是怎么处理的？##田间地头日常 #广东dou是好风光 #dou来广东百千万,https://www.douyin.com/video/7313190238355049762,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oA2KaluVCAgXE7RWAIeQfVanub0owfaDBBCz7Q~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=1ojEC2zEMb%2FBpPcbR2IxmqHJWbI%3D,46000,2742,14000,4335
土大黄又名野菠菜，金不换#乡村守护人,https://www.douyin.com/video/7215998857581268264,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/55106c506438488689d20dbdb64af1fa~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ZaXu4N0bzgLJkpYg3hsYcQXSsjM%3D,59000,1131,9493,3352
土大黄长得像菠菜，不知道你们见过没有？#三农 #农村生活 #乡村守护人,https://www.douyin.com/video/7187342237565570341,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4kpjAQKDKnSg2AhIK1ABUjeQCeP9vjDJwyabg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=%2BtGIDCmWPJ%2FBipYI3IZY2xUwflQ%3D,4013,236,430,175
土大黄你们了解它吗#土大黄 #野菠菜 #你的家乡有这种植物吗,https://www.douyin.com/video/7321662829222726939,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oQuxZAA3lCA5G5abCJfhgLzLAmA91dAIE3t5De~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Bt7f5Mymwz73%2Bk1WpqniYQVWLgM%3D,4624,868,2050,592
土大黄你们了解吗#土大黄 #野菠菜 #一日一植物,https://www.douyin.com/video/7234098063025917217,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/66c1c87994824776bf0e74f6a9d6e7ed_1685640969~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1WDNV0arLRwx5cCt5m6XdUyNM5I%3D,1597,107,505,247
“药将军”大黄的传说故事。 #国学文化 #中医 #中药 #大黄,https://www.douyin.com/video/7340199974149360937,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/33b33efeffba43eebb5dad10d16c5de3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=OAmpp2S4qucypvIGXO60r0q55AQ%3D,151,4,15,12
