Title,Title_URL,Image,likes,comment,collect,share
十个方子九个有它，古代还有人用它来敷面。#来抖音学农技 #甘草,https://www.douyin.com/video/7182451616421842211,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUneMDdBDIMryeTAINgbuGTbR1OUB9gwtjETAA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=jSd9bqs%2Bexv3Kh4%2FdyxPXD34IGs%3D,99000,1863,7529,3315
冰糖草又名野甘草，村里人喜欢把它晒干泡茶，你认识这种草吗？#dou来广东百千万 #植物科普,https://www.douyin.com/video/7318969781825195304,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMy6ESxAAzhoIgKaDNrBNfGPmANrgIcdeRyIEC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=pq94XaP9%2BQ35PgT36Kj%2Fc2d%2F2Xk%3D,2474,71,1118,453
这种可以炼糖的植物叫野甘草，又名冰糖草#农村生活 #我的乡村生活,https://www.douyin.com/video/7263709198314245376,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQIeBNyAv7B5C5bNzAEMQZfT1hEB9gtCh4AFAR~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=6Qwx%2BK4k1I4AWgMvRZTd78qMsw0%3D,1800,44,532,169
玉叶金花为什么又叫土甘草，你那里有这种植物吗？#2022年新农人计划 #农村生活 #植物科普 ,https://www.douyin.com/video/7130783008944033024,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/d08c5170fe7446ffa2a88fde33664158~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Qrn6LcbzfHMHO2L7BdG3Xj3q8uk%3D,14000,1066,2738,1047
甘草别名：田草根，是豆科甘草属的一种多年生草本#甘草 #中草药植物,https://www.douyin.com/video/7360392944156773642,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o8EAlM4BhErAZA7fHUIAAeDB1XnMHSA4RbDerG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ZRQMszKieOIkLKBoDv1OHiH4qgE%3D,20000,569,14000,3789
大名鼎鼎的甘草干姜汤你会煮吗？一起来看看吧，你学会了吗？#甘草干姜汤 #健康科普 #中药本草,https://www.douyin.com/video/7176562068580027705,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocxzCG8RINCuBJKAEAaY4AAIBefTdCNE9gazKh~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=tZ8oxKqSAsKkA8fQfXIgT1ykyII%3D,163,6,42,47
给我们提供过很多帮助的甘草，你知道它长什么样吗？#植物科普,https://www.douyin.com/video/7316870481649372435,https://p3-sign.douyinpic.com/tos-cn-i-dy/f8b5be5732904fdc865683459988472b~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=iFUAf1QrHLhTzRctKo5jybyMYeg%3D,83000,2177,11000,5305
今天来邂逅一位著名本草——甘草 #中草药 #纪录片 #中药 #涨知识 ,https://www.douyin.com/video/6982118239404936485,https://p3-sign.douyinpic.com/tos-cn-i-0813/2e9b608bcc85482dae911c84fc12d701~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=xP7nicfTmuOuepRdSHHI3S6Jmss%3D,1526,18,46,137
老人从沙漠中掀起数米长的根茎，却是中药中使用频率最高的药材 #非遗传承 #甘草 #纪录片解说 #中草药 ,https://www.douyin.com/video/7343908435785714971,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/b6cd58ff147e43cb887ebf4dfbc8b619~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Hcncm6KS1BUTzKOeMLe8iTvy4Pc%3D,14000,397,1385,473
甘草......#中草药 #日常,https://www.douyin.com/video/7327251915182542119,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogQIfltArB6Hcg95wBgAK8DABQncXrDfKb8CaN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=zSL6%2FcVizQxNX4y6DgCjUa6zx1w%3D,45,0,6,1
岗梅，称星树、土甘草、天星木、百解茶，冬青科，以根入药#中医药文化 #中草药 #植物,https://www.douyin.com/video/7286832792032398628,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/owA3AttRzAAyfAcAgghBAjE8kCNI8KigLEeSPA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=vW7yseVFl76D5s0SSqH9oflOB3I%3D,89,1,20,8
谜语中的中医药~甘草#中草药 #植物 #传承中医文化,https://www.douyin.com/video/7243669360168996134,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/4080a0c77a76415aa04c493495fed53b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=YirldYhD5RFrEbl4w%2BL5TeidtD8%3D,95,6,14,1
甘草......甜草根，皮草，泡水喝#中草药 #中医药文化进校园 #植物 ,https://www.douyin.com/video/7097418612675251471,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/2fb9d70c72464314a5df09e0b6bc7bcf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=MYk8d3E%2BdD2g5F%2BjBXoxWstk1NA%3D,191,5,36,33
甘草......不是草#中草药 #植物 ,https://www.douyin.com/video/7085485326378077480,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/dbffe00d08a8444abac9d3bf7e9fc1be~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=CAamkjrr71UQmWzim%2BT6YlA0vSI%3D,234,12,96,126
甘草：药食两用，生甘草能清热解毒，润肺止咳等；炙甘草能补脾益气等#中草药知识#中医药 @抖音小助手,https://www.douyin.com/video/6857079958657944847,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/b5c65ead46254e41aef283b23fcb1863_1596538347~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=YqYAHi%2Bj9LsS6XDNU%2FedAmokTcs%3D,32,4,11,6
店掌柜为了保证药物的质量，每次都会入口亲自尝试每一味药，然而时间一长，掌柜却是中了百药之毒，突然头昏脑胀、全身乏力，晕倒了过去#中医故事#动画解说#甘草,https://www.douyin.com/video/7279002954617654583,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oYlETuggNAEbrtAhAzey4qCXNhACfAAzChAIyF~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=fjCRoCEKxcEvMew58Gpmvs9pgi8%3D,1739,43,345,118
有多少人喜欢在喝水的时候泡点它？#传统文化 #文化新说 #中医药文化 #甘草,https://www.douyin.com/video/7168376266847046943,https://p3-sign.douyinpic.com/tos-cn-i-dy/f748e054b9d942bc89d158089c588132~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=96IfT7%2FK1U9fJ%2BjCIhCHhtU9%2FAE%3D,6113,247,1897,881
甘草的故事（下集）。如果您不喜欢这种分集的形式，请您在评论区告诉我，以后我就改了。#中医文化 #中医药故事 #传统文化 #文化新说 #健康科普 #甘草 ,https://www.douyin.com/video/7142515359235591455,https://p3-sign.douyinpic.com/tos-cn-i-dy/2943427e4b2f40cd9215d1246fd05812~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=%2FRlLcNj1rW0p3A1oNFv0nBiA1z4%3D,125,8,32,7
甘草，生活中特别常见的中药材。您知道它的作用吗？故事分两集，如果您不喜欢这种方式，请在评论区告诉我。#中医文化 #中医药文化 #传统文化 #文化新说#健康科普 #甘草 ,https://www.douyin.com/video/7142514323837947167,https://p3-sign.douyinpic.com/tos-cn-i-dy/680eedd9fedc40d5adb59d726072ab50~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=a3qvLSnqD%2BnF9HPTJ5%2BZi7v9xtc%3D,418,0,117,25
三年必涨的十个品种#中药材市场 #金银花 #中药材 #板蓝根 #甘草,https://www.douyin.com/video/7314264351647501603,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0vlg8pnGA8DD9PWgIekgfCn6bpj7MXDAABcCQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1UJH7e5pHbExj6hurcOzl%2FvGS90%3D,325,9,280,80
《伤寒论》中常用的中药材（上） 你还知道哪些呢？#伤寒论 #附子 #甘草 #大枣 #中药材,https://www.douyin.com/video/7310503067974143272,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAZA8flYBH9chPnAfBA1CEIz0gaCd60Bcztn9N~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=3%2FiteZArwDF6D5j2HMAwaVc7w34%3D,1022,22,827,152
那些甜甜的中药材（下） 你肯定都吃过#大枣 #罗汉果 #甘草 #中药 #中药材知识科普,https://www.douyin.com/video/7309769501229321506,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8XAocCj8ei6ABCZxlcm9ig2uDIrbAEnQjCVeV~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=00i3bcePlVTs9fBRuZQyfDtTsCc%3D,118,4,76,21
十九种野保中药材，有你认识的吗？#科普中药材养生知识 #野生植物 #霍山石斛 #甘草 #中药材,https://www.douyin.com/video/7297584001953336610,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQbRY1AKjlLfIgDAdfV8tAjnBhNoRQ9MmwCAFA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=rEydClX6hyM0hUle3JiVVSoHsOU%3D,296,16,255,57
