Title,Title_URL,Image,likes,comment,collect,share,下载地址
苍耳子全株有微毒，采摘的时候等到成熟后再摘，留作备用！#植物科普 #一日一植物 #三农 #小妙招 #苍耳子,https://www.douyin.com/video/7276391324041923903,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYicOEDzkB7LGy7fhxKXwAEaAAP6tfMgx9I23n~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=a4%2Fq2SOERQ%2B0YToBcyamjzkpEu4%3D,226,39,93,86,https://v5-dy-o-abtest.zjcdn.com/b6c36a22be248e129c6bd1b18f90387b/66846a61/video/tos/cn/tos-cn-ve-15c001-alinc2/oQLPY6chXnIGfN7kAaQE97xfMt3KE5ADAziBg7/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2636&bt=2636&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2EeamqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=ZTU7OWRpNjplOjM7PDg6PEBpMzl5ZmU6Zm1obTMzNGkzM0A0YTZfNmIxNS4xMTIvMS0uYSNlajZhcjRvcHFgLS1kLTBzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100z_100o_100w_100B_100x&dy_q=1719946776&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=202407030259369FCBCAE60BF2DC53838B&req_cdn_type=&__vid=7276391324041923903
#苍耳子#故事#中药材#科普一下 #药用植物 ,https://www.douyin.com/video/7112034816928894221,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/b9abc47b4872414e97d41e697e70ad78_1655899657~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=5AxAY7mOl8We%2B47%2Fu1ZU%2BmVrXY8%3D,1947,46,455,275,https://v5-hl-tx-ov.douyinvod.com/79eac3851dcc5d3617920c69a0102604/66846a90/video/tos/cn/tos-cn-ve-0015c800/54e290c81191449f85308110fb5bba32/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=293&bt=293&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2EecmqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=ZDg3ZmQ6NmdpNGk2aDZkO0BpamRsZmg6ZmVqZDMzNGkzM0AwMWMxYzAxNWExLjUuNjU2YSMxNmtycjRfX21gLS1kLS9zcw%3D%3D&btag=c0000e00028000&cquery=100w_100B_100x_102u_100o&dy_q=1719946787&l=20240703025947EFF674F6FF68A848D0F9&__vid=7112034816928894221
苍耳子是菊科苍耳属一年生草本植物，其果实有很高的应用价值，你知道它的用法吗？#苍耳子,https://www.douyin.com/video/7368773457464528166,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oomXCsD4tBfEyAe9AAkI0HjC6QAEgbbJjPJnDs~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=xr9jQW%2FCsEYwsHm4wGqs44W%2FIP4%3D,174,7,58,15,https://v5-dy-o-abtest.zjcdn.com/2afee6006bb66e684531c7b53f52f0a6/66846a76/video/tos/cn/tos-cn-ve-15c001-alinc2/o4nxGPbPgJfym8KAbQBBAtCYDQIATQog9JCWe2/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1041&bt=1041&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EermqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=Mzs3MzQ3Z2hoPDQ4NGZnZ0BpM3k8OTM6ZnVsczMzNGkzM0A2YjJhM2JfXzMxXjAtNGJjYSNqMWRicjRfNC5gLS1kLS9zcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100o_100w_100B_100x_100z&dy_q=1719946798&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240703025957E5E6FEF44CDAEA48A1B3&req_cdn_type=&__vid=7368773457464528166
老一辈人的智慧，很多人都不知道。今天教大家如何炮制苍耳子油。#制作过程 #老祖宗的智慧 #传统手艺,https://www.douyin.com/video/7301974149629578507,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUeBlfAICbQtZIqBuyX3ATDVBNEAIJP2zu0Yhg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=yBYujZHbfvkjl0wo8%2B9lgFHKG0s%3D,753,50,191,77,https://v5-hl-tx-ov.douyinvod.com/2d40f1c4a479b32b3ca2c2f78fca0df9/66846a87/video/tos/cn/tos-cn-ve-15/ogBbImByAgMEbBeTIhxWtQYAVQuzqfIluDP12A/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1420&bt=1420&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeZmqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=Nzs6Nzg8Zzk0NGU8ZjkzNkBpanJycDs6Zjt3bzMzNGkzM0BjMDFiL2NfXi8xNC1hYjJeYSM2cnItcjRfMl5gLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100z_100o_100w_100B_100x&dy_q=1719946808&feature_id=d65f473b4463b6315c21eb3d7c571218&l=2024070303000804C3A2CD43BB5B3517D7&__vid=7301974149629578507
它就是大名鼎鼎的苍耳，而它结的带刺的种子就是苍耳子，但是它全株有毒千万不要拿来泡水喝！#你的家乡有这种植物吗 #我的乡村生活 #植物科普,https://www.douyin.com/video/7222572177206299939,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMrk3AUM7NKxYDgkxO8bABgeIdKsnIQy9enSAK~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=RqXNAtgNdJ%2B2uyc9qEBmKqWYuMI%3D,166,11,31,17,https://v5-hl-tx-ov.douyinvod.com/71a5620f0aebedb424e89c35afe89e5c/66846a9c/video/tos/cn/tos-cn-ve-15c001-alinc2/o43QNAzHCvwAFfe2ysClzQNAgIK7BqWEIJEdhF/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1168&bt=1168&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeOkqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=ODs3PDw8O2g2OWU3NGVpaEBpMzVyZDc6Zmx1ajMzNGkzM0AxLl9fMWIwX2MxM2AxNmA2YSMuXmpqcjRnZ3FgLS1kLWFzcw%3D%3D&btag=c0000e00020000&cquery=100o_100w_100B_100x_100z&dy_q=1719946819&feature_id=22eebe935d739141bc75f57beca62d29&l=20240703030019C24C818AC4F095540878&__vid=7222572177206299939
教大家如何熬制传统的苍耳子油，你知道它的价值吗？评论区说说看#植物科普 #苍耳子油 #一日一植物,https://www.douyin.com/video/7182868255143464248,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/078df73ea1fd4ce7a961620986db25e9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=cCuia%2Bx12DOANO1G8K%2FixkqOE4c%3D,418,33,97,48,https://v5-dy-o-abtest.zjcdn.com/e50837318a0eeb4c837397dd44ed0ffc/66846a94/video/tos/cn/tos-cn-ve-15/ooteIAZoQGGS6GxuHLB8UDMrgQfiAxA115zCqh/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1436&bt=1436&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee_kqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NDNoNDQ5ZDY3ZTllMzM4OEBpMzptZjk6ZjZkaDMzNGkzM0AuMjQ2LzMzX2IxYGIxMmFeYSM1ZjZocjRfbWtgLS1kLS9zcw%3D%3D&btag=80000e00018000&cc=46&cquery=100o_100w_100B_100x_100z&dy_q=1719946830&feature_id=eb4c918b9cc575f3dbb154e6c6a43e47&l=202407030300290BDBBF19237AA3358FD2&req_cdn_type=&__vid=7182868255143464248
苍耳子油大家都知道，但是熬制苍耳子油的苍耳子你知道怎么选吗？#我的乡村生活 #大自然的馈赠 #植物科普 #苍耳子油 #新农村计划2022,https://www.douyin.com/video/7172851297455017219,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/545a2117a2314cf8bbffbe00db126eec~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=6zIjfqsFPuSyOKtDDgySyKnMZ%2FQ%3D,259,24,54,26,https://v5-dy-o-abtest.zjcdn.com/a41ca5f17ac09c4549009b78332851ba/66846a89/video/tos/cn/tos-cn-ve-15/oUFxdxryFAxAQe7QgIf9xFDzhN72TmYhAABmLU/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2512&bt=2512&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2EezkqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=NjgzaDk1NWVlOjM6aThoPEBpanA8eDM6ZmpraDMzNGkzM0BhXy9iNGNeXzMxMC4vNS01YSNyNHIvcjRnXzJgLS1kLTBzcw%3D%3D&btag=c0000e00010000&cc=46&cquery=100z_100o_100w_100B_100x&dy_q=1719946839&l=20240703030039472740E966D63353DE91&req_cdn_type=&__vid=7172851297455017219
农村大名鼎鼎的苍耳子，你认识吗？大家叫它什么名字？#你的家乡有这种植物吗 #植物科普 #大自然的馈赠#识百草  #农村生活,https://www.douyin.com/video/7252221636957490492,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/54ff4d7a9c2f4e0b8f096f68764b3e86~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=V%2FVOyAz2zNwbS9HB0nCc%2FIa0cZs%3D,596,46,191,88,https://v5-hl-tx-ov.douyinvod.com/317ddd21c5e61dbe9447b0dfd988d8e3/66846a97/video/tos/cn/tos-cn-ve-15c001-alinc2/o8eIjbn0IeAfEiCSLQDGMEBDBGhkb7dlJcuaAa/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1164&bt=1164&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeVkqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=Mzo1OGRkNGQzNDozZDdlPEBpanRuOjY6ZndqbDMzNGkzM0BjXjMxL2IvXmExLi0tLjY0YSMyZDBjcjQwc2ZgLS1kLTBzcw%3D%3D&btag=80000e00010000&cquery=100w_100B_100H_100K_100o&dy_q=1719946849&feature_id=e585bce62f14c124a0ac1450c3a95af2&l=2024070303004912026F5E7BC9713571E1&__vid=7252221636957490492
小时候恶作剧你有没有用过它，它竟然还是表白神器？ #大自然的馈赠 #植物科普 #新农人计划2023 #苍耳子 #嵩医,https://www.douyin.com/video/7298185049378213156,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1062670a59e441d5805bac72849e8a15~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=bCxRf%2F0wxfUPz223UXNEZn5Anwk%3D,2195,664,317,254,https://v5-hl-tx-ov.douyinvod.com/6dbade89a1607a50e6a3cf09bdf47e76/66846ab1/video/tos/cn/tos-cn-ve-15c001-alinc2/oQeBQCIJqnAUv0Jz0F8AA9lgaASgKB8SIfbZQD/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1073&bt=1073&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeKkqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=OTczOmk8NDc0NTY6OjY2ZUBpMzh4OjM6ZnQ4bzMzNGkzM0BhL2MwYGJhNTQxLTMwNV4wYSMvZjYucjRnLTFgLS1kLS9zcw%3D%3D&btag=c0000e00018000&cquery=100w_100B_100H_100K_100o&dy_q=1719946860&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703030100892EC195F321A448BCDB&__vid=7298185049378213156
你们小时候玩过吗？#苍耳子 #三农 #大自然的馈赠 #新农人计划#童年 #嵩医,https://www.douyin.com/video/7238878674945051960,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0AAEZK1boyItBVBBlztFEE7NOqehTfgTDzAiN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=rxyWIpmcTtH6EnJZxMdAYA2jxfk%3D,875,127,82,18,https://v5-hl-tx-ov.douyinvod.com/72a02e2470177be54108b7f32a87f234/66846aa6/video/tos/cn/tos-cn-ve-15c001-alinc2/ogCTKShEIAgyEVOtNqfN1mhFijTzjAAozBteQB/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1514&bt=1514&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EewkqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=OGc2Mzc5OWc3PDNmaDY4Z0BpM2RmNjQ6ZjV0azMzNGkzM0BjMC0tNDUzNS8xYjE0XmBgYSNlXmJocjRfZ25gLS1kLWFzcw%3D%3D&btag=c0000e00008000&cquery=100w_100B_100H_100K_100o&dy_q=1719946874&feature_id=22eebe935d739141bc75f57beca62d29&l=202407030301142DDEC86024394449F2DC&__vid=7238878674945051960
