Title,Title_URL,Image,likes,comment,collect,share,下载网址
瓜子菜的学名叫马齿苋，村里人采摘回来晒干。你认识这种植物吗？#植物科普 #三农 #dou来广东百千万,https://www.douyin.com/video/7374093898530049314,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEdIYERAPwCgEJ1HAZnRmPuQ9DWKiilUI2B2i~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Oqos8tiEBZiEJnwtBjIKK04bMcM%3D,9238,612,2258,887,https://v5-hl-tx-ov.douyinvod.com/e4ec0dca603634a022ac8b3add01ff89/667dac1a/video/tos/cn/tos-cn-ve-15/oIiunPQPOgKiWBIAJDEhAQomFZHEMYl2II169/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1342&bt=1342&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EehZ3JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZDM4OGczZmdkOTo4OTllM0BpMzxxNG85cjkzczMzNGkzM0A0MDY0LzUtNWAxMzUxLy40YSMvYHNrMmQ0aV9gLS1kLS9zcw%3D%3D&btag=c0000e00018000&cquery=100x_100z_100o_100w_100B&dy_q=1719504859&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=202406280014186BB3D012BB3CCB48C89D&__vid=7374093898530049314
这种植物叫马齿苋，常常生长在菜地路旁，你见过它吗？#dou来广东百千万 #三农 #植物科普,https://www.douyin.com/video/7365914780323843368,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okInY7keDpDPgJ8AYD0Atffb4j12EeD4xQCVRq~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=WbtIS3XFYBlPmlyI8rL4c%2BzON50%3D,78000,22000,15000,25000,https://v5-hl-tx-ov.douyinvod.com/bfe617014474e15f6f6d62f57e01a5d3/667dac29/video/tos/cn/tos-cn-ve-15c001-alinc2/o0DtBegAIvA8YDfTZl2014bRejnBCE8RqAfY4y/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3741&bt=3741&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee.Z3JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=NDwzZDxkNzw5OzloZzc5Z0BpM2dnNGc6ZnlpcjMzNGkzM0AvNjFiMi81XzQxMDYwX2ItYSMwaTBjcjRnbHBgLS1kLS9zcw%3D%3D&btag=c0000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719504872&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240628001432593A777AC1CC8D4797DE&__vid=7365914780323843368
这是有五行草之称的马齿苋，看看村里人是怎么处理的。#我的乡村生活,https://www.douyin.com/video/7308020818636852495,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oglVNUWwkB4I0Ae9OAsQBI8IuaABg9bLf4nnDG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Iia%2FsiI9xQ7F5ohhBcgYjSyQRuY%3D,4406,184,1358,484,https://v5-dy-o-abtest.zjcdn.com/37562b1124b9ebe528adf388827e5154/667dac30/video/tos/cn/tos-cn-ve-15/oYvA2cyErAczYBgTgSN5aNh3fAAehQtHBD2YJI/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3120&bt=3120&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EePZ3JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=OTQ2NzxoOmk8NmYzNjhnOUBpanY2Mzo6ZjxubzMzNGkzM0BiYS4vLzQ2NmExMi5iNS0zYSMuYDFgcjQwcGlgLS1kLWFzcw%3D%3D&btag=c0000e00010000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719504887&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=202406280014460FC0494A90243040D07C&req_cdn_type=&__vid=7308020818636852495
马齿苋又名长寿菜，村里老一辈的人争着采它回家，做成菜干保存。#农村生活 #我的乡村生活,https://www.douyin.com/video/7290585778705452322,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oE0lNEQIzCD6qBX0ghtTAJBu6fFrvyAAUMJeIt~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=3ELxeL2CXSIIbDpMB8h45omtofU%3D,1929,65,498,244,https://v5-dy-o-abtest.zjcdn.com/fb676d75b297e6fd988a1f6b6fa8dc7b/667dac3f/video/tos/cn/tos-cn-ve-15c001-alinc2/oUQDhFWlg6MeAICVyJEkr7fzA6AtNqtcB0QJz7/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2770&bt=2770&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeeI.JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=ODVlOWY3aGY6ZGU2NjU6OkBpam5ldGY6ZjtvbjMzNGkzM0AzXl8tNDA2Xy8xYDVgNDNfYSMxaWwvcjRfbmpgLS1kLWFzcw%3D%3D&btag=c0000e00010000&cc=46&cquery=100o_100w_100B_100x_100z&dy_q=1719504898&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240628001458E39515AC1A232146149A&req_cdn_type=&__vid=7290585778705452322
土人参，南方很常见，开花真美！马齿苋科土人参属植物。,https://www.douyin.com/video/7282792552938458368,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okpq4A2NaIAJYW7QB2AihE4HfjezeKjpPHB1C3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=xeKOCMtC3XN7CHF%2Bds1VX7DiBDY%3D,1762,59,627,277,https://v5-dy-o-abtest.zjcdn.com/5342bad6f7e559df681e22ca5baa6bf8/667daf41/video/tos/cn/tos-cn-ve-15c001-alinc2/osdAQgfimIzDdHQAabzgtRhFyREPeSsANClNrB/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=741&bt=741&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeeR.JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=OTU8NTZlOzhkM2U3NTU8N0Bpajlrbjo6Zmh0bjMzNGkzM0A1NC4xYGEvNmExYGNjYzVgYSNhLmEvcjRvbjVgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100x_100z_100o_100w_100B&dy_q=1719505666&feature_id=d65f473b4463b6315c21eb3d7c571218&l=2024062800274510B60CD46954C941C761&req_cdn_type=&__vid=7282792552938458368
#我的乡村生活 马齿苋#农村美食,https://www.douyin.com/video/7276113474369916160,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owR5U7lhTN9ABImEMBfkA8nzgsNW0A1rNPfAnG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Z7iJtRap4Zr%2BS%2BugY%2FmG%2BCZwPZE%3D,5203,224,1486,737,https://v5-hl-tx-ov.douyinvod.com/049af39ed82fef2f32714c83840c9431/667daf1b/video/tos/cn/tos-cn-ve-15c001-alinc2/oA2OHunoQeAKIJC8YgDa2fBUBNfEb7BzJa7HAj/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2686&bt=2686&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee3H.JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=ZzxmNzlnaWg2aGlpNTplZkBpM2s1bTk6ZmR5bTMzNGkzM0BiYjNeMDM1XjIxYjMvL2M0YSNqYjVxcjQwMnBgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100B_100x_100z_100o_100w&dy_q=1719505628&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240628002708C7EAAC7480C98B4BE022&__vid=7276113474369916160
马齿苋又名长寿菜，五行草，遇到就挖点回家。#农村生活,https://www.douyin.com/video/7269427716850552079,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYgA6bjiogq9nKFQKeWDA1BNMA48Ics0kNH7Gf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=zrYcqpwJZdzyOeBn0oFCcaQ%2F5HM%3D,1202,33,250,123,https://v5-dy-o-abtest.zjcdn.com/a9783c35c310993225eed75b8ec7c73a/667daf34/video/tos/cn/tos-cn-ve-15c001-alinc2/oUAQifU6jcu4zMqFet9BRvAFgNhDAXBEGycPI9/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1289&bt=1289&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee5H.JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=NmRlZmhkPGRlOTU2Ojk5OkBpajl3aTg6Znc2bTMzNGkzM0A2YF8uLjY2NjIxLzRhXy02YSNyNTZrcjRfMGVgLS1kLWFzcw%3D%3D&btag=80000e00018000&cc=46&cquery=100x_100z_100o_100w_100B&dy_q=1719505653&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240628002733AF8ACBA04BC89B2E067F&req_cdn_type=&__vid=7269427716850552079
这种路边随处可见的野菜，原来是大名鼎鼎的马齿苋。#我的乡村生活,https://www.douyin.com/video/7243497218911653155,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/b9ca18fca76c4a79aff15809432a97cc~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=HZZygonoAcMZ%2Fz9riCo%2FOGigZEA%3D,6659,265,1627,522,https://v5-hl-tx-ov.douyinvod.com/d4ac8366598387614198a7a2b0cf4cc1/667daf4c/video/tos/cn/tos-cn-ve-15c001-alinc2/okUkV3KyLAjWQ9xVgI8fhENnCbTBexhDAABWGE/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2966&bt=2966&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeYR.JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=aTpoaDs1aGc4M2dmZjc1NUBpajNsazg6ZjM0bDMzNGkzM0BiYWIvLWAxNV4xY14uYl41YSNzcjRmcjRnMjBgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719505677&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240628002757D1E631D3FDBD734C28B2&__vid=7243497218911653155
马齿苋又名瓜子菜，长寿菜，你的家乡叫它什么名字呢？#我的乡村生活 #乡村守护人,https://www.douyin.com/video/7222931780918054159,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/71156e5123dd4e81be4783fd7d35275a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=V9cmKcWMKvV8FqWJxhlFQ9rn7yM%3D,1328,94,244,94,https://v5-hl-tx-ov.douyinvod.com/fed28352000d62f400cadc6ee766c9cc/667daf5d/video/tos/cn/tos-cn-ve-15c001-alinc2/oo4WznHgge8QAgBbAgE6ENkbBh9CPAeuDRMBAd/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3632&bt=3632&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EehR.JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=NTczaGY0aTUzNDRlOTk5NUBpM2hmcjQ6ZmpqajMzNGkzM0AuLzJiMDFjX2IxLV4uNS0vYSMxLjUvcjRfMHJgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100B_100x_100z_100o_100w&dy_q=1719505691&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=202406280028111DDE487DDE70C7425051&__vid=7222931780918054159
马齿苋又名五行草#西瓜知识,https://www.douyin.com/video/7141767913643576612,https://p3-pc-sign.douyinpic.com/tos-cn-p-0000/b1839c0e5d4d407abb6b1aa72e926873~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Uk71cUi4bFdNz4ti9KeqzlqzCi8%3D,47000,1045,6084,2816,https://v5-dy-o-abtest.zjcdn.com/6f263d9b9242d802061c8c8f270e240c/667daf6c/video/tos/cn/tos-cn-ve-15c001-alinc2/93c499fb8ea54a31abb2afc8089a8038/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2672&bt=2672&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EefR.JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=O2llOjhoOTNmOGU8MzU1ZkBpanJqaTs6ZjlkZjMzNGkzM0BgYzJhLi9fXjUxXzAuYzBgYSNxbV8xcjRnZGJgLS1kLS9zcw%3D%3D&btag=c0000e00018000&cc=46&cquery=101m_100o_100w_100B_101l&dy_q=1719505706&l=20240628002826052DD0A93DA62240B890&req_cdn_type=&__vid=7141767913643576612
