Title,Title_URL,Image,likes,comment,collect,share
做一个有淡淡药香的枕头，历时半个月。所用原料：黄荆籽两斤，侧柏叶六两，艾草叶三两，黄荆叶一两。#中草药 #新农人计划2023 #中药材 #好东西一起分享给大家 @抖音小助手,https://www.douyin.com/video/7288673514687565110,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/e479c242d28241adb4dbefddd8aba384~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2BivvtmQgwwKCXRD7N4xZkOxPGsE%3D,2959,375,1999,659
艾草分辨视频第三条，艾草的详细特征都有哪些。#中草药 #三农 #新农人 #植物科普 #新农人计划2023,https://www.douyin.com/video/7243773628142062904,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/a2a90c6d4ba34e5482389df6d86b8234~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=RgHrqL7S9F7LQICfPPiw6DG44Co%3D,828,87,428,158
艾草分辨视频第二条，相对更详细一些。#中草药 #三农 #植物科普 #新农人 #新农人计划2023,https://www.douyin.com/video/7243648620933696823,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/05589eaa4ee04574a889e47742fd0f33~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=iUyC1ebDh97CMLoNZ66Uuw%2BGCcg%3D,572,49,183,81
艾草分辨视频第一条，介绍一个大体的思路，后续细分。#中草药 #三农 #新农人 #植物科普 #新农人计划2023,https://www.douyin.com/video/7243080140815666484,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/8d3b7ec97681464fb4276c9e07be5e7b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=9QAH%2FUNcP39j4Enrkm9ZKB9rhfI%3D,9403,817,3312,1077
艾草，既熟悉又难分辨，你真的认识它吗？#新农人计划2023 #中草药 #三农 #支持三农扶持三农发展,https://www.douyin.com/video/7227853481497955642,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i5ccf935810f043c58be712675d5de58f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=kaZM5wTI6YqbkirSK6Mlv3TLCxo%3D,73,13,16,10
很多人傻傻分不清楚的四种蒿类，个个都是好药材，一个视频带你精准识别水蒿、青蒿、白蒿、艾蒿的区别。#艾草 #大自然的馈赠 #三农 #新农人计划2023 #中医文化 #中医 #中草药,https://www.douyin.com/video/7223027706437356837,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i22b42771325642d2840a89f7306f76b8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=bL93Z8XMF6vrrMMeqMoZPN6JFvw%3D,1971,222,1315,621
村民收采艾草时也会挖点艾根回来晒干。#植物科普 #新农人2024 #dou来广东百千万,https://www.douyin.com/video/7353290404772465920,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQDEIzAYtAB5FUzLAraMENIgcfeZhBqQFNhEAE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=tFeIkfdA8MaSzTyAm5zbWTn4rQ0%3D,26000,2299,5816,2310
艾草你了解吗？村里老一辈的人遇见都会摘一点回来。#新农人2024  #植物科普 #三农,https://www.douyin.com/video/7333993124131294498,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owzAN4leAyfDkc0X2J0ECpOoADQ6IGeHeLVHbn~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=F3mIz%2Br%2Bgdi%2ByeaYhLu1AuM9WB4%3D,1961,143,654,486
艾根你认识吗？它就是艾草的根部。村里人常常挖它回来晒干。#dou来广东百千万 #新农人2024 #植物科普,https://www.douyin.com/video/7330251277848333603,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocNzqR6JhC2EINfgymcAWSSNNRCeBkA36EAp9W~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=SKCK92DvgfJaXqxZvc5huwBjopM%3D,39000,1396,13000,4566
村民把艾草采摘回去晒干，你了解艾草吗？#新农人2024#微光点亮乡村,https://www.douyin.com/video/7325816477884501288,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIIBV8L2QCR1BfnIQbfJkaEADHDrmVkfOl2A7q~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=GiNkisyy8E9L0eoBdors3j8QU3E%3D,1051,57,252,144
艾草你认识吗，看看村里人的处理方法。#美好生活派  @奇瑞汽金#植物科普,https://www.douyin.com/video/7319517267237113123,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYyYINQYBnAjJRqrfCeYA9lGOA1gZBRlQRbXUD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=XPE3R0RiPYh9T9T%2F1XOBobmTZFY%3D,2092,107,681,202
艾根是艾草的根部，看看村里人是怎样处理的。#我的乡村生活,https://www.douyin.com/video/7302829638818991360,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUaVASYheNPtd5lp3gEG3IQrEAPyvKzxhuOAfB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=AHJISg66j9jrWiCmhvnvmwi27BI%3D,4349,58,1376,496
艾草是个宝，你了解它吗？#我的乡村生活,https://www.douyin.com/video/7254590702171016463,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oYAESelFAesfDfuH8eAF0IQnaAVoaAuRM9bF92~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=RrU8j6BRpApYR2Nacm1aY6J5xj4%3D,1888,57,371,123
艾草有独特的挥发性香油，可以驱赶蚊蝇虫蚊，静化空气。#农村生活,https://www.douyin.com/video/7251215786163981602,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oIfJQAPAIBEHAFKA2BAAQ0A4cvC6veHylmT7af~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=WsRYtlhzF%2Few8eZjDVEbkxBf6UA%3D,9925,153,1910,823
艾草，古人有清明节插柳，端午插艾的习俗#农村生活 #我的乡村生活,https://www.douyin.com/video/7173316865358417204,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/d52293e9c14046de8ddbed1cd504b4a6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ntzX%2F%2FqxD9pgt7vV5cJlwo%2Ff%2FeI%3D,1760,156,311,244
艾草与艾蒿#西瓜知识,https://www.douyin.com/video/7136147528180878605,https://p3-pc-sign.douyinpic.com/tos-cn-p-0000/c9129aa2ca364627a84f0ccbd648695c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=YATNXWEEZZ1fPct8JY2EPNDkASg%3D,1455,82,361,297
我所了解的，湖南和广东做艾草粑粑的区别,https://www.douyin.com/video/7354883320196517155,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQBl9RnyEAcbtfWpRzK8D4pDECReIAmAAQgA3o~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=zZwjHE2FYdzRoFn%2FalB5ESHNCZ8%3D,842,35,63,32
#艾上河南 传承艾草文化，弘扬中医精粹！#河南中医文化有多牛,https://www.douyin.com/video/6961382194229087501,https://p3-sign.douyinpic.com/tos-cn-i-0813/77e385b06f7e4f79968be28900e4e0c6~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=iTuzExhURMx1pDp%2BsYWHouHq7Ig%3D,1665,36,82,266
