Title,Title_URL,Image,likes,comment,collect,share
凤凰树也叫红花楹，跟蓝花楹比起来不相上下吧？#凤凰花 #植物科普 #识本草,https://www.douyin.com/video/7361735418582175003,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owFAPBhR2yzCeQgjFgjsfFqANINC8zIAIKEDcC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=QoIMU4YG%2F1jZI3eMHANa1SsmRCU%3D,3291,630,337,482
藏红花没那么神秘，自己在家也可以种植。#藏红花 #藏红花种植 #中草药 ,https://www.douyin.com/video/7026700333451660578,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/834e3ac22a744940b070f2184ad4c208~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=0N8Qo%2B7Bhk1U0E2KRGTE%2F20M2kc%3D,1506,110,191,350
这种水晶小萝卜其实是红花酢浆草的根部，你小时候挖过吗？#新农人2024 #农村生活,https://www.douyin.com/video/7345131809274940672,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUQXf9BlH7eTZ8HC8kunRgOANTAbA9qchgXsDy~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=PZJp%2FwE%2BwfHc5HImWowPRbWr3hg%3D,6911,657,1594,2355
益母草分为红花益母草和白花益母草 ，村里老一辈的人遇到就会采摘点回来晒干。#农村生活 #新农人2024,https://www.douyin.com/video/7344387710871735586,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oosJ2yE1NejYfiZR4vqeAAoZKlQHgjJyfAAecA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=1eakton25TN05RMZMSWIiqGD%2BkQ%3D,8635,1077,3162,2023
这种植物你见过吗？它就是红花酢浆草。#新农人计划2024#微光点亮乡村,https://www.douyin.com/video/7323983236231630080,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/o8n64DQEPQCp0eOA8Nib14fA8Lo0B9gyIlIAAA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=A07mr58Szo3wc4435GmGMCIckRI%3D,19000,4637,5645,1935
红花酢浆草你认识吗？在农村的屋旁经常都可以见到它的身影。#广东dou是好风光,https://www.douyin.com/video/7314084798664903988,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oc29XgDeL5OOCANaAnmN2zgInbAdeAD18BDlNQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=BbY%2BUxMJ5KsZBQSLjkCsAEySe3M%3D,1159,58,402,122
红花酢浆草#乡村守护人,https://www.douyin.com/video/7220134205592751400,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/a0785d38cb654653afd03eb14c06aa82~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=yYzzBu33LNPYS28DCnXGVkkhnKQ%3D,1716,103,336,261
小时候挖的水晶小萝卜，它是红花酢浆草的根部#乡村守护人 #三农,https://www.douyin.com/video/7217849110374747426,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/1a267c22ab214b5f9bb1528996fffc0a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=7x4jHLxz7xnDU83ZlKeXw94eEGE%3D,3783,131,1013,627
原来红花石蒜是彼岸花，而黄花石蒜是忽地笑！#新农人计划2023,https://www.douyin.com/video/7276602798400081186,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okn3p9A9bAIzXeH2In7JM3C2XDBGeBSgm1SQfX~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=k9KTe2Jla%2F%2FreQtIOjlwNcGmFwc%3D,35000,5479,5938,3090
有人说红花倒水莲和藤婆茶长得像，你们觉得相似吗？#新农人计划2023,https://www.douyin.com/video/7258807690502081844,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooDKUB9AIAAbzQe8GklgmSmKDBebIdvnHI86AN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=ryZtsQgDQbiuwrAtwlwgcHa1czA%3D,2061,156,315,152
