Title,Title_URL,Image,likes,comment,collect,share
枸杞也有喝腻的时候，不行就换个口味吧。#女贞子 #健康养生 #抖音自然,https://www.douyin.com/video/7201660347604831488,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUIiQCB173K4AjnH5eP2bVh3weVBmDpAahtfCz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=wVlNkJ3mQsNBb8ht04BpfNN7HGw%3D,3326,241,883,659
人到中年不得已，保温杯里泡枸杞，虽然它很好种植，但能入药的只有人家宁夏产的枸杞。#枸杞 #宁夏枸杞 #优质农产品 ,https://www.douyin.com/video/7133952302045482255,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/23447b1ca25c4436b7b71a1c41de92bc~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=rnUBE8fatXpxkfiki8ZCNnM4Z%2Bk%3D,1059,67,125,123
枸杞人人都知道，它的根皮是良药地骨皮，时值深秋，拍摄一下地骨皮的获取过程。#中药材 #新农人计划2023 #中药材 #好东西一起分享给大家 #抖音新农人 @抖音小助手,https://www.douyin.com/video/7299443598997605658,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/24bd6f0b307d41baafec89eab106cf97~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=QVMOlGInVbwB9FhyPTRyceAH70s%3D,430,88,82,47
有的朋友尝了我们家一些产品，对我很信任，希望我找一款好的枸杞，现在找到了#新农人计划2023,https://www.douyin.com/video/7247662343558040832,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8EklEnpIABDBeZzbAAgQln8sNUWTSe3oUp9D3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=dQQGI0i9Fic%2BlQQdTuwsFZgBkUw%3D,326,9,14,5
非遗古法枸杞，枸杞之父胡忠庆让“中医名片”永不褪色#健康 #养生 #中医,https://www.douyin.com/video/7214011720111639868,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/idb64d89619514d9dbccae20a14b0a6ba~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=PhKARuPMoKkeS3iM7uHceJgUycc%3D,20000,260,2191,1003
中药故事——枸杞。#国学文化 #中医药文化,https://www.douyin.com/video/7244108772233301304,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/b4e73f2b73a148c490c1ab55cad39f40~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=7%2F7naa2CDuLX3u98ql78ySkE3AE%3D,123,4,21,16
枸杞大家都很熟悉，但是它的根也就是地骨皮您知道多少？可以分享在评论区#三农 #识百草 #植物科普 #地骨皮 #枸杞 @抖音小助手,https://www.douyin.com/video/7307192664644947219,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ooI9yDlAFJttWF2onAExeaeBkAACAgbQDXAAFI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=26FpoLb773GBayBJ28%2Buv0S%2FsDA%3D,6135,247,4642,1872
野菊花做出来菊花茶特别好，并且有有一定的应用价值，趁着这个时节赶紧做一些吧！#植物科普 #三农 #菊花 #野菊花 #菊花枸杞茶 @抖音小助手,https://www.douyin.com/video/7294950125120654611,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/owgdE1e7AKDOFWh8AAnAI4PI9Rlg3CAAANDebp~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=VHFE4h6GWmsNChnxL%2BPAJ1MGROc%3D,711,59,269,195
作为商品的枸杞子您应该不陌生，但是整株植物草本您见过吗？ #小妙招 #植物科普 #枸杞 #上热门 #新农人计划,https://www.douyin.com/video/7281960369407413567,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oogMrhrSlAtiuPfFAzB6IVSDfEdEDIt9GAGVOL~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ANXH7ZFWnv7DwOvQrpdXDpNF%2FKY%3D,609,60,247,155
萝藦比枸杞还厉害？！男人的加油站？！萝藦的根更是好东西！关注我持续更新，我们共同学习#一日一植物 #植物科普 #小妙招 #萝藦 @抖音小助手,https://www.douyin.com/video/7277881702846893323,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okAAelDBB2nDAr892HQGIKADlOgbgJeAocAIun~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=sdvXhIRNaMkZQPM1Z%2ByvpWxHhsk%3D,12000,2680,6709,3238
人到中年不得已，保温杯里泡枸杞#植物科普 #你的家乡有这种植物吗 #枸杞,https://www.douyin.com/video/7290856758266973480,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogbu8zglNAE54mIbCzeyX5BqUhADfAgpiyPIlM~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Hk0U9GBpHdS1ZSHWAxJsHSgzcts%3D,178,7,39,15
