Title,Title_URL,Image,likes,comment,collect,share,下载地址
男人年过60身体却强壮的如同少年，原因竟然只是一味中药！剧毒之物曼陀罗花竟然也能入药！#国产动画 #中医动画 #老动画,https://www.douyin.com/video/7365507452084800795,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocnoi4hfnIIgS3AlAEeBCq9YGBbKmSAEDzgNAN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Io6Q6Lk6SPRPGGN9%2BKGQlRuMxic%3D,378,8,171,41,https://v5-hl-tx-ov.douyinvod.com/10a0acbf163ba446dbeee5dcb71c2828/66858a0a/video/tos/cn/tos-cn-vd-0026/ogmNBBMwAA4kBIeARYAvfAAUA98siCbbJgQnlD/media-audio-und-mp4a/?a=6383&ch=0&cr=8&dr=0&er=1&lr=default&cd=0%7C0%7C0%7C3&cv=1&br=63&bt=63&cs=4&mime_type=video_mp4&qs=11&rc=Zzw5N2c3aTVpOjplZjc1M0BpMzkzbTM6ZnBycjMzNGkzM0AvYS02NTM0NWE2MC82LzA2YSM2NWFjcjQwZm9gLS1kLS9zcw%3D%3D&btag=c0000e00030000&cquery=100w_100o&dy_q=1719940668&l=202407030117489FB9F62F2531C853C166
男人故意吃下剧毒曼陀罗花，还让徒弟记下自己毒发时的各种症状，这一切只为了撰写一本医书！#童年动画 #怀旧动画 #中医动画 #老动画 #曼陀罗花,https://www.douyin.com/video/7358102695384780082,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o07duCceMQBLljh6Ce5HASPIBOA7yeLQI42MEn~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=dPNG8gWLSK9znUx3v93k4wB8op0%3D,6294,517,1027,314,https://v5-hl-tx-ov.douyinvod.com/19096ada1a5f0255ef87cb65e3cd9ffa/668588fb/video/tos/cn/tos-cn-vd-0026/o4P7AHeASAiOI5xBjEe2Ahyk2MAeC7A46MRnAB/media-audio-und-mp4a/?a=6383&ch=0&cr=8&dr=0&er=1&lr=default&cd=0%7C0%7C0%7C3&cv=1&br=63&bt=63&cs=4&mime_type=video_mp4&qs=11&rc=Nzw7ZDQ3MzU1MzVkZjM2O0Bpajs0Nmk6ZmttcjMzNGkzM0BgLy9hMjFeNV8yYTJfY2JiYSNzM2trcjQwaGJgLS1kLS9zcw%3D%3D&btag=80000e00030000&cquery=100o_100w&dy_q=1719940683&l=202407030118028A4DD362FCE47431CBD9
据说它就是古代的蒙汗药，赶紧认识下，穿越时会用到。#曼陀罗 #曼陀罗花 #中草药 #洋金花 ,https://www.douyin.com/video/7038584157659827456,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/fe47e7c59f534a988e7224bc1635ae2c_1638798184~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2BG9b8gBAQvtADH4rys0xAyitRfE%3D,47000,6407,5914,11000,https://v5-hl-tx-ov.douyinvod.com/ef3250a08b99150d75ea60c78f22d5e7/66845303/video/tos/cn/tos-cn-ve-15-alinc2/f8d77add8e714d6dbf795f9b0b8a8869/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1256&bt=1256&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeRdSwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=Omc4Omc1N2Y0NTY7aGU5ZkBpMzt3ajU6ZnU0OTMzNGkzM0AvXmMtMzY0XzQxY2BfNDEuYSNfaDFocjQwMGtgLS1kLWFzcw%3D%3D&btag=80000e00028000&cquery=100B_100x_102u_100o_100w&dy_q=1719940722&l=202407030118427A0B5D793F0F0C3166BE&__vid=7038584157659827456
曼陀罗都认识，可是它的亲兄弟你能分得清吗？#中草药 #三农 #新农人 #新农人计划2023 #植物科普,https://www.douyin.com/video/7245215204823305475,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/404a7672c0354f909e5648d42ad108a6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Tptx%2FHVFAnLooDopo71Vo%2Fj%2FmSQ%3D,385,43,60,20,https://v5-hl-tx-ov.douyinvod.com/def3a3b1065bd3d856243513dae4635d/668452f3/video/tos/cn/tos-cn-ve-15c001-alinc2/ogbkx49MAFnjZYoDfXexbQ3uAGNwIgBTC3gNQA/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=657&bt=657&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeidSwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NzY8NjtoNzk4Njo1ZjozZEBpanVtOTw6ZnA1bDMzNGkzM0AtNTAtXi5hNjMxNl5gMjAyYSNlbC5ocjRvbDNgLS1kLWFzcw%3D%3D&btag=c0000e00028000&cquery=100w_100B_100H_100K_100o&dy_q=1719940733&feature_id=22eebe935d739141bc75f57beca62d29&l=202407030118536F4741C1588CE2490226&__vid=7245215204823305475
曼陀罗有剧毒，如果在野外遇见了，千万不要轻易触碰#曼陀罗 #有毒植物#识百草,https://www.douyin.com/video/7346037544758349083,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oM85aADnlCvXm61eDAAlFAIlAA8kb8egj9QIHH~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=rR8Z4k0WrzTXwK5cBlLcM2rGp5U%3D,22000,2402,11000,8845,https://v5-hl-tx-ov.douyinvod.com/42e19f30cb2a3e52e131d652e44840ab/668452e2/video/tos/cn/tos-cn-ve-15/o4cMXlFfnEXvUyS2AaeQDq9XpBb6lHAIDLg4A8/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1113&bt=1113&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Eex0SwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=OzozNTVnNjtkOjhmZDs2N0BpMzxreDw6Zjg4cTMzNGkzM0AtYDYwX2JhNjExLi9iMTZfYSNeaS5jcjRvb21gLS1kLTBzcw%3D%3D&btag=c0000e00020000&cquery=100x_100z_100o_100w_100B&dy_q=1719940748&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240703011908C14626B4E33CC14280C1&__vid=7346037544758349083
它就是能让人，产生幻觉的曼陀罗，蒙汗药，毒情花#植物科普 #曼陀罗#有毒植物,https://www.douyin.com/video/7144718129837427980,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/7b93a069bdab4085924ccb3979deb701_1663517535~tplv-dmt-logomcc:tos-cn-i-0813/36925c01dd2342dfbb14fb1bad099a36:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=p63TujTDOeR26xDCzOtix2ETbNQ%3D,295,21,116,114,https://v5-hl-tx-ov.douyinvod.com/39271931f1a32375b14430c5d6913e68/668452e1/video/tos/cn/tos-cn-ve-15c001-alinc2/97d68495e4df4dbebe91266ab6ce4ac5/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=731&bt=731&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2Eez0SwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=aDU2PGQ3Z2UzZzhnN2U3ZEBpM25rdDs6ZmZsZjMzNGkzM0BiMC40YmIzNjIxMy41MDAzYSMuamxjcjQwM2dgLS1kLTBzcw%3D%3D&btag=80000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719940759&l=20240703011919A78B6AF34E2D72316807&__vid=7144718129837427980
"#传统文化 曼陀罗的故事！别被电视剧带跑偏了！
#涨知识 ",https://www.douyin.com/video/7075541523613371656,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/b3a1e194ae254b4fbd9f6de5f8d34b46~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=SUJPIY8Pk%2BYNAhD0t4OFd98LvQk%3D,247,8,14,24,https://v5-hl-tx-ov.douyinvod.com/af3b2c82f6542623cd7ef66042686527/6684533c/video/tos/cn/tos-cn-ve-15c001-alinc2/7245fa51886f4447914cc48a5fca3ee0/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=462&bt=462&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Eec0SwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=NWU6NDc0ZTg3OTZkODkzNEBpM3FlNzM6ZjlvOzMzNGkzM0AzYzEvMzQyNjMxNTUuXzA1YSMtNW5ncjRfcmxgLS1kLS9zcw%3D%3D&btag=c0000e00028000&cquery=100o_100w_100B_100H_102u&dy_q=1719940771&l=20240703011931C1D8D8890A40ED47BB75&__vid=7075541523613371656
任何东西都有两面性，曼陀罗也一样，它全株有毒，对人是一种潜在的危险，但是它的花、果实、种植又有很高的应用价值，帮助着人类！#植物科普 #三农 #曼陀罗花 #中药本草 #小妙招 @抖音小助手,https://www.douyin.com/video/7288639134376234279,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIsEDIc1gAjsAdI2eftEzyzBSRkhihAzrmm5Dm~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=SdFdTcKkRL8D9VX4VpglKqM24kM%3D,1127,206,302,166,https://v5-dy-o-abtest.zjcdn.com/0e9d40ae00be4d4ad6fc7eee97b3213d/668452fb/video/tos/cn/tos-cn-ve-15c001-alinc2/ocD9bfRZhieSJ6nPBgbI80ADAHgaLguzAnJl9A/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1440&bt=1440&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Eer0SwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=ZDg2Zzk5OGhlOTRpOjM7PEBpM3B1azs6ZnY6bjMzNGkzM0AtYGE2NjAyXi8xXzBgNjQ1YSNlNDFicjRvMGdgLS1kLTBzcw%3D%3D&btag=80000e00020000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719940782&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240703011942E2A08774943F95328247&req_cdn_type=&__vid=7288639134376234279
充满神秘色差的曼陀罗，今天逐一给大家介绍一下#植物科普 #你的家乡有这种植物吗 #曼陀罗,https://www.douyin.com/video/7296046088656588084,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oEBAG0zyfAZmowAGAeljACVAgLpEIDANgyGLmh~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=9VPm3FbXBvKEhLzTQYHGQ9Dd5l0%3D,11000,1087,2941,1759,https://v5-dy-o-abtest.zjcdn.com/ad7ccd7fee6eee4236a0c8b50d6e81b2/66845317/video/tos/cn/tos-cn-ve-15c001-alinc2/oQBuAxgoXfJGTAGQIyhzAYNPEnqwgGIYADACMe/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=864&bt=864&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee40SwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NWllaGRmaTg1NDRlZmU5ZEBpajMzcDM6ZjRmbzMzNGkzM0BgXi4vNS9eXl4xL2NeX2E0YSM0bS42cjQwMy1gLS1kLTBzcw%3D%3D&btag=80000e00028000&cc=46&cquery=100o_100w_100B_100x_100z&dy_q=1719940793&feature_id=e585bce62f14c124a0ac1450c3a95af2&l=20240703011953DC6CAE6BF1BA2432B262&req_cdn_type=&__vid=7296046088656588084
今天教大家认识的植物有蓖麻、曼陀罗、决明子、无花果树，这些植物您认识几个？#新农人计划2023 #你的家乡有这种植物吗 #植物科普,https://www.douyin.com/video/7222931964490255656,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIoIgDYB9GKEkAAb9E5PQQmIfQ2nABeqNZRAdS~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=QYRN2B3zNgv1Oodyu%2B6at1a7m24%3D,1350,14,182,64,https://v5-dy-o-abtest.zjcdn.com/f1f88af0d547d74fb07ca345d8bec956/66845307/video/tos/cn/tos-cn-ve-15c001-alinc2/osuqGYQ5IDQKTgDAQAkA9nvBPEcfNSLbgAZes9/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=730&bt=730&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeMWSwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=Njw3aDs1ZTc0OTM4Mzc3NkBpamo8aWY6ZmRqajMzNGkzM0BhYS82YjUuNmIxMDFgMS0yYSNwMW0zcjRnMHJgLS1kLWFzcw%3D%3D&btag=80000e00018000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719940804&feature_id=22eebe935d739141bc75f57beca62d29&l=202407030120045C24E661172A653050C2&req_cdn_type=&__vid=7222931964490255656
