Title,Title_URL,Image,likes,comment,collect,share,下载网址
#来抖音学农技 紫苏真是太有用了，建议在菜园种点，炒田螺那叫一个香。#紫苏 #紫苏叶 ,https://www.douyin.com/video/7166455585796345122,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/dd2dfacbeabd47689dba158c7d23aa0e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=NeKurW%2FBaBtBFkz7M1a0lXXecC8%3D,3885,215,631,445,https://v5-hl-tx-ov.douyinvod.com/ef81ebe2199f887a0eba5194c48fe775/667dc0ba/video/tos/cn/tos-cn-ve-15c001-alinc2/o8ANRjFBLtuhAZf9nQUQZhANHXgNueN0n9dIlz/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1790&bt=1790&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee6LPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=ZzwzZDM8Omg2Nzw0NjhmM0BpM2p4bWc6Zmk4ZzMzNGkzM0BgYWNjYjMwXi4xY2FeLS40YSNrbjUycjQwa25gLS1kLWFzcw%3D%3D&btag=c0000e00028000&cquery=100x_100z_100o_100w_100B&dy_q=1719510090&l=20240628014130F516CE1434E9CE4F3919&__vid=7166455585796345122
街上的各种奶茶店是不是已经喝腻了？ 这个夏天要不要和我一起尝一尝我们祖先喝过的茶饮？今天就先做一个千年前的爆款紫苏饮。#中药材 #养生 #紫苏饮 #传统文化 #古法美食,https://www.douyin.com/video/7366101730427178266,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/cc67c9938b334b7e985a53ffb6f0b4ae~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1aZcRFZgTTLNJhcSWWB83HHaAI0%3D,156,32,28,10,https://v5-dy-o-abtest.zjcdn.com/d0391a3bd7151341a87a702c4d229e18/667dc0fe/video/tos/cn/tos-cn-ve-15c001-alinc2/oI9BW8ASAqMbxkO7nmfdAUNzUfgARVLSnaUYDg/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=370&bt=370&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EegLPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=aTppZDNnN2ZoNGZlOWQ8M0BpanBsaDw6ZjZ0cjMzNGkzM0BeNF41MDUtXi4xY2AuXjEzYSMvMmg0cjQwX3BgLS1kLWFzcw%3D%3D&btag=c0000e00028000&cc=46&cquery=100w_100B_100H_100K_100o&dy_q=1719510117&feature_id=c6de0308cacfd993ef282c8e1c646267&l=2024062801415719AB761FB77EEC456D9C&req_cdn_type=&__vid=7366101730427178266
这种植物就是有东方香草之称的紫苏，你的家乡有这种植物吗？#植物科普 #三农 #我的乡村生活,https://www.douyin.com/video/7358120492244552994,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUsezhgXEazDNSA7IBdDnCf1rDSVSAtqFcAQWk~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=bVn%2B2JWdtDCDuYnzxksXGtqYtpM%3D,2934,351,739,558,https://v5-hl-tx-ov.douyinvod.com/f4464844bce29a779eca6bb6d5b4cf20/667dc0b0/video/tos/cn/tos-cn-ve-15/o4MYESCepAUqaIzNAFgfnDV2ItTXzkhBrQWFdA/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1408&bt=1408&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeXLPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=OWk4Nmc5OjM3OzQ5OGVnOEBpMzp2ZDg6ZmxucjMzNGkzM0AwMzUuNWFjX18xLjY1MWAzYSM2b25hcjRfamJgLS1kLS9zcw%3D%3D&btag=c0000e00018000&cquery=100o_100w_100B_100x_100z&dy_q=1719510128&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628014208BD74EDD7365A1648A3FF&__vid=7358120492244552994
这种比紫苏还香的植物生长在南方的竹林里，它叫假蒌，你认识吗？#美好生活派  @奇瑞汽金,https://www.douyin.com/video/7320068598574222627,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUfSoXntEeAsIbBliCDNsGA2ASh0b97WlU6ign~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=FyIOIVOHdZQHFwQvJBwrwPSgu9g%3D,1629,55,572,228,https://v5-dy-o-abtest.zjcdn.com/1b1f724ea2e5672cadd7adc5119d9307/667dc0b4/video/tos/cn/tos-cn-ve-15/oonW9hiKlINDAWASHBle8ysDE7nQfkAStgb3MU/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1092&bt=1092&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EevLPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=O2g3N2Y4NGllPDw1NGU4ZkBpMzpnbzw6ZmU0cDMzNGkzM0A2Y2AyY2NjNi0xMTJfYGM1YSNlMjRjcjRfal9gLS1kLWFzcw%3D%3D&btag=c0000e00010000&cc=46&cquery=100B_100x_100z_100o_100w&dy_q=1719510139&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240628014219B212184C40651F493977&req_cdn_type=&__vid=7320068598574222627
苏子是紫苏的种子，看看村里人是怎样处理的。#三农 #农村生活,https://www.douyin.com/video/7302436801950633216,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oEADXf8Nvqg6zd1JeNgB7XANgNh8A5pIYyxHEz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ZApDfBk%2F%2B0LVinb8WZ2hVFjNARI%3D,9152,409,3488,1394,https://v5-dy-o-abtest.zjcdn.com/a9e9941d7c662ea5be49b98c33d5ad5c/667dc0b9/video/tos/cn/tos-cn-ve-15/owHZxZDIQBAKaKrbA8eaufq4miePTBABnCu7gb/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1450&bt=1450&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeqaPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=NDw8NDZlaDU6Zmg1NTc3Z0BpanJ5O2c6ZjlxbzMzNGkzM0A2MS0wNmEtXy4xMjAzYGAyYSNtbC1kcjRnY19gLS1kLWFzcw%3D%3D&btag=c0000e00010000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719510149&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202406280142291DA985FFF5663F47A47D&req_cdn_type=&__vid=7302436801950633216
紫苏全身都是宝，紫苏梗却很少人知道，你的家乡还有人种植紫苏吗？#我的乡村生活 #农村生活,https://www.douyin.com/video/7293553019831012608,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oskD8IGQ3aKAety59HDaCebB7B9nNAfa9EbAnK~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=r0ER%2FpaNFzGCf2NN5O%2BU2VSlFwI%3D,19000,475,8859,2717,https://v5-hl-tx-ov.douyinvod.com/ab5e0b2b79b47aa3ec116c17d3cb03db/667dc0c8/video/tos/cn/tos-cn-ve-15c001-alinc2/oAKBa93NQCKI8Ae7aBnE9nIQJbB9A2bo8f6nDe/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2989&bt=2989&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EepaPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=NjM1ZTo0NGg3PDc8Ozs8PEBpMzh1aWc6Zm54bjMzNGkzM0BjNTIzYTZiNS0xNjQ2LzUtYSNjNGswcjQwY29gLS1kLWFzcw%3D%3D&btag=c0000e00010000&cquery=100z_100o_100w_100B_100x&dy_q=1719510160&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240628014240693198A27D391C45190F&__vid=7293553019831012608
紫苏又名东方香草，你的家乡有种植紫苏#我的乡村生活 #农村美食 吗？,https://www.douyin.com/video/7283164863856233768,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owObf8frAfA2onlogEfCqkH1x4DDSUr0AGELQI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=dxi1rl%2Fu0VWxH4yCTPWjsiySGj0%3D,1166,30,296,167,https://v5-hl-tx-ov.douyinvod.com/7156bc697420c0501a49b36adef05fd9/667dc0d9/video/tos/cn/tos-cn-ve-15c001-alinc2/oAb1fJQBIhKNPJFAvAlATzaBEEbCNQpNgAZfI9/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1527&bt=1527&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EehaPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=M2ZmOGg8Njo2ZDU2PGdmaEBpamRvajw6ZnRpbjMzNGkzM0A2YTIvXl41NTIxYTI0LjU2YSMtLWVgcjRnczZgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719510171&feature_id=d65f473b4463b6315c21eb3d7c571218&l=2024062801425148647CD9864A50464946&__vid=7283164863856233768
#农村生活 #我的乡村生活 紫苏梗，一种很容易被人忽略的宝贝。,https://www.douyin.com/video/7273143709477162255,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oE26ZsAa3CB51aZEEIe6fBAPeJtAbJDiPB7vHD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=PstyhmhYGbNIaOT9dnTgZ56%2FWPs%3D,3305,73,944,318,https://v5-hl-tx-ov.douyinvod.com/92eb1bc34e48877b395cbfb60fd940ec/667dc0e2/video/tos/cn/tos-cn-ve-15c001-alinc2/ooiqvAeNsaQ31HEJD352BCAKeZWltZIJ7EPfBA/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1271&bt=1271&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EegaPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=OTlnaTM3PDU1Nzc0M2g4PEBpanhvOWk6ZjtwbTMzNGkzM0BhYi1gMWFhNTIxYC0yLWJhYSNgcjJtcjQwX2tgLS1kLWFzcw%3D%3D&btag=80000e00018000&cquery=100z_100o_100w_100B_100x&dy_q=1719510181&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240628014301FE31C4A5060E3631336A&__vid=7273143709477162255
紫苏被称为＂东方香草＂，搭配鱼、虾、田螺，增香去腥又美味。 #植物 #我的乡村生活,https://www.douyin.com/video/7269062141515255055,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAf9nDgkQykOilAYgBgmBN8e54Qx5AbOTNA2Vz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=iAhzYkKOKP6ICMJwzQDkrnX%2FyLQ%3D,2136,55,564,319,https://v5-hl-tx-ov.douyinvod.com/1fb6bef13df920eb2db85513a71301e2/667dc0ed/video/tos/cn/tos-cn-ve-15c001-alinc2/ocKcztE5AhENEp5g8QygfBugI7eHAGIUrA7FZu/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1318&bt=1318&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeraPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=PDo6NjRnNjU3ZWg6NGk3NUBpMzM3ZTc6ZnZobTMzNGkzM0AxYF5jMl40XjIxYzYxNmMuYSNeZWdycjRvXmRgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100z_100o_100w_100B_100x&dy_q=1719510190&feature_id=d65f473b4463b6315c21eb3d7c571218&l=2024062801431049B7AC7CAE87BD519095&__vid=7269062141515255055
假蒌叶比紫苏还香，你认识吗？#我的乡村生活,https://www.douyin.com/video/7258299231931239732,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ocNeEARDyKhKCA06l0CIImFqgAfMAyAVXTzNAh~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=uHw5UcBTzxz2yuPh%2Flt4lXQbXV8%3D,12000,2006,2180,1256,https://v5-hl-tx-ov.douyinvod.com/6c4d84f8d20b4943b9d97d313ccba88c/667dc0fa/video/tos/cn/tos-cn-ve-15c001-alinc2/o4iAsikI1YxnEBPVgjNaqbDeeAA91gucSyMxKQ/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1258&bt=1258&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeZaPJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZzZlODU4ZDVkOjw3Nzk4OUBpanJ4ZWg6ZjtkbDMzNGkzM0A0M14uNmMvX2IxYDUyYDJgYSNwYC1gcjRvZXFgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719510200&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240628014320333FCF6D6AFCB750F59D&__vid=7258299231931239732
