Title,Title_URL,Image,likes,comment,collect,share,下载地址
以前还真把它跟紫花地丁搞混过。#早开堇菜 #识本草 #植物科普,https://www.douyin.com/video/7351045725242789157,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUTQgeBIGcWUAWmYQeCtAhDIInDlbpA99EBiQD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=bQATEW7jGzAoDsOIDaZk7sx6B4Q%3D,881,68,127,58,https://v5-hl-tx-ov.douyinvod.com/1cfdfab2a5de428d5598e5748f4149a8/66846307/video/tos/cn/tos-cn-ve-15/oAiQAcbnDID89TmAGLyswBeCEBNA7DiBeQEtEg/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=560&bt=560&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee70qwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=ZDQ2NzRmOWU4Njs8OztoZUBpM3hybDQ6ZmU1cjMzNGkzM0A0YzBeYzI1XjAxMl80NTFhYSNqZy5lcjRfZS9gLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100w_100B_100x_100z_100o&dy_q=1719944877&feature_id=9bcd3da4752f92402ca306ab9cd46f9b&l=202407030227574644C3D8E0038C3417CC&__vid=7351045725242789157
野堇菜又名紫花地丁，因其像一颗钉子，头顶开着几朵紫花而得此名，#植物科普 #新农人2024,https://www.douyin.com/video/7348094018862976290,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogaBjeIHLehmACa1BLbU7eAgyDIFbB6nQzWUwq~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=sD%2BF5sEYMsjRHBWydFgEclhfdg8%3D,59000,7512,28000,13000,https://v5-dy-o-abtest.zjcdn.com/178ba51234c5fa5c4ae668609d9cdf8f/668462f5/video/tos/cn/tos-cn-ve-15/oUg5ZlxlhMGNAfU7wQNIxgArwKEfBTzNAEmN99/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1331&bt=1331&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeZ0qwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=PDplZGY0Njk2ZWc7NTNpZkBpanc2dmc6Zjh0cTMzNGkzM0A1Li4zMF4vNWAxMV82MzIzYSM2LmBmcjQwbXBgLS1kLWFzcw%3D%3D&btag=c0000e00010000&cc=46&cquery=100B_100x_100z_100o_100w&dy_q=1719944888&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=202407030228084835CCC2E92D1147A521&req_cdn_type=&__vid=7348094018862976290
紫花地丁又叫犁头草，村里人遇见都会挖点回家。#度假康养in贵州 #植物科普,https://www.douyin.com/video/7316557503695752500,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oclA8baJigm9nUJQGVNDAMBNoAieIJJ5lQJ3fO~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=9d9y6EnnL3%2BGZGzP3%2FiNOV4yUJ0%3D,1947,70,689,175,https://v5-hl-tx-ov.douyinvod.com/6bcf2cb9bbd56c746b9dc6c45b4b7635/668462fc/video/tos/cn/tos-cn-ve-15/okAeAA5lNDMgG9tIJ8JbBeoiunZB3aQNQYiV5g/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1079&bt=1079&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeeWqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NDk8ODY8Zzo6ZWVoZjdmM0BpMztleTk6Zm10cDMzNGkzM0A2NS9gNDJhXmExXy01My0zYSNjLzJxcjQwMTFgLS1kLWFzcw%3D%3D&btag=c0000e00010000&cquery=100o_100w_100B_100x_100z&dy_q=1719944898&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703022817F0151BBA046B4A4979A1&__vid=7316557503695752500
紫花地丁又名犁头草箭头草，你知道吗？看看村里人是怎么处理的？#广东dou是好风光 #dou来广东百千万,https://www.douyin.com/video/7308768504591682850,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oge1OAb8AN3IoCky1vNfhsctEBzNlEXtFgz9At~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=2lVmVSm6S3jYsmv58ZJ8BxWL1b4%3D,8067,230,3113,812,https://v5-hl-tx-ov.douyinvod.com/2d7950b3993d2f1daa86ef838c4d11dd/66846306/video/tos/cn/tos-cn-ve-15/oMAAQzotdtyENBiDNhzvcIbbNt9ehsfghi8A1z/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1132&bt=1132&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeYWqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=O2g0ZWg1ZjpoNmZkNTs4ZEBpajtrdmc6Zmd5bzMzNGkzM0AwLjVhYmIzXzQxNV82Ll4vYSNubXNqcjRnYGpgLS1kLWFzcw%3D%3D&btag=c0000e00010000&cquery=100B_100x_100z_100o_100w&dy_q=1719944909&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703022829307F4DC7A666C054F624&__vid=7308768504591682850
紫花地丁#我的乡村生活 #农村生活,https://www.douyin.com/video/7294219067114753314,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQZBb6WDkHENOJZlAfCI9Rf8Rbkbl8ANAniBg9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=neIdQJetmjtwbbxyem5MINPU0mw%3D,47000,649,15000,3571,https://v5-hl-tx-ov.douyinvod.com/fbb3fdc531977b8608cffef38861eb30/66846310/video/tos/cn/tos-cn-ve-15c001-alinc2/os8W0DklOAQ9ANHQDZfko9RBNM6bExBjAfigIn/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1187&bt=1187&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeaWqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=aTM5ZjZmNmY6Zmk5Njs0ZEBpM2c6eTk6ZjQ3bjMzNGkzM0AvM2NfMjEtNTAxXi0yLy9gYSNlbmxjcjRvX3FgLS1kLWFzcw%3D%3D&btag=80000e00010000&cquery=100w_100B_100x_100z_100o&dy_q=1719944920&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703022840DEC159D3EDC9E4340B95&__vid=7294219067114753314
紫花地丁又名犁头草，你的家乡还有这种植物吗？#农村生活 #三农,https://www.douyin.com/video/7285759749864361268,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0fBEbG4XAv7nORQF1EDAqCabBOeItYuK4fpu4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=BUIf1QTvZ753b%2B8VUkbz1bcrYWg%3D,4390,175,1883,425,https://v5-hl-tx-ov.douyinvod.com/45282aa3a156f5d70f49017d769f3327/66846320/video/tos/cn/tos-cn-ve-15c001-alinc2/oEpuQ4CKBA8Ieg7EJDFxbg4A4qnnOeEfGaXc1B/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1345&bt=1345&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EenWqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=ZDozNDtoOjg6Mzs1aTc0OUBpM3ZkZzU6ZnQ2bjMzNGkzM0A0YS8wYC4uNV4xYTM0MTRfYSMua29ecjRnY2JgLS1kLWFzcw%3D%3D&btag=80000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719944930&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703022850DCEC743736AFEE344A46&__vid=7285759749864361268
这种草好多人见过，却叫不出它的名字，它就是紫花地丁，你认识它吗？,https://www.douyin.com/video/7257556851682708736,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oEn4ANCMICUusEDAYb9BAxYAGWZfAgDdAGAAek~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=hCNrwkU1ofh4UKkZ37L5MT55NuE%3D,18000,584,3066,863,https://v5-hl-tx-ov.douyinvod.com/1be1777431043720e414abed4c6ece5f/6684632e/video/tos/cn/tos-cn-ve-15c001-alinc2/owZwVkQhDX5AAef9xgNQXgADX6MuBunIAIob9V/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1537&bt=1537&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee7WqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NTg4aDYzaWUzNjs8OzY6aEBpamRtZDc6ZngzbDMzNGkzM0AzLzYxLWJiX18xYDEtYC01YSNvZS41cjRnXnBgLS1kLWFzcw%3D%3D&btag=80000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719944941&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703022901A364FF56FD57A6360AC9&__vid=7257556851682708736
紫花地丁又名犁头草，箭头草，遇到就挖点回来。#我的乡村生活,https://www.douyin.com/video/7235994210430733602,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/da700ad18c6145a884ecc68b77ad9ddd~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ifu7oD%2Bwbx%2FxGJpvnJt3%2BzNxhME%3D,163000,7435,37000,14000,https://v5-hl-tx-ov.douyinvod.com/b5cfde5c54ef051ad7f8b99b32f28ed6/66846340/video/tos/cn/tos-cn-ve-15c001-alinc2/oQQwWIeB8CtNeA7hcCIAT5HBS2PHe1gKA2Sira/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1341&bt=1341&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeSWqwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=OmU6ZWc2OTQ1OzM7ZzhoaUBpamk0NGU6Zm5wazMzNGkzM0BjLWIzMzRgXjIxLjVhYy8uYSMxYy5kcjRfaGlgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100x_100z_100o_100w_100B&dy_q=1719944950&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703022910A85ED51933E48C5345E0&__vid=7235994210430733602
紫花地丁又名箭头草，遇见就挖点回来。#乡村守护人 #我的乡村生活,https://www.douyin.com/video/7225340648713489664,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/dc846a0abf5a4e88b25465d70cf6e10d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=y2Vm6eAbW0bcJQk6fHKk19%2FnsBk%3D,5393,290,1386,496,https://v5-hl-tx-ov.douyinvod.com/b67fecbc50d059d6e9bfec3830f6f7b5/66846345/video/tos/cn/tos-cn-ve-15c001-alinc2/ocdgiIQBIhlQJKGAskyAFzsBIEBnNOVtgANfde/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1406&bt=1406&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeU-qwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=OjQ6OGloOGU3OmlpOmlpZEBpajgzczs6ZmpzazMzNGkzM0A1MGBgLWM0XmMxMGIvXzEtYSMtcW4zcjRfLy9gLS1kLWFzcw%3D%3D&btag=80000e00018000&cquery=100o_100w_100B_100x_100z&dy_q=1719944961&feature_id=372716a7b3ae6b80fcb42f8f6465de20&l=202407030229214284905FA78FDE33F856&__vid=7225340648713489664
犁头草又名紫花地丁，遇见挖点回来#三农,https://www.douyin.com/video/7182224931608874280,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUgDIoN9vA5G1ineA6ge2r4oEbYijyDBiBNFsA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=zkgQW442D7aVR9cSbxHM%2Br8dFWs%3D,7335,458,2196,845,https://v5-dy-o-abtest.zjcdn.com/fac676f52563472ddf439137fd6bf0c7/66846346/video/tos/cn/tos-cn-ve-15/oYaLkjvabABRAFnyAVfxNrRgF89eGrCQ7NDhAg/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1289&bt=1289&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Eex-qwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=Zjo3N2ZpZDo1aDtkZWk4NEBpM3A4ZjU6ZnY5aDMzNGkzM0AtXjJfLTI1NjUxXjAuNjE2YSNocV5xcjRnM2pgLS1kLWFzcw%3D%3D&btag=c0000e00010000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719944972&feature_id=76fd7660e4fb5fde516de588e7e634af&l=202407030229329C623BD95B2F2E53F42E&req_cdn_type=&__vid=7182224931608874280
