Title,Title_URL,Image,likes,comment,collect,share,下载地址
葱白为百合科葱属植物葱近根部的鳞茎#农村生活 ##乡村守护人,https://www.douyin.com/video/7193241088344247552,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/os4LIlN9TAE41jn8AjgeC0rgEbhnjcDBeDaHTA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=9VuIf9a8gFClQYwRSPqNMDs6bPI%3D,1672,51,274,153,https://v5-dy-o-abtest.zjcdn.com/d69c12e37eac41e462822867635556c9/6684709b/video/tos/cn/tos-cn-ve-15/o4JTlngUDcnA0N4e4mBeHjhaHD1A9AQaIz7Cb8/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=926&bt=926&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeJLZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NDw3aDw2ZTlnaDxpNztpPEBpajV5aTY6ZjpyaTMzNGkzM0AxMjNiLl9gXjAxNGIuNTM2YSNmbGhxcjQwYTZgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100z_100o_100w_100B_100x&dy_q=1719948381&feature_id=76fd7660e4fb5fde516de588e7e634af&l=2024070303262151175D908C46804C47CB&req_cdn_type=&__vid=7193241088344247552
野百合的种子长啥样？百合种子如何繁殖？,https://www.douyin.com/video/7314844863743266082,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMCDE4ggbAIZsze9En9lCNBEjDADeAhVb4UQuS~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Y%2FMlSAn%2BP7NAjR5ACps5HVOlRiU%3D,1154,40,107,51,https://v5-dy-o-abtest.zjcdn.com/e85b689bd68463123e93c3fd1a905102/668470b3/video/tos/cn/tos-cn-ve-15/okmACNcDKgpezbCEQBJhAiBDjAwfIMOhy8ZNqa/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=549&bt=549&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeKLZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=ODZkZzZmOjM4OjRlNjhmOkBpM3Y3cjw6ZmtycDMzNGkzM0BjNjMuMy9eNS4xXzQuYy5hYSMuaTUzcjQwbS5gLS1kLTBzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100x_100z_100o_100w_100B&dy_q=1719948396&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240703032636EDB1FCEE306E4E58D7CA&req_cdn_type=&__vid=7314844863743266082
秋冬季节，野百合枯萎了就不太好找了#新农人计划2023,https://www.douyin.com/video/7299245087400201487,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooEBMleAsBCHSg95N3IAZeDACInApTDYNbM2MN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=%2FGmrYYDDrk0hd1jsF3GI6tCZPzw%3D,2594,227,312,117,https://v5-hl-tx-ov.douyinvod.com/0a86c2972849b24870bfa6e2870a67e1/668470be/video/tos/cn/tos-cn-ve-15c001-alinc2/oI2CiegP3DSTND5lAMQ0EIIMbCAVBBANpnN9Te/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=809&bt=809&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeiLZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NDg1NGVoN2ZpZTg8PDY3OkBpMzxpaTk6Zmc1bzMzNGkzM0AxYjQyY2FiXi8xYy1eY2A2YSMzcTRncjRnLjNgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100B_100x_100z_100o_100w&dy_q=1719948413&feature_id=d65f473b4463b6315c21eb3d7c571218&l=2024070303265343A35E90BDBD82476597&__vid=7299245087400201487
黄花百合是一种奇异的品种，你们见过吗？#新农人计划2023,https://www.douyin.com/video/7256949126250761512,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8AQAANkDDmDV9QIyn1bBe3tynXX7dEM0Qf0Ng~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=sXIp6JIWtiLp5%2Bh5oa9RL2ssEAw%3D,1746,73,136,59,https://v5-hl-tx-ov.douyinvod.com/6f0559c267aeaa17e148127d3b762532/668470d4/video/tos/cn/tos-cn-ve-15c001-alinc2/o42QdEEm1MkAnjB3NGDhBetA9A1n7gyD0Ibqf0/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=866&bt=866&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee9aZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=PGdmOGk2PDo2M2Y6ZmY2N0Bpam48czk6Zjx3bDMzNGkzM0AzYzVgYi5jNS0xNi4uMDE1YSNnc2ticjRnbW5gLS1kLTBzcw%3D%3D&btag=c0000e00020000&cquery=100B_100x_100z_100o_100w&dy_q=1719948423&feature_id=372716a7b3ae6b80fcb42f8f6465de20&l=202407030327032A74FF4D305A3B558ECE&__vid=7256949126250761512
野生百合的三大特点#优质农产品,https://www.douyin.com/video/7211678655930453263,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMVqFfBeNzykCqAOBgxnAd5pEtNxPZAhV0IPoD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=aVKgTzg60bgcno6mioxUVCr13tI%3D,972,36,59,25,https://v5-hl-tx-ov.douyinvod.com/21d522cff80df3bbedfd3e1a2865bf03/668470d0/video/tos/cn/tos-cn-ve-15c001-alinc2/oYBde7zCCQotOB3qVPcnNbxhQqFfIAypAUgAKN/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=588&bt=588&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeQaZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=aDZoOjw3aWhoNzQ8N2dpO0BpM2dkczg6ZnJqajMzNGkzM0BjLTUuYS5jXi8xNWAtLi8zYSNpZnE0cjRvYl5gLS1kLWFzcw%3D%3D&btag=c0000e00010000&cquery=100B_100x_100z_100o_100w&dy_q=1719948438&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202407030327181F66A229B298E757A1C5&__vid=7211678655930453263
野百合和农吉利有什么区别？#抖音自然 #新农人计划2022 ,https://www.douyin.com/video/7098490639016398093,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/9115a4678c87453a91d26333c65ad30c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=0lERG8VBjjhUqD6IGZd4EYNs0oA%3D,12000,473,1646,789,https://v5-hl-tx-ov.douyinvod.com/323c73b2ec260ea5ace458efcc3a9903/66847101/video/tos/cn/tos-cn-ve-15c001-alinc2/cbf8542226cf42eca121d9c25ed1b833/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1633&bt=1633&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee0aZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=ZWZpNGc4ODVkNWRlNDQ1ZUBpanF4bTQ6ZnRoZDMzNGkzM0BgMzIzXzZiX2ExMzMzYl8tYSNtXl9lcjRnYi5gLS1kLS9zcw%3D%3D&btag=c0000e00028000&cquery=102u_100o_100w_100B_100H&dy_q=1719948448&l=20240703032728AFF3C9DDC806444B8A12&__vid=7098490639016398093
这些珍贵的草本植物，你能认识几种，天门冬：金刚藤：文王一只笔：千金菝：土茯苓、五倍子、何首乌、野百合、香蒲、马齿苋、前胡、金刚藤、车前草、地蚕、仙鹤草、猫眼草、铜钱草、大蓟、商陆#识百草 #草本植物 #那些很有乡野气息的植物,https://www.douyin.com/video/7312467017410284809,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/7bc3dbae9d5a4b56b3a97d670af75c9a_1702566455~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=AF0NAlwpjHeSJZufRfPnDkQeiIk%3D,9184,296,4990,1782,https://v5-hl-tx-ov.douyinvod.com/4017fd905175c3981f492c77fb39f3e1/668470fb/video/tos/cn/tos-cn-ve-15/o48VhyPvgyLeAIunyPEBlHfsAwA7DYNGBtQQzu/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&br=2690&bt=2690&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2EeKaZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=0&rc=NGdnNTRkZmZmOGQzZWdpM0BpM2d1PGU6ZnhrbzMzNGkzM0BhLjAyL2BgXjIxYDE1YDMwYSM1LmFtcjQwZnFgLS1kLTBzcw%3D%3D&btag=c0000e00020000&cquery=100x_100z_100o_100w_100B&dy_q=1719948460&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=202407030327395EE5305EBAC7B3563845&__vid=7312467017410284809
这就是神龙四宝之一的七叶一枝花，它的叶子为七片轮生，上下两层，所以也叫它重楼：重楼为百合科重楼属多年生草本#七叶一枝花 #重楼 #中草药植物,https://www.douyin.com/video/7279682977548799287,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/24efeed523754a1cbbcaa819d42070e2_1694933289~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=vF0ZxH%2FMkwBQwpQtT0CkjucWeHw%3D,5590,702,2658,1742,https://v5-hl-tx-ov.douyinvod.com/2e11647597307892c3bcfc89443f371b/6684710c/video/tos/cn/tos-cn-ve-15c001-alinc2/o0A4FlqBfUADALe9u6EQLQADbpgbDkHGlUBIHn/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=847&bt=847&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EePaZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=OmllOWRkOTQ6NzlmZDs3N0BpanRneDY6ZjxkbjMzNGkzM0AuXjNeM19hXzMxLy0vNTY1YSMuNjBzcjQwLTBgLS1kLTBzcw%3D%3D&btag=c0000e00020000&cquery=100o_100w_100B_100x_100z&dy_q=1719948471&feature_id=372716a7b3ae6b80fcb42f8f6465de20&l=20240703032751E8555680FE0E944AE362&__vid=7279682977548799287
这棵野百合不知道长了多少年#野百合 #大自然的馈赠,https://www.douyin.com/video/7239726621249359165,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/7539f088d656430385b1e15c0357af9b_1685630219~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=VvfvzAMb8QlxN67EEnkEZsC5mlc%3D,3985,628,644,342,https://v5-hl-tx-ov.douyinvod.com/2f8644e83d34dc09dbb3e833007bcff6/668470ec/video/tos/cn/tos-cn-ve-15c001-alinc2/osFAwPQZwfvvABD1OyOpexgBYhIrNAzzE4rc4C/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1333&bt=1333&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeUVZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=OTY6OGdnOjZoOmg7ZTNmO0Bpam10Zmg6Zm5kazMzNGkzM0AwMmAuNjFfXjUxNDFjXjBjYSNrcy5scjRnbHBgLS1kLTBzcw%3D%3D&btag=80000e00008000&cquery=100B_100x_100z_100o_100w&dy_q=1719948481&feature_id=b711e0f7c74ed5db997dd460fa0d7dcd&l=20240703032800AC4F4FDBC1E1B735EA6A&__vid=7239726621249359165
百合花要开了，一起来欣赏一下吧#野百合 #百合花 #你的家乡有这种植物吗,https://www.douyin.com/video/7179158778409995559,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/78e8c18193674df7ac34f4462afc91dc_1671528173~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=DYkxxsMpzHhnNi9m178r1Ai8xMY%3D,560,26,96,108,https://v5-hl-tx-ov.douyinvod.com/19ed68986d0b15a836c8ab8fd04c9ee4/668470f2/video/tos/cn/tos-cn-ve-15/o0AU3bQgD5AeADXfVa97DobRo5nPABqoaVxjtC/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=781&bt=781&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeWVZwOs3-Hb4w7nXZA8BB0rIzLaachu~vjTQ&mime_type=video_mp4&qs=11&rc=NTM7PGYzNTdoOzRpO2hnN0BpM3c7ZDQ6ZnBxaDMzNGkzM0AvMi0wXjZjNV8xNF8wYC8vYSNkbjJvcjRvcGRgLS1kLTBzcw%3D%3D&btag=c0000e00008000&cquery=100o_100w_100B_100x_100z&dy_q=1719948491&feature_id=eb4c918b9cc575f3dbb154e6c6a43e47&l=20240703032811CB0F264EB1121955EE92&__vid=7179158778409995559
