Title,Title_URL,Image,likes,comment,collect,share,下载地址
真假茯苓这样来辨别。#茯苓 #真假茯苓鉴定方法 #识本草,https://www.douyin.com/video/7347703799680683291,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMeibZELeARuBi4CDQFEf7SCaG4bQVY6BIgAIn~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=vBdkPzum58RDiiGTiZ2zHzmfTTo%3D,2096,111,337,176,https://v5-dy-o-abtest.zjcdn.com/9749e7fd4f382c38d16d40645b0b090a/667deb45/video/tos/cn/tos-cn-ve-15/oslmNz4EcBRICAf9IAXECKSQFfAsgBNLBRVzhQ/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=452&bt=452&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee-jIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=OWk7OzZpaWRlNjw0ZjplZUBpM2trMzs6Zmg3cTMzNGkzM0BgMzAyXi00NmAxLi4uMC82YSM1YmkvcjQwZXBgLS1kLWFzcw%3D%3D&btag=80000e00028000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719520960&feature_id=0315b20909583e3eff66995da4a3a691&l=20240628044240CEC9941A00B09C375F56&req_cdn_type=&__vid=7347703799680683291
第一次种茯苓就有收获。#识百草 #茯苓 #茯苓种植,https://www.douyin.com/video/7341391781008788745,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oE3RIKNeBATOjvzEAvgfr8P2Et3vy8hBiB4MhA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=b%2FWtPJoqDBZ3uV6qo%2BAC9Pf%2FSoI%3D,2378,127,225,109,https://v5-hl-tx-ov.douyinvod.com/c782952cc2e54b514d348588deeb9f5d/667deb48/video/tos/cn/tos-cn-ve-15/owdON8nw9AAfkIM5mDDQKxBAwgJgDyYe4lbUWv/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1061&bt=1061&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeWjIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=N2U8ZzY8NDQ0Zmg2Nmg6O0BpM2V2cmY6Znh3cTMzNGkzM0BiYDYwY2FjNTYxXi80MDUvYSMyNmllcjRfbGRgLS1kLWFzcw%3D%3D&btag=80000e00028000&cquery=100o_100w_100B_100x_100z&dy_q=1719520971&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=202406280442507363265BE11FBD35CE5C&__vid=7341391781008788745
第一次种茯苓，不知道行不行，专业人士来指导下。#药材种植 #识百草 #茯苓 #抖音自然,https://www.douyin.com/video/7254129440257494331,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/oArEgqzAAIkAfCOwvNtC9TlGEExs2eAlAhAwXE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=UlToQt7R%2FqlBZC2K9UnA9XLW3QY%3D,899,55,78,42,https://v5-dy-o-abtest.zjcdn.com/1e8112ecd55c1436fb4ea36994b67dfe/667debbd/video/tos/cn/tos-cn-ve-15c001-alinc2/ooeBYxbN6rikfAAGIv0193rzghWANiQRr0qZEm/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1001&bt=1001&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EetjIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZGg4NmQ1OjU4ZGloaDk6Z0BpamVtbjk6Zmd3bDMzNGkzM0BgMDAzYGNhXl4xLWBhM2E1YSNuMGJpcjRnY2lgLS1kLWFzcw%3D%3D&btag=80000e00028000&cc=46&cquery=100x_100z_100o_100w_100B&dy_q=1719520980&feature_id=768c4eee0a62d19cc9ffc7d17c46e537&l=20240628044300E86A38A3063C2E354716&req_cdn_type=&__vid=7254129440257494331
茯苓乃九大仙草之一，寻找方法已经教给你了。#涨知识 #茯苓粉 #茯苓,https://www.douyin.com/video/6962482645104135465,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/99f2c5f3ae7142ee84849b959d8d2bf2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=N9%2B%2ByNAYb6OOGNNXRvJ5akDaM3g%3D,6229,130,136,130,https://v5-dy-o-abtest.zjcdn.com/4809bddc539fa186f6b82df4bf42cef9/667deba2/video/tos/cn/tos-cn-ve-15/284bcc9cedf34e21b82804a6324bcf82/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1198&bt=1198&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeLjIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=N2RoODZmN2c7ODhkZGVpPEBpamdnNHBoZzx1NTMzNGkzM0AvLzExLjQtXzExLjI0MTAtYSMuYG42cF5tNWNgLS1kLTBzcw%3D%3D&btag=80000e00028000&cc=46&cquery=100w_100B_100x_102u_100o&dy_q=1719520991&l=2024062804431139A16E417E312E36CB0A&req_cdn_type=&__vid=6962482645104135465
制作一个来自《红楼梦》里的茯苓霜，步骤并不复杂，可以在家自己做，早上喝一碗很舒适。#制作过程 #中草药 #中药材#新农人计划2023 #好东西一起分享 @抖音小助手,https://www.douyin.com/video/7303008019070094626,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/f0af556a27ba4aa38e9888e96263e168~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=mRSske0BxSv3QEnJUGu%2BP5WSySs%3D,330,65,48,10,https://v5-hl-tx-ov.douyinvod.com/74dc725c2e3ba828d80cfda3709094f7/667debbe/video/tos/cn/tos-cn-ve-15/ootyODe5A8zrwZnh8hf46IVCAvJFEgBALZQD6A/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=418&bt=418&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee.jIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=OTo3PGRoNjdkaThoNDc4OEBpanMzNDM6ZndxbzMzNGkzM0BeLmMtXi00Ni4xYTNhMl8wYSNrM2JxcjRfbGBgLS1kLTBzcw%3D%3D&btag=c0000e00028000&cquery=100H_100K_100o_100w_100B&dy_q=1719521000&feature_id=e585bce62f14c124a0ac1450c3a95af2&l=2024062804432002005E5544ADD6589D86&__vid=7303008019070094626
土茯苓有哪些特征？土茯苓怎么吃？ #大自然的馈赠,https://www.douyin.com/video/7373466423512829219,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAGn4GqjQCfptIIiWe7oBfgBVFrm6AwnH8AgLM~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=lRrE1waB0BVv7nmhqyX76SzKMkI%3D,420,8,60,30,https://v5-hl-tx-ov.douyinvod.com/69ebb920f729682ea2222e2dcb2a19d5/667deb38/video/tos/cn/tos-cn-ve-15c001-alinc2/oYGCplnAy6tGB8gfgIL7SjeFBwBLnpIMAQmIfu/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=859&bt=859&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeGjIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZGg2NTpkOzRkMzs1aGU3PEBpanJnbHI5cmZ3czMzNGkzM0AwMzYyNGEuX2ExYWM1NTZeYSM2c2M0MmRjLjZgLS1kLTBzcw%3D%3D&btag=c0000e00018000&cquery=100x_100z_100o_100w_100B&dy_q=1719521009&feature_id=9bcd3da4752f92402ca306ab9cd46f9b&l=202406280443299CBDDC5C1951A35CF323&__vid=7373466423512829219
土茯苓有哪些特征？ #大自然的馈赠 #三农,https://www.douyin.com/video/7365650286800604416,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owAfbcLBjIFtLf7cAfQVTfsgzOehwAYZfP6qgw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=l54gwecZyw8PKYK4A%2B7Bx219gHQ%3D,716,43,150,52,https://v5-dy-o-abtest.zjcdn.com/2e4a75b82859de9d3cc06c5bb7e68c0b/667deb3a/video/tos/cn/tos-cn-ve-15/oop3v3QeIDfgMBDAADmA4niBOEmuDWQbgAK849/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=795&bt=795&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee4jIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZGk6M2RlZDw7Mzg5ZTxnZEBpM2kzZGc6ZnczcjMzNGkzM0AwNWE0Yl8tXi8xYTVfLzNfYSNzX3FtcjRva3BgLS1kLTBzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100z_100o_100w_100B_100x&dy_q=1719521017&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628044337E9FB5137809F7D4DB1C7&req_cdn_type=&__vid=7365650286800604416
鉴别茯苓真假的方法#优质农产品,https://www.douyin.com/video/7354529781297319208,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogWmEKnKQABDNBKfbAAggkP8EICrfQGn8Ii9DJ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=giKhHHW7%2Bt6p5Vx%2B5HbNmcWfeY8%3D,264,6,18,5,https://v5-dy-o-abtest.zjcdn.com/000fc8f232659b57cfe80da062bcdd89/667deb5a/video/tos/cn/tos-cn-ve-15c001-alinc2/owEAlCQQofCkABDdhzC1emgDThIqtAhzEQjKJU/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=497&bt=497&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeesIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=aGg5ZGQ1ZDRpZmRlPDY1NkBpMzQ3PDU6ZnQ7cjMzNGkzM0AtYzMvYTU2NV8xLy9hNl9jYSNmMmBocjRvZzVgLS1kLTBzcw%3D%3D&btag=c0000e00020000&cc=46&cquery=100B_100x_100z_100o_100w&dy_q=1719521026&feature_id=9bcd3da4752f92402ca306ab9cd46f9b&l=202406280443469F3226DBAC730C4C6E7B&req_cdn_type=&__vid=7354529781297319208
茯苓和土茯苓的三个区别,https://www.douyin.com/video/7347240214953331968,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oceaIIAAcTfAtYlySlI6fvkCoKfEsHcrheG0Yx~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=dwueZrBiInxjw7SCArkG%2BtJnXUI%3D,579,13,45,28,https://v5-hl-tx-ov.douyinvod.com/638123661f0d314e337952cbbc2f1179/667deb5b/video/tos/cn/tos-cn-ve-15/o4TDRpGrIHVADl9BO2GnbAh9QSAeQ8qgDN7lEf/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=686&bt=686&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EexsIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=Z2k5ZWU3Nzw4OjxlODszNEBpamg3eWQ6ZjdkcTMzNGkzM0BfLTBiYi1jXmIxNjVfNjMvYSNkYG5lcjRnNW9gLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100o_100w_100B_100x_100z&dy_q=1719521036&feature_id=9bcd3da4752f92402ca306ab9cd46f9b&l=20240628044356BD5CE4A466F5FB348A3B&__vid=7347240214953331968
土茯苓具体有哪些特征，土茯苓怎么吃？,https://www.douyin.com/video/7346750394728566068,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osrYIDgkxnAUze2WzO8BA9lEvAYgGB99QCbepD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Z29%2B3EBOwNkwOZAEKi14nyGfCZA%3D,611,19,82,36,https://v5-hl-tx-ov.douyinvod.com/210d0765f0735c860be79a188651bfe2/667deb61/video/tos/cn/tos-cn-ve-15/oQrIAtlQhfAZUeQgE9mzDYBMnD6DMAl0bAPtBb/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=707&bt=707&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EezsIJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=Z2VkZWQ7Zzo8OGk3Zzw6NkBpMzY3bTM6ZmZocTMzNGkzM0BjLjIwNV8zNl8xLTY0MF4uYSM1bGxgcjRfYG5gLS1kLTBzcw%3D%3D&btag=c0000e00018000&cquery=100x_100z_100o_100w_100B&dy_q=1719521047&feature_id=9bcd3da4752f92402ca306ab9cd46f9b&l=2024062804440795D599365614C357BDBC&__vid=7346750394728566068
