Title,Title_URL,Image,likes,comment,collect,share,下载地址
云南大山宝贝多，野生灵芝采回来看看能不能养活。#科普,https://www.douyin.com/video/6891269319716621575,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/7662cabd52304f85b8f97c3ea1200549~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ATvsM8QSyvpjMiUtOEkbZOHCzgI%3D,658,97,42,91,https://v5-hl-tx-ov.douyinvod.com/c90ac9137aaf56b5583979b9ceca5b4d/667dd99e/video/tos/cn/tos-cn-ve-15/0a4046c9010443bca661ed707ffde0ca/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2376&bt=2376&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Eew~HJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=NGc1aGc4NTc8ZzdnNmU2PEBpampndXg1bTpleDMzPGkzM0BgXjVfNjJfNWExY2BiM18yYSNgMWNyb2FnNmVfLS1jLTBzcw%3D%3D&btag=c0000e00028000&cquery=102u_100o_100w_100B_100-&dy_q=1719516474&l=20240628032754073A2B642E5E9E540047&__vid=6891269319716621575
吃了数千年的薤白，不仅被誉为菜中灵芝，在药材里也有一席之地。 如今正是采挖它的季节，喜欢的不要错过了。#中药 #中医  #中药材 #创作者伙伴计划 #记录三农,https://www.douyin.com/video/7348437612652301578,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i30fdc60e798549e1850328b07ee8c826~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=8zVkf7Aw6OraMgjgvmb03M6c9%2Bc%3D,852,101,92,79,https://v5-dy-o-abtest.zjcdn.com/ba706fd5abf8b6dfab1cf028b7e6a7e7/667dd9f4/video/tos/cn/tos-cn-ve-15/oIfAQBhXbmzS9Gg5C4svfP6ANDNQrlEA6gI0do/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1064&bt=1064&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeqSHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=aWhoaTQ5ZTNpNjozNzQzOkBpM3M1OjY6ZnRocTMzNGkzM0BgMy8tLmAxNWAxLzNeMzJiYSM1c2BwcjQwL3FgLS1kLWFzcw%3D%3D&btag=c0000e00028000&cc=46&cquery=100o_100w_100B_100H_100K&dy_q=1719516485&feature_id=c6de0308cacfd993ef282c8e1c646267&l=2024062803280567061C4475EE2E5286AB&req_cdn_type=&__vid=7348437612652301578
野生灵芝生长分哪几个阶段？ #新农人计划2024,https://www.douyin.com/video/7375687304238714147,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8SGmBeIIAtJMteGKQCi7EAD2VINLgBfGxx2tb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Tc3am17DsiKnZryGax4tcSmy9DE%3D,730,24,66,34,https://v5-hl-tx-ov.douyinvod.com/5e19839c99cc60ff41c3afc0f04b23d9/667dd9a3/video/tos/cn/tos-cn-ve-15c001-alinc2/owAjivtEwiErp8SbVZBlIQv0iP8lQuBIAiJIY/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=742&bt=742&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EebSHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZzhpaTk1ZzdmNGc3PDs3NUBpajwzPHY5cm91czMzNGkzM0BfMTVfLi9hX18xNF5iYmI2YSNrL182MmRrNWFgLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100x_100z_100o_100w_100B&dy_q=1719516497&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628032817938704AC1BC198352F23&__vid=7375687304238714147
发现灵芝的地方可以连续捡多少年？ #新农人计划2024,https://www.douyin.com/video/7374594824147586356,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osqPfABVo0FAvi9ymuLqlCDAgEZXB0iIUozei6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=p2YEvh52iBwgVPLmq5iL7n%2Bk2l8%3D,1146,85,82,52,https://v5-hl-tx-ov.douyinvod.com/79ced7110021ef8ae9c00821634b5dd5/667dd9b4/video/tos/cn/tos-cn-ve-15c001-alinc2/oMdqlzQoIiLyBMFAe1mAXBXBVEt0D6afgAui19/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=755&bt=755&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeoSHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZzxlOjppOzVmNmc2ZGk0aEBpM2VlZ205cm93czMzNGkzM0BgNi40LTMxXy8xXjEtXmJhYSNoaDNrMmRjMl9gLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100x_100z_100o_100w_100B&dy_q=1719516506&feature_id=9bcd3da4752f92402ca306ab9cd46f9b&l=20240628032826D615443D39133834C2DA&__vid=7374594824147586356
野生灵芝辨别真假，一看模样，二看成熟度，三闻气味 #大自然的馈赠 #,https://www.douyin.com/video/7358643722248064271,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAC9EHDQOzOVbfD4ADcXJ0gInbAneABdyBWmyQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=OR%2FYujbGKFJrI2U9BWjt%2ByF3IiE%3D,244,3,23,17,https://v5-dy-o-abtest.zjcdn.com/2dacf29d08643b33b9539044a1c6032c/667dd9a9/video/tos/cn/tos-cn-ve-15/oAEOWfcDyXQdHKTmAOgI9KDebbICNDADAnCBgy/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1144&bt=1144&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EemSHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=NTQ4aDg1aDxnOGY0NDQzZkBpamh3ajU6ZjhscjMzNGkzM0A0YjM1XzM0Xi8xMWMuMzI2YSNkZmAwcjRvYmNgLS1kLTBzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719516516&feature_id=27279cbcf717e3098a15eff54c5a9631&l=202406280328368F4F0A80A57D1D54F916&req_cdn_type=&__vid=7358643722248064271
野生灵芝有孢子粉吗？#优质农产品,https://www.douyin.com/video/7352807214890994979,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oI9A8WzIKgzzHBCagGD0TNhEfAAesDBOK456XE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=qoHqL2WwWSN63dJqyProRUyNZgw%3D,311,11,16,7,https://v5-dy-o-abtest.zjcdn.com/145e9a39e615067f6ee7ce7024ab0296/667dd9a4/video/tos/cn/tos-cn-ve-15/owTAgBQw6f54ABDiCzOGeWgCWhIJNAzzEKbJaQ/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=902&bt=902&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee7SHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZjszaDc8aWY4N2g1aDs1ZEBpM21lO2g6ZjY5cjMzNGkzM0A0M2MvYGIxNS8xLmMxMDUvYSNwZy1xcjQwajJgLS1kLTBzcw%3D%3D&btag=c0000e00010000&cc=46&cquery=100o_100w_100B_100x_100z&dy_q=1719516525&feature_id=9bcd3da4752f92402ca306ab9cd46f9b&l=202406280328451E12834B62D36554D89E&req_cdn_type=&__vid=7352807214890994979
野生灵芝辨别的方法#优质农产品 #大自然的馈赠,https://www.douyin.com/video/7349480382716218676,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oE7QAHzE2KfIXAm2eFmfPTYlfZ8PDE4AMXPCQ4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=977RsIEFF%2BRw8xN8vPaeD71eCg0%3D,308,12,34,18,https://v5-hl-tx-ov.douyinvod.com/a40349c5fa3501eeafb9fd5a0d9129d1/667dd9c2/video/tos/cn/tos-cn-ve-15/oQLfxIfvMHmazfo9gAM3cYMDYN96vRAfFEwsAf/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=595&bt=595&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeZSHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZztlZGVlZDVlOjkzOGdoN0BpamZ5aTk6Zmo8cTMzNGkzM0BiYzQ2NS4yXy4xMDAtMDI1YSNtbHNhcjQwZnNgLS1kLTBzcw%3D%3D&btag=80000e00018000&cquery=100x_100z_100o_100w_100B&dy_q=1719516536&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628032856E1F9666E67F77C3454A8&__vid=7349480382716218676
灵芝吃起来什么味道？,https://www.douyin.com/video/7345335860642008320,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/os7AJBhfBVz793gvAU3ufgvAtCDBPlIA4qEIgV~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=JxpEYnGLhKn7%2FKxURuXeUfsVZmw%3D,366,11,26,18,https://v5-hl-tx-ov.douyinvod.com/cd7628770258db264e6f825478fe0e33/667dd9c4/video/tos/cn/tos-cn-ve-15/okBqARQAGuA8SDe4fb7eJ3bCyAnVBCJI6gbLSv/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1119&bt=1119&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeUYHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=aTdpNGQ2ZTVkNzc2ZGc6aEBpamlkOzU6Zjd4cTMzNGkzM0AyYS9jYS0zNjYxYDQzLl4vYSMxcTJecjRfLWtgLS1kLTBzcw%3D%3D&btag=80000e00018000&cquery=100z_100o_100w_100B_100x&dy_q=1719516545&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628032905A97A525556DEA0346400&__vid=7345335860642008320
是不是野生灵芝，可以看这三点！,https://www.douyin.com/video/7342793224148274484,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMmabCHAeIKA5DqNCPECUHzyXxZfhA32BgUu18~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=C%2Bcg9sm0CrGDAwGNHWWgg6kYujg%3D,360,10,25,16,https://v5-hl-tx-ov.douyinvod.com/209a11d93a6eb65502bdb067e2c74320/667dd9da/video/tos/cn/tos-cn-ve-15/ogPSNf27A7baL4dBmlRCAcGJHziBsAgA7Tff4Q/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=640&bt=640&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeWYHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=Omg2ZTs3aTQzNzZlNzM1OUBpanV3ODU6ZnVncTMzNGkzM0A0LjVgNjYxXy0xYmAwY142YSNgaC0ycjRnYmdgLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100B_100x_100z_100o_100w&dy_q=1719516555&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=202406280329155038394670DFE534FCBC&__vid=7342793224148274484
灵芝怎么吃比较好？#新农人计划2024,https://www.douyin.com/video/7337593928432028962,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okFAn1Ef2eIWABDVklPY9Ig87DIBbA6nQUXt0n~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=nZZQSlihyK1YBYo%2FdXmjAWLsLvA%3D,906,56,158,136,https://v5-hl-tx-ov.douyinvod.com/1150b698ed86a697a8dd69ce7c13cb1b/667dd9d5/video/tos/cn/tos-cn-ve-15/oULmNAz6LYbAEfeyy7ds9QDAgI5UBTXECaHihE/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=598&bt=598&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EetYHJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZDllZGU3NDdnaDkzaTM4ZUBpanc7bjo6ZnA4cTMzNGkzM0AzYmE2YjVjXjQxNDQ0YDJfYSMyNXJxcjQwcV5gLS1kLTBzcw%3D%3D&btag=80000e00018000&cquery=100x_100z_100o_100w_100B&dy_q=1719516564&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=202406280329249E2EB6CD52956234FEC1&__vid=7337593928432028962
