Title,Title_URL,Image,likes,comment,collect,share,下载地址
还是古文有诗意，黑色称为玄，玄参，一种作用很生地黄很像的药材，产量大，经济价值高。#抖音921好物节 #中草药 #优质农产品 #玄参 ,https://www.douyin.com/video/7145298556285439273,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/07aa1babfa734555bf3cc5dd0872fd12~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=MCsE8UzY7ta800IhorZrRu4R6JY%3D,847,38,85,64,https://v5-dy-o-abtest.zjcdn.com/7ff02498ba5b2d664f98e93fb5bb4e52/667e379e/video/tos/cn/tos-cn-ve-15c001-alinc2/bf74588d9a1a4841afc80a8b685327b8/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1400&bt=1400&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeRJ9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=ZzRpZWRkOjs0ZzhlZzplZUBpam92cjg6ZmptZjMzNGkzM0AuMzFfNGNfX2IxYC9hMTJgYSM2LWNscjRnMmhgLS1kLWFzcw%3D%3D&btag=80000e00028000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719540530&l=20240628100850BAE4C73F2E4084494FBF&req_cdn_type=&__vid=7145298556285439273
关于大名鼎鼎的地黄，它的花朵都见过，但种子长什么样？#中草药 #三农 #新农人 #支持三农扶持三农发展 #地黄 #中药材 #新农人计划,https://www.douyin.com/video/7238619773091826981,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/i86ca3f717c6b47b0a9dddc8d590a91aa~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=kBTSG7Fwc%2Bo%2FKo9kfTChucotMdU%3D,313,35,37,7,https://v5-hl-tx-ov.douyinvod.com/4fe6e334a298e6378efc2550f636e898/667e37b6/video/tos/cn/tos-cn-ve-15c001-alinc2/oEwyQgDnkBgRB3LeDNcLfAQqAAhpbd4gD9IMry/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=627&bt=627&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee8J9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=aGdoNDU5N2Y1NTM5PDU6Z0BpMzM1ajs6ZmZlazMzNGkzM0BjNjIzYjU2NmExL2EvLWEtYSNwX2JucjRnbW5gLS1kLTBzcw%3D%3D&btag=80000e00028000&cquery=100K_100o_100w_100B_100H&dy_q=1719540543&feature_id=22eebe935d739141bc75f57beca62d29&l=20240628100903DEEED5ADFBB50148460E&__vid=7238619773091826981
地黄，记得以前路边地头都能看见，很多人应该见过，但还不一定了解它#你的家乡还有这种植物吗   #识百草 #地黄,https://www.douyin.com/video/7374599672557604123,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMf0XstAAACiA0g39RBTDmI1VEAuX19TeiaABS~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Gk3x87%2FlgjMDhuVb%2BVmV095G9tM%3D,2018,72,739,326,https://v5-hl-tx-ov.douyinvod.com/b318ba999ebe1da33717279faed5d9c4/667e3799/video/tos/cn/tos-cn-ve-15c001-alinc2/oQ5EK2nSIhiADTVBkXyDfAB9VzAFQw9gDummEf/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=652&bt=652&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee6T9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=aTM0ZWRoNzY5MzVoODVnaEBpajdkaWs5cnZ3czMzNGkzM0A2YjE2Ll5iNWIxMjY2YS8xYSMtY201MmRzXl9gLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100B_100x_100z_100o_100w&dy_q=1719540554&feature_id=9bcd3da4752f92402ca306ab9cd46f9b&l=20240628100914132F1F1DBB897A499678&__vid=7374599672557604123
跟这实拍识本草，前胡、仙茅、地黄、黄芪、甘草、土大黄、仙鹤草……#识百草,https://www.douyin.com/video/7245495581773303101,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/a68bd57874b14e04b1716f0fbd6415ef_1686973417~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=a6MESX2ULm8COSSYN3TcBKgSaJk%3D,2793,53,1512,529,https://v5-hl-tx-ov.douyinvod.com/9f2b083394ab2955f5d220252ea14011/667e37cb/video/tos/cn/tos-cn-ve-15c001-alinc2/o4b2RDnGg8AtRhBjkADDefA2AOSdb9Kbkv84gg/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1356&bt=1356&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeaT9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=12&rc=Zjo8ZGk4Zzw0NDU1Nmk5aEBpajtkaDY6ZmtsbDMzNGkzM0BjYGFgYjQuNV4xL2M1NWI0YSMxb3JncjRnajNgLS1kLTBzcw%3D%3D&btag=c0000e00028000&cquery=100o_100w_100B_100x_100z&dy_q=1719540568&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20240628100928EEA11515D8C3FF790E3C&__vid=7245495581773303101
地黄又叫黄娘子根，你们了解它吗#地黄 #识百草,https://www.douyin.com/video/7228831524542500129,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/4c9b70b3e89249e6b4850d0cdf89fb84_1683377309~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=viF3YPhQEmSGyZubpgHhQplEYXM%3D,16000,287,3921,2458,https://v5-hl-tx-ov.douyinvod.com/2f8493dc81783569e0a09f478dc6ac36/667e37a9/video/tos/cn/tos-cn-ve-15/oQA9GyPBZZuhATfeyLEQvcAD3xgtgyFizDKIGz/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1408&bt=1408&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EenT9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=12&rc=ZDs4NTc6NGlkPGdoZmc5NUBpM2V3eTg6ZnN5azMzNGkzM0A0LTEvYmMyNmIxXjQvNjZfYSNkZmJgcjRfYjVgLS1kLTBzcw%3D%3D&btag=c0000e00018000&cquery=100z_100o_100w_100B_100x&dy_q=1719540578&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=2024062810093757D6736374DED876D376&__vid=7228831524542500129
地黄的故事不止一个。#国学文化 #小故事,https://www.douyin.com/video/7236583869460270373,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/56d909a59f94469a82eb7b79cea33e68~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=uQYVHPxzKnB1pc44FEcmKO%2BqevQ%3D,122,5,42,29,https://v5-dy-o-abtest.zjcdn.com/08c7d486f999b91fac4b9fcd86c078c4/667e3898/video/tos/cn/tos-cn-ve-15c001-alinc2/o8fbElgIDgnAbCzeYxBdjkDIHPjA9AgSQWycbB/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=234&bt=234&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee7T9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=NGZoO2dpZ2g7aThpZDRnOEBpM2hkdTY6ZjtyazMzNGkzM0BiYGA1YjJiXi4xLzRhMzFfYSMuLmpscjQwMWpgLS1kLS9zcw%3D%3D&btag=80000e00030000&cc=46&cquery=100H_100K_100o_100w_100B&dy_q=1719540589&feature_id=768c4eee0a62d19cc9ffc7d17c46e537&l=20240628100949926C4BFD63A21346CC7F&req_cdn_type=&__vid=7236583869460270373
这些中草植物你都认识吗 跟着镜头一起认识我们身边的中草植物，你们家乡都有吗，叫什么名字呢？#识百草 #植物科普 #三农 #地黄 #蒲公英,https://www.douyin.com/video/7376971638199307532,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oEgjnFC9DDmBYOASRgAfAkJiEf3c5yAEq8IAEA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=GK5w1n520b9qiZid4FxkuCPLo4M%3D,2175,116,1134,213,https://v5-hl-tx-ov.douyinvod.com/d2a2fd9d1db18fc68e7c5843ff8d7d29/667e37d1/video/tos/cn/tos-cn-ve-15c001-alinc2/oURbpBZmQIAcwiFQoiEhdxKI1PgFPABjEw8vE/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=896&bt=896&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee-K9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZmhpNmU5NzM4NDY5M2k5Z0BpajQzeW85cnY3czMzNGkzM0BhNS4yNi0wNmMxXjUxNmEtYSMvaTJlMmQ0NWRgLS1kLTBzcw%3D%3D&btag=c0000e00020000&cquery=100B_100x_100z_100o_100w&dy_q=1719540608&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628101008634761F95E8878747453&__vid=7376971638199307532
这些中草植物都认识吗 我们身边花花草草很多都非常的不错，让我们一起学习各种中草植物，如果记不住可以收藏起来！#识百草 #植物科普 #大自然的馈赠 #三农 #地黄,https://www.douyin.com/video/7374745163094150411,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/osZEYCIAPiZ0BTiFbJAXAI6hWwpAgRvsBAYQl~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=321BDN56%2Buza6t1Wyi2WZ45xzbQ%3D,1428,101,860,166,https://v5-hl-tx-ov.douyinvod.com/eca0d1a5c384d7ae29d32938e28f5211/667e37e4/video/tos/cn/tos-cn-ve-15/osAAg34YS3mIfBQLoRDFUQJMDWX9EuFgfr9AaZ/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=833&bt=833&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee6K9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=PGQ5Omk5NDQ4NWY1NmY5M0BpanZ0dW45cjU4czMzNGkzM0A2Yl5fXy80X2AxNmJjYWEtYSMzaDRhMmRja2BgLS1kLTBzcw%3D%3D&btag=c0000e00020000&cquery=100x_100z_100o_100w_100B&dy_q=1719540618&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628101018FEE3581CD1630A70EEBC&__vid=7374745163094150411
这些大山里的植物要知其叶更要识其根 丹参、远志、地黄等这些大山里的植物，要知其叶更要识其根，它们都是很常用的中草，一起来认识一下吧！#识百草 #植物科普 #三农 #大自然的馈赠 #地黄,https://www.douyin.com/video/7373260663830973732,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o0FlTIsAZns1MygXAAGAwB5xPc2ViPAEBAxiI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=lgEE3tLOKQdT1ZG%2FhyzeUB2NLXs%3D,57000,1813,53000,12000,https://v5-dy-o-abtest.zjcdn.com/f36d8f80871e7037bd2ef9906dd96cff/667e37e4/video/tos/cn/tos-cn-ve-15c001-alinc2/okBjAGJUIFlG8AxQImEDfBfZEkZqgVONADTnQ9/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1109&bt=1109&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EetK9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=NDk3ZTo5ZGY8OjVoNjtlOEBpajxzNnk5cnNrczMzNGkzM0A0YDE2XjUuNS4xNV4uYjMtYSNgLTZyMmRzXjZgLS1kLTBzcw%3D%3D&btag=c0000e00020000&cc=46&cquery=100x_100z_100o_100w_100B&dy_q=1719540628&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628101027B33A617332A06D72B5E5&req_cdn_type=&__vid=7373260663830973732
分享咱们当地的几种神奇植物，地黄、白头翁、桃叶鸦葱、紫花地丁、紫荆花。你的家乡有哪些神奇植物呢？#你的家乡有这种植物吗 #植物科普 #新农人计划2023,https://www.douyin.com/video/7223301784314367266,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ok2AsFk1HU9VDgzAelARGIQnegCNPx1BW7birM~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=meYvKfVKS4w%2FREJxcUx6qKexZo4%3D,365,14,85,29,https://v5-hl-tx-ov.douyinvod.com/4048268388cdc3603070b1a7b08efc73/667e37f9/video/tos/cn/tos-cn-ve-15c001-alinc2/oINBPi1AxlsnuzMVgUD9DgbFAVAeeVDkgQWI1O/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1354&bt=1354&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeJK9JOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ODszZjtmODU6O2Y5ZzU5O0BpamRzeDk6ZnI4ajMzNGkzM0A2NC4vLjIuX2IxMl9gL2AzYSNpaWpgcjQwL3NgLS1kLWFzcw%3D%3D&btag=80000e00028000&cquery=100z_100o_100w_100B_100x&dy_q=1719540637&feature_id=22eebe935d739141bc75f57beca62d29&l=202406281010379A90A56B83CC5E48B008&__vid=7223301784314367266
