Title,Title_URL,Image,likes,comment,collect,share,下载地址
蒲公英你认识吗？小时候常常见村里人挖它回家。#我的乡村生活 #植物科普 #三农,https://www.douyin.com/video/7367027175666519296,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8ChENvHzAUzf4qAX8h8n4EEHBCIrvQgHCe4gA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=kIacLq5cJ%2Bp0S%2FPMNpMRo5ZErcE%3D,23000,519,5439,2435,https://v5-hl-tx-ov.douyinvod.com/f23d999b78a413841890d6f28de13cdb/667df8db/video/tos/cn/tos-cn-ve-15/okghq8QaIrHACyHBv8vzNAvegXAfQ2ngE1KzEH/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1191&bt=1191&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeofeJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=O2dpOmRpZ2Y0NzU8Zjc5aUBpamk8azo6ZmVpcjMzNGkzM0A0MzRiNjQwXjAxNDAxMmIxYSNrLnFpcjRnLXJgLS1kLS9zcw%3D%3D&btag=c0000e00018000&cquery=100x_100z_100o_100w_100B&dy_q=1719524506&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=202406280541469C9C0BEE8F90614F3ED0&__vid=7367027175666519296
蒲公英 村里的老先生把蒲公英挖回来，切成小段晒干。#植物科普 #三农 #我的乡村生活,https://www.douyin.com/video/7358862159180336419,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocQfwMcHHya9A4fxQMEQFAB3xw6PCcPxBgF27e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=5CssBj5iZXSHIeb%2B%2BwZKX%2BtZWME%3D,11000,453,2957,1082,https://v5-hl-tx-ov.douyinvod.com/588337f477ab8d2f03e0bae2e498d6c2/667df8f2/video/tos/cn/tos-cn-ve-15c001-alinc2/oo7MPeRBDIYQANPEefb4OLYA7A3tMnEEBgm6Ch/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1328&bt=1328&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeGfeJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=OGc7Zmg1NTk7OjkzOGVnM0Bpajo7aDk6Zjl4cjMzNGkzM0BjNi0xX15hNi0xNmMwLWBhYSNnMXAxcjQwcGNgLS1kLS9zcw%3D%3D&btag=80000e00018000&cquery=100z_100o_100w_100B_100x&dy_q=1719524529&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628054208C09CDE373BBAB8370E25&__vid=7358862159180336419
又到了蒲公英随风飘散的季节了，村里人把它采挖回来晒干。#新农人2024 #农村生活,https://www.douyin.com/video/7343069114262474036,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owfeBqogEAAyNf8eBGwc5KB5kQWfHfSf52AlbCf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ncpxG0CrvgBvTG8COTMcCsGlcAc%3D,51000,3733,17000,13000,https://v5-hl-tx-ov.douyinvod.com/c530d7a6d87b6e17b3205c53bd5d5876/667df8f9/video/tos/cn/tos-cn-ve-15/o8RQmAbDLg5ClvgNREBJ9fAaLDIbe4AmnUv91n/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3142&bt=3142&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EevfeJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=PDw0OztkOmQ3aGg6NDozaEBpMzlrO2Q6ZnV3cTMzNGkzM0BhMl8uYWM2Ni4xMy40Nl5gYSNkc2MxcjRvMWdgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719524539&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=202406280542196B00F83C3518224B813B&__vid=7343069114262474036
蒲公英又名黄花地丁，现在已经很少见了，村里人遇到都会挖点回来。 #植物科普 #农村生活,https://www.douyin.com/video/7335089805937642752,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0rJAqbnNIYV9ylALe1SWyB3WBWAWDjxeFFrQg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=5B2ExRVel3oCSlsNEfnA%2FXnT0KM%3D,21000,902,6691,4310,https://v5-hl-tx-ov.douyinvod.com/eecea7632793a68144c3d06f835b2606/667df905/video/tos/cn/tos-cn-ve-15/oQgJyD3qlA9GeBrYAnBO2hVyegjQNIb9wAJLWS/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1312&bt=1312&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeTveJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=aTplaDplPDRpOTZoOGVpN0BpajNvc2Y6ZnRxcTMzNGkzM0BeMjZgXjA1NWAxLjAwLmJfYSNoZjMvcjRvZTJgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100z_100o_100w_100B_100x&dy_q=1719524550&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=202406280542308595D0B71E10B25BCB1F&__vid=7335089805937642752
它叫蒲公英，也有人叫它黄花地丁，你那里还有这种植物吗？#广东dou是好风光 #植物科普,https://www.douyin.com/video/7319158929592782095,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0NngN9DDU5FQQeglB7AXwubTBR9BxAklIAfir~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=I54lqlat6PUXJ0TrYlEkTprI8QM%3D,23000,1231,9204,4625,https://v5-hl-tx-ov.douyinvod.com/b5485a052b46a799dd629983fc0c4cd1/667df90b/video/tos/cn/tos-cn-ve-15/oEwAbQNzyB4I9B1fhFOXHAIpAALStyRgxeEd64/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1479&bt=1479&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee~veJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZGQ8MztlaGQzNjM1aTc5PEBpM3dpdjs6ZnZocDMzNGkzM0AyLy4uL2MtNjIxLi8tNWFfYSNsXzZocjRfLTZgLS1kLWFzcw%3D%3D&btag=80000e00010000&cquery=100w_100B_100x_100z_100o&dy_q=1719524559&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240628054239E9C41934B8F1123A664F&__vid=7319158929592782095
蒲公英又名黄花地丁，你那里又叫它什么名字呢？#我的乡村生活 #农村美食,https://www.douyin.com/video/7297618955445865768,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAhcGAeNlND0ADIlNRebABgPPW1InFEk9SnRAD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=IGe9voGbeoiIYPKFG5jve8M2XeE%3D,2185,53,724,315,https://v5-hl-tx-ov.douyinvod.com/dfa89bc26d9ebe2527b7b6022ad49f84/667df913/video/tos/cn/tos-cn-ve-15c001-alinc2/owmhAAbnNIRn9elAkWbFBRPlGB1AsDn8eQDDEg/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1222&bt=1222&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EesveJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=PGc8Z2Y4PDtkOmkzaDk0PEBpamk0Nzs6Zmo4bzMzNGkzM0BhMmBhLzUtNi0xMGA0YWBfYSMvcDFtcjRvZzBgLS1kLWFzcw%3D%3D&btag=c0000e00010000&cquery=100B_100x_100z_100o_100w&dy_q=1719524569&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202406280542496D3439DE55D66851073E&__vid=7297618955445865768
蒲公英#农村生活 #农村美食,https://www.douyin.com/video/7274625435957251380,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/ocm6IRN9AAmlUDz4AAgfjeVlEtqtkshCWASA0A~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=7DwZBHWtxKP1GwMctqPykKeod8A%3D,947,50,236,119,https://v5-dy-o-abtest.zjcdn.com/618847e1b5b1f10928c2683f8b9969da/667df921/video/tos/cn/tos-cn-ve-15c001-alinc2/oAU9E9DfWTpShpNKANlHVfggnbAT8AAtPBykKR/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1343&bt=1343&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EecveJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=PDczZWg6ZjY7aTNlNmQ4N0BpanVwNzQ6ZmtkbTMzNGkzM0AyMDI0Nl4zX14xYDI0MzUuYSNeNG4ycjRvZm5gLS1kLWFzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100o_100w_100B_100x_100z&dy_q=1719524579&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240628054259A68B2B3C9DD3B24E0127&req_cdn_type=&__vid=7274625435957251380
#我的乡村生活 找了好久，终于让我找到了，蒲公英。,https://www.douyin.com/video/7252356827441073460,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o0rAhAAfLEAACeAgyJAUnYIs5rjRzNVCNCayNl~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=9hLsj1jPTqd5x9N6HFTMSj%2BZbQE%3D,3961,124,912,321,https://v5-dy-o-abtest.zjcdn.com/15ab89c29e37bab51ca3c5290e513450/667df930/video/tos/cn/tos-cn-ve-15c001-alinc2/o4bkYE9KAenp2WGDDN8wPgWfAAW7RgBqYVANjA/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1267&bt=1267&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeKveJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=ZjRkMzM6PDM2Zjs3OjY8N0BpMzhwaWQ6ZjZybDMzNGkzM0BhYzUtNi00NTQxYWM0XmFjYSM1L2tocjRvbGZgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719524588&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202406280543089C7B7F85A346065A89CD&req_cdn_type=&__vid=7252356827441073460
蒲公英你见过吗？遇见就挖点回家。#我的乡村生活 #抖音618好物节,https://www.douyin.com/video/7240863169692912936,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/d36029365b774738b2fc2ffc6cace523~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=WUy2LuS%2Ff%2FKrdLzFFy45eJ0uKm0%3D,45000,684,11000,5097,https://v5-hl-tx-ov.douyinvod.com/f1c15ee7c59782cffacbb98a17974156/667df93a/video/tos/cn/tos-cn-ve-15c001-alinc2/o4IRT8thlVINPGIyAQQEeuHfFNR0NnANAzYBgH/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1366&bt=1366&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee5veJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=PDtoNjwzNDlkO2QzO2c4ZkBpM2c3NDs6ZmRlazMzNGkzM0BfXjEwLzJhNmMxMzQzYGEuYSNgYm41cjRnYXJgLS1kLWFzcw%3D%3D&btag=80000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719524597&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202406280543177048627A0ACD9737C37F&__vid=7240863169692912936
蒲公英别名黄花地丁、婆婆丁、华花郎等，遇见挖点回来。#我的乡村生活,https://www.douyin.com/video/7238619821670157568,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/f144e4d0e6e2410f9413f34019e1c31c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=fzqjyrdT5LkuXgKq4Rdshmo2CLY%3D,74000,1137,13000,4826,https://v5-hl-tx-ov.douyinvod.com/a29dbaaa580b2065c024d7088a93c726/667df942/video/tos/cn/tos-cn-ve-15c001-alinc2/ok3yOQzzIABhGhFQNAAgEwVfml0qoSx8CjkeNw/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1413&bt=1413&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeDveJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=PDwzNTpnNDU4NzQ2Zmk4Z0BpM2t1Zzg6Zm9lazMzNGkzM0A0XjYwMzMxNTAxLmBeYzFiYSM2NHBmcjQwcG5gLS1kLWFzcw%3D%3D&btag=80000e00018000&cquery=100z_100o_100w_100B_100x&dy_q=1719524606&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240628054326EA70728E77932D366670&__vid=7238619821670157568
