Title,Title_URL,Image,likes,comment,collect,share,下载地址
男人被困深山狂吃人参99根，不料吃完后不仅没事反而重获新生！#童年动画 #怀旧动画 #国产动画 #中医动画 #动画,https://www.douyin.com/video/7355141038819888421,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQEug9BmtEStUeG8PCUndgBACoAbAg6xDIkeDr~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1rBlX%2BN%2BiTYHFVWQpQrbIaDwtlY%3D,4778,1041,619,238,https://v5-hl-tx-ov.douyinvod.com/6ba91bcbbeec1afc0cfae5da2d33b3f3/66805095/video/tos/cn/tos-cn-vd-0026/oUuAAEgCtgAroAseGruUSbAoCgDP6BnAmID9Ae/media-video-hvc1/?a=6383&ch=0&cr=8&dr=0&er=1&lr=default&cd=0%7C0%7C0%7C3&cv=1&br=552&bt=552&cs=4&ds=6&mime_type=video_mp4&qs=11&rc=NTY4NDU5ZDk8ZWlmZWQ2ZUBpMztmcTo6ZjtlcjMzNGkzM0A2XmJhY15iNTQxXi1hY2NfYSMuYWRycjQwXjZgLS1kLS9zcw%3D%3D&btag=80000e00030000&cquery=100w_100o&dy_q=1719598628&l=20240629021708ACEC9E5727C33634CA04
这个挺厉害，人参在它面前也得泄气。 #莱菔子  #白萝卜  #萝卜 #新农人计划2023 ,https://www.douyin.com/video/7217828922350767420,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/38e69f7cbb50416aaed459f060578f9a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=dAK97j7J1gh4tKhGw3PY92eycL0%3D,3268,126,598,304,https://v5-dy-o-abtest.zjcdn.com/ce9894a725be3fe187a52474c12c1a6f/667f1ac7/video/tos/cn/tos-cn-ve-15c001-alinc2/oAWV0HgKbAQeSEZagn9kvFBOyDACeA3AluZobd/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1085&bt=1085&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeTkAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=11&rc=ZDhnOGVnNWVkPDtnPGQ8ZkBpajZmZ2g6ZmdoajMzNGkzM0AtMS0wMGJeXl8xXzUuNTUxYSNnLXFtcjQwL2lgLS1kLS9zcw%3D%3D&btag=c0000e00028000&cc=46&cquery=100w_100B_100H_100K_100o&dy_q=1719598662&feature_id=768c4eee0a62d19cc9ffc7d17c46e537&l=2024062902174278732BD6D4A05B4857D7&req_cdn_type=&__vid=7217828922350767420
我们附近以前都是贫困村，田里都是石头，种其它庄稼不成气候，但人参果在这里长的特别好，多少村子就靠种这个而脱贫的，现在慢慢开始做品牌了，这才是农产品该走的道路。#来抖音学农技   #人参果  #优质农产品 #人参果之乡 ,https://www.douyin.com/video/7148801056036654351,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6601e5c18ada45c6a06e1466e2a023e3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=f1URwWHH2zmXvZewdTbWJMqy1bw%3D,1368,195,166,154,https://v5-dy-o-abtest.zjcdn.com/233c9e35e9ce3e3f2fb4b7a5367ae0d2/667f1af7/video/tos/cn/tos-cn-ve-15/owgM6mUb9jD08NA5B6n2jLeaKafNgAJQ4JSboA/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=856&bt=856&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeQkAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=11&rc=NTU0NTZpaTw4ZDRmZjVkZ0BpMzlvOjc6ZnN0ZjMzNGkzM0BhMjIyMWBjNWAxXmE2Ni8yYSMyMF9ycjRnMm5gLS1kLWFzcw%3D%3D&btag=c0000e00028000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719598678&feature_id=cb255fb653f504ee08f5dc52b24469a7&l=2024062902175878C71512E421AE575F9F&req_cdn_type=&__vid=7148801056036654351
农村路边的雾水葛又叫土人参，看看村里人是怎么处理的？#冬天在山东这样玩儿  @好客山东,https://www.douyin.com/video/7316526479007812916,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oomkAuNzNEHje7yAuh98SxdMJBiARhMyfE2CIg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=T5jtim%2BxtTy4cwOktVcjNN08%2FA4%3D,1169,50,485,139,https://v5-hl-tx-ov.douyinvod.com/64ca98db707aaee2e00961a8423c6aa0/667f1a9d/video/tos/cn/tos-cn-ve-15/ocuJCdgxNAI2lMO4Qzeyk2B8hhANfAl7uMEE2H/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1333&bt=1333&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeVkAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=11&rc=PDo6N2c8O2Y8O2lnZWZlZUBpM3d1PDo6ZjRycDMzNGkzM0AtXmBfXl4yNmExXl5eNC8uYSNyajJrcjQwYDFgLS1kLWFzcw%3D%3D&btag=c0000e00010000&cquery=100o_100w_100B_100x_100z&dy_q=1719598689&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240629021809ECB8AD19564C784B4316&__vid=7316526479007812916
土人参，南方很常见，开花真美！马齿苋科土人参属植物。,https://www.douyin.com/video/7282792552938458368,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okpq4A2NaIAJYW7QB2AihE4HfjezeKjpPHB1C3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=xeKOCMtC3XN7CHF%2Bds1VX7DiBDY%3D,1762,59,627,277,https://v5-dy-o-abtest.zjcdn.com/47cf8c762e45b7f1288defe795628c85/667f1aac/video/tos/cn/tos-cn-ve-15c001-alinc2/osdAQgfimIzDdHQAabzgtRhFyREPeSsANClNrB/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=741&bt=741&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee7kAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=11&rc=OTU8NTZlOzhkM2U3NTU8N0Bpajlrbjo6Zmh0bjMzNGkzM0A1NC4xYGEvNmExYGNjYzVgYSNhLmEvcjRvbjVgLS1kLWFzcw%3D%3D&btag=80000e00018000&cc=46&cquery=100x_100z_100o_100w_100B&dy_q=1719598701&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202406290218213148BB1BD425E434E68E&req_cdn_type=&__vid=7282792552938458368
野刺苋，村里懂它的人叫它＂土人参＂#我的乡村生活,https://www.douyin.com/video/7262733203180424500,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/o4biAoWDmkNLEgDJa4eezAsnCxAiyI9KlQNAAA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=EuElhvMEzO5M2nxfA53LYSTRMc4%3D,4352,133,1177,422,https://v5-hl-tx-ov.douyinvod.com/1fca9fe85b74a149e6dbb0a34bf5d869/667f1abb/video/tos/cn/tos-cn-ve-15c001-alinc2/ok49SyDesY08eUNvA7lO1rggnbAF8AAMBBbkmR/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1421&bt=1421&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeZkAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=11&rc=NTc0OWZpZTlmNGg8OjRkZEBpM21mbTc6Zm05bTMzNGkzM0AtMF5iMS8wXi4xNTEwNTUyYSM0LWtqcjRnZjJgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100o_100w_100B_100x_100z&dy_q=1719598712&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240629021832E5BB12A62F20C24B6820&__vid=7262733203180424500
刺苋根，村里人叫它土人参，你知道吗？ #乡村守护人 #我的乡村生活 #农村美食,https://www.douyin.com/video/7200041679104101666,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osAAE8QrzVjINBFGCzz6RE8jN6r9hefg43rAyR~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=MCaiDGuPcZfx4400YRyOStnB1Ag%3D,25000,826,4646,2459,https://v5-hl-tx-ov.douyinvod.com/5a77d845c830751873d00bebfcbf31d3/667f1ac0/video/tos/cn/tos-cn-ve-15c001-alinc2/oQUzj6QCBr86AByV54eAuRgAhDNTrQFIRgNf9s/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1458&bt=1458&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeeUAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=11&rc=ODQ4ZjtpaDRoZTw1OGY6OEBpM2pnbjU6Znh0aTMzNGkzM0AuNDIzYy8wX18xYTQwYV40YSNtL2FecjQwcmlgLS1kLWFzcw%3D%3D&btag=c0000e00018000&cquery=100w_100B_100x_100z_100o&dy_q=1719598722&feature_id=d65f473b4463b6315c21eb3d7c571218&l=202406290218420C911EBDB113B9474072&__vid=7200041679104101666
雾水葛又名土人参，遇到就挖点回来。#乡村守护人 #三农,https://www.douyin.com/video/7188877910168636707,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUEEIBA1eB04AozxZfvmtqyK3MFAphrgNFgmBb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=uCP%2BIshyIYYa4n7CaMZr0Xbo5a0%3D,4297,163,1390,639,https://v5-dy-o-abtest.zjcdn.com/3e44b7dfabe52ef443a6f2d67f7c0ccd/667f1ac7/video/tos/cn/tos-cn-ve-15/oQDAfDungVIBoZLebWj9AgAKQyIVvxoDATkGKN/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1314&bt=1314&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeYUAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=11&rc=OjRpOztmaTc6ZzlpMzs6PEBpamRqbDg6Zm4zaTMzNGkzM0A0MjVfMjZhXjIxX2A0L2MzYSNvX2pgcjRvYC9gLS1kLWFzcw%3D%3D&btag=80000e00010000&cc=46&cquery=100x_100z_100o_100w_100B&dy_q=1719598733&feature_id=d65f473b4463b6315c21eb3d7c571218&l=20240629021853BEEC68951AF86435E448&req_cdn_type=&__vid=7188877910168636707
雾水葛又称＂土人参＂，遇到就拔点回家#植物#农村生活,https://www.douyin.com/video/7168855381882506536,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/c91e7f4d400141229070061a63912bff~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=AGIAKk6fFjqV0wSWPb4BhPVejks%3D,3253,155,837,397,https://v5-dy-o-abtest.zjcdn.com/833a6c724a0d11445d2efd48a311c188/667f1af9/video/tos/cn/tos-cn-ve-15/owNKvtCe5IBkA5DAhxng1GzMfWtQABNZFU48dc/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3166&bt=3166&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeaUAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=0&rc=aDQ4ZmU5Z2g5ODhkMzMzM0BpanNqamY6ZmVoZzMzNGkzM0BhXi4uNmJeXy4xYjY2XzJjYSNqaXAtcjRfM3JgLS1kLWFzcw%3D%3D&btag=80000e00028000&cc=46&cquery=100x_100z_100o_100w_100B&dy_q=1719598744&l=2024062902190488BC1196EE002033384E&req_cdn_type=&__vid=7168855381882506536
刺苋根被称为土人参#西瓜知识,https://www.douyin.com/video/7144286606432734477,https://p3-pc-sign.douyinpic.com/tos-cn-p-0000/845a95eeea1444858a1a6594cb9c4905~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=KL5ft1XPCYHKIHnHpbsUc7hN9cs%3D,38000,1180,7558,4892,https://v5-hl-tx-ov.douyinvod.com/3bd91fb781c06311e429f8e02f9eb10e/667f1ae4/video/tos/cn/tos-cn-ve-15c001-alinc2/a78d5bb7277142ba90ac8f2f5a6ccac7/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3342&bt=3342&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EegUAJOs3-Hb4w7nXZA8BB2QPdjyqLv3.vjTQ&mime_type=video_mp4&qs=0&rc=NWUzaGQ6Nzk0ZzM3OTY3aEBpM3d1OzY6Zm9zZjMzNGkzM0AvNTY1XjNjNS0xYDEyMDExYSNzXmRhcjRnaWZgLS1kLS9zcw%3D%3D&btag=80000e00018000&cquery=101l_101m_100o_100w_100B&dy_q=1719598757&l=20240629021917B6D51C514E88A234C743&__vid=7144286606432734477
