Title,Title_URL,Image,likes,comment,collect,share,下载地址
黄精的叶子跟细，跟竹根七区别还是很大的，块根也很大。#2021 #采药人,https://www.douyin.com/video/6913318823298895119,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/b149e13d06db447e92ba84314f1bad45~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=NNHYGqg0zeyAy5cNhrZNfIBX4hY%3D,411,33,44,66,https://v5-hl-tx-ov.douyinvod.com/cd532138b93a2a4a4160a05b19389ad0/667e0e89/video/n/tosedge-tos-agcq-ve-0000/0b52edaf9254405aaa13f729d95cf304/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3340&bt=3340&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2Ee_MKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=MzM1PGZlZDo5OmY5ZDdpZkBpM3k8ZjZrcXdqeTMzOGkzM0BjYS01NTJgNi0xYjQxYy82YSNvLTJeZzVkaWxfLS0uLWFzcw%3D%3D&btag=c0000e00010000&cquery=100x_102u_100o_100w_100B&dy_q=1719530062&l=20240628071421457FFD5BC6BB6B563920&__vid=6913318823298895119
第一眼看见，还以为是黄精呢！#2021 #野生植物 #采药人,https://www.douyin.com/video/6913109918237216015,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6aa99e26fbfe4ef5b2d83768b88fab55~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=hCTXp3UnWx6BAdf5XSmDsOxImBE%3D,268,25,29,45,https://v5-hl-tx-ov.douyinvod.com/e787bbfa66fb039bdf33ddbb2c4ca5da/667e0e93/video/n/tosedge-tos-agcq-ve-0000/7de24bf0d0f844deb82af0694b0924f8/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=4081&bt=4081&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2EenMKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=ODhoaTNkZzc3O2g8OjM1PEBpamp1c3U5dnA3eTMzZWkzM0AwMTY0MDZhXjQxYi8yY2BgYSNtYF42X21hbWxfLS0wLWFzcw%3D%3D&btag=80000e00010000&cquery=100B_100x_102u_100o_100w&dy_q=1719530082&l=2024062807144143D909559D04853A6DE3&__vid=6913109918237216015
猪八戒吃过黄精吗？,https://www.douyin.com/video/7359751844169534720,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMOCbAnI0LRAqe9Mm2bQdCDAgIaGB3fQYTCxDY~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=QkPYmNfXdhhIkhNkAHyCzZcYC4o%3D,249,5,9,15,https://v5-hl-tx-ov.douyinvod.com/69d920e7a220f1f1cc61db64003dc05e/667e0ebd/video/tos/cn/tos-cn-ve-15c001-alinc2/oADn0HtMD5mgIVegmDbAMMxb2dC9BQAIGQAf3Y/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=589&bt=589&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeHMKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=NjMzNjk0Mzs0NzYzODc7OEBpM2dycDQ6Zm5rcjMzNGkzM0AuYjFiMmEzNTUxX2JiYDIuYSNxbHBhcjQwYmVgLS1kLTBzcw%3D%3D&btag=c0000e00020000&cquery=100w_100B_100x_100z_100o&dy_q=1719530091&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=202406280714516D5356D5F83486538FF4&__vid=7359751844169534720
春天黄精长出了嫩苗，到秋冬季节就枯萎了#新农人计划2024,https://www.douyin.com/video/7352065556046007587,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMb4k8hDBBAe5jMIEQukX4AeIChgWmOnnA9PDo~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=i50ag89aGMU3B4Tif%2Fz6ipLkjnE%3D,508,8,70,18,https://v5-hl-tx-ov.douyinvod.com/f33489b2bad63eae041f6c53571976e3/667e0ec3/video/tos/cn/tos-cn-ve-15/ogELymWktABDQTzwAmLHQhEg8f9EeBhD3DhIAG/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=590&bt=590&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee5MKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=MzhpNzQzOTs3NWVkPGhpaUBpMzdtbmU6ZnJ2cjMzNGkzM0A2XzI2MDMyXzExMmFiYTYwYSMwYnNkcjRfZDBgLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100w_100B_100x_100z_100o&dy_q=1719530101&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628071501C033C2543012E53BBE30&__vid=7352065556046007587
辨别玉竹和黄精的2个诀窍#新农人计划2024,https://www.douyin.com/video/7335739278686817551,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ow5yCCA1yjAUEcoNBBfhgPzdA5Ae5QOIE4tpDu~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=r%2B%2B5J2Os6J0EWQ%2BSHv%2FkjnA4RS0%3D,1581,26,245,60,https://v5-hl-tx-ov.douyinvod.com/cf183649464862c524deb5a3ef91110d/667e0ec3/video/tos/cn/tos-cn-ve-15/ocCdPBQ1IhcoR1CAuyyANzYB5EM5DpitgA4fTe/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=549&bt=549&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EeDMKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=OWc2OzlnNGc5Z2g8aDlkM0BpanY1aDQ6Zmh2cTMzNGkzM0BhMTE1MS01XjQxMmJgYC00YSNuZmFwcjRvYzNgLS1kLTBzcw%3D%3D&btag=80000e00018000&cquery=100B_100x_100z_100o_100w&dy_q=1719530110&feature_id=8129a1729e50e93a9e951d2e5fa96ae4&l=20240628071510BF19A457A9DA7E3B42FD&__vid=7335739278686817551
玉竹为什么叫玉竹？怎么分辨玉竹和黄精？,https://www.douyin.com/video/7312966154014723328,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0E8ICCi24ReAEnVKeVzbeVB5fbD7D1AMmbDEG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=OefVCHEqtFqyaHoyVcBsxqJF%2Bqk%3D,759,20,62,21,https://v5-hl-tx-ov.douyinvod.com/92e84f0b322d15eab1bcf07271cd1211/667e0ede/video/tos/cn/tos-cn-ve-15/oAB4lQG5V9CLNeR8EbeDAfn7DeA2n8XEIKbmMb/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=950&bt=950&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2Ee1BKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=NTw7OTVpZzRlPDNlZTNoZUBpang2amc6ZnhnbzMzNGkzM0A2YF40Ly9fNTUxYzY1LjFfYSNwMzJmcjRvc3JgLS1kLTBzcw%3D%3D&btag=80000e00020000&cquery=100x_100z_100o_100w_100B&dy_q=1719530120&feature_id=372716a7b3ae6b80fcb42f8f6465de20&l=20240628071520775F44338023CA3BD772&__vid=7312966154014723328
这就是传说中的黄精，我们挖出来看一看#抖音自然植物 #西瓜村 #抖音打野牛人召集令 ,https://www.douyin.com/video/7108143953421012264,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/d6779c5c96a948b1b819218ee2d41369~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=XVp9G28zzKuPAhcwg4Oh9TP1AQk%3D,42000,3112,7720,4630,https://v5-hl-tx-ov.douyinvod.com/aee9898c0315795827cdbeee67b08dd2/667e0ee0/video/tos/cn/tos-cn-ve-15c001-alinc2/7e4f3a171f104a8fa324dbabf54f40a8/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2193&bt=2193&cs=0&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EekBKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=NWRpZzRlNGhnaDRkNzs8ZUBpMzx3NzU6ZjttZDMzNGkzM0A0YWAwYy1hNTIxNV41LTIuYSNfYV5qcjQwMGZgLS1kLWFzcw%3D%3D&btag=80000e00020000&cquery=102u_100o_100w_100B_100x&dy_q=1719530130&l=2024062807153018FAE2F9F8F34B3B91A9&__vid=7108143953421012264
被称为仙人的余粮黄精，你们认识吗#黄精 #大自然的馈赠,https://www.douyin.com/video/7249242710366752060,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osKe9FNOkEAyp870BVeDgsnXAmA9300QIwb7Dn~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=B%2BORzORkUwARAW1tN5WtDbGwK6U%3D,3447,132,2323,896,https://v5-dy-o-abtest.zjcdn.com/74eea69f5345cb0d382afd71d1e16c24/667e0edd/video/tos/cn/tos-cn-ve-15c001-alinc2/o8F0O7gIDXnAmDten9BK0kfsVIwA9AgVQMS8b7/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=999&bt=999&cs=2&ds=6&ft=_.eD_3-NSupc0riXXbvb4e2EehBKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=11&rc=OzU3N2Q8ZmVoNjw8ZzdmPEBpanhxNGQ6Zjg6bDMzNGkzM0AxLi5eYTAuXi4xLS5gMGJeYSMwb19wcjRvamFgLS1kLTBzcw%3D%3D&btag=c0000e00018000&cc=46&cquery=100w_100B_100x_100z_100o&dy_q=1719530139&feature_id=6196792ae99a4dcd15125650b652d361&l=20240628071539CA619B81BE3B3062D1FC&req_cdn_type=&__vid=7249242710366752060
你们认为的黄精是这样的吗#百草#黄精#野生药材,https://www.douyin.com/video/7145103990223539494,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/877f767585764bd08927309aba0242ed_1663599171~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=wLaEjnsdwUsQPFkEK9jKEu7WkVg%3D,521,30,200,253,https://v5-hl-tx-ov.douyinvod.com/98f941b639ab3c53bc6caca27998976f/667e0ee2/video/tos/cn/tos-cn-ve-15c001-alinc2/9e56dee7ed2c41459c04444d8644c8f7/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2672&bt=2672&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2EegBKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=ZDxkaDdpaWc6aDs8OTo5M0Bpamc4a2U6ZnU7ZjMzNGkzM0BgYGM2Xy02XmExLy4zYl9fYSNha3BfcjRvL2hgLS1kLTBzcw%3D%3D&btag=c0000e00010000&cquery=100o_100w_100B_100x_100z&dy_q=1719530149&l=2024062807154996B884721A374754C1B1&__vid=7145103990223539494
这就是传说中的黄精，我们挖出来看一看#抖音自然植物#黄精 #中草药,https://www.douyin.com/video/7109451939527560483,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e18c7623a6d540f2a5ffb0c678ed2222_1655298285~tplv-dmt-logomcc:tos-cn-i-0813/715400c3fb4d4070b3580e46e8d0136a:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=O%2BeFnMnWimcmzgKZpXc9bVV8dRQ%3D,147,5,62,59,https://v5-hl-tx-ov.douyinvod.com/89884419efcbf7705c1a2a7ea1ce8121/667e0eea/video/tos/cn/tos-cn-ve-15c001-alinc2/c92a349199ac494cbf12f06071387a04/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2739&bt=2739&cs=0&ds=3&ft=_.eD_3-NSupc0riXXbvb4e2EerBKJOs3-Hb4w7nXZA8BBcIeMfVnJVrzvjTQ&mime_type=video_mp4&qs=0&rc=ODszODhoZDpmaDdoZTk8PEBpamxkZzs6Zmt3ZDMzNGkzM0AvYl5eLWA1XjAxNjRfYC8xYSMybGxrcjQwYmhgLS1kLWFzcw%3D%3D&btag=80000e00010000&cquery=100o_100w_100B_100x_102u&dy_q=1719530158&l=202406280715581C4150742FDCEA3E8724&__vid=7109451939527560483
